时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,11.350184578194861,-9.99936161845413e-06,-0.00010650249571608711,9.485499931054597e-06,-0.00016161622148343167,5.8891109029184785e-05,-0.00022776700958296648,0.00011037135287708438,-0.00030409867383043355,0.00015246089791930116,-0.00037558419160273117,0.00017761207237782645,-0.0004278085474525174,0.00018374979343558783,-0.000449354659332229,0.00017420889274516072,-0.00043383817644001026,0.00015629986737457808,-0.0003810686225281758,0.00013883907281216274,-0.0002972282839962515,0.00012924047025279146,-0.0001939016353763453,0.00013104727068744565,-8.597268708877608e-05,0.0001427882617079833,1.1271255047275555e-05,0.00015861344915545975,8.513822714973667e-05,0.00017044983961368948,0.00012787184346114551,0.00017086602012626162,0.00013783746456437607,0.0001557001464679882,0.00011944849599410252,0.0001256755009929895,8.196740831965097e-05,8.661151765248326e-05,3.7540617181114344e-05,4.8330084240164947e-05,-1.4047664296798616e-06,9.183831795225266e-06,-1.088356737066428e-05
3,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,24.360910489796012,-2.189267906653948e-05,-0.0002292697359602601,6.214295615987587e-05,-0.00039439221713147776,0.00023156174769523299,-0.0006135858803463518,0.00040876528848911764,-0.0008680630366707882,0.000554190296949172,-0.0011061760236832873,0.0006417390783033899,-0.001277799630787895,0.0006641040630838113,-0.0013431986627852456,0.0006327310125184802,-0.001280345611193697,0.0005729622877577464,-0.001089167512342119,0.0005154071550238518,-0.0007922347093625981,0.0004856414868674814,-0.0004312963096324217,0.0004954067739319962,-5.9677919473185115e-05,0.0005385597956277081,0.0002682272795976844,0.0005934589453314544,0.0005078206426166024,0.0006308480169025834,0.0006326919645098685,0.000624271720548922,0.0006387306618701797,0.0005595684357769524,0.0005436022151436165,0.0004406413315484671,0.00038221264835227664,0.0002900584315007775,0.00019947202853050428,0.0001446384628215806,4.127272660931478e-05,1.9672292206931666e-05,-2.3431311597887293e-05
4,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,34.06872421440143,-3.1273894128624185e-05,-0.0003212528672101301,0.00022957814866259726,-0.0007122024357990511,0.0006805442005108717,-0.0012823989840404124,0.0011530034768782455,-0.0019474562898109306,0.0015419041041797282,-0.0025690979972972125,0.001777896891880563,-0.003012272964116674,0.001840972149231091,-0.003170214579629491,0.001760815302440273,-0.002984379053257688,0.0016045492284382475,-0.002455995185189286,0.0014540348895399813,-0.001647941278005645,0.0013780450757542545,-0.0006753931580907071,0.0014079138935631072,0.00031498944110292367,0.001525934116762517,0.0011741918619934462,0.0016716407299743735,0.001781214133892621,0.001763717733462583,0.0020665295496617355,0.0017293068868824498,0.0020232122556215946,0.0015308023452946116,0.0017046191879090224,0.0011819597121503244,0.0012107669061863406,0.0007489337415300707,0.0006674636712683191,0.00033630720704680027,0.000202000438305908,2.733724771646001e-05,-3.298439744809464e-05
5,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,37.4511901504125,-3.48531346475487e-05,-0.00035326556718306886,0.0004131878181434792,-0.0009649591343184924,0.0011489404348779873,-0.0018922139301575304,0.0019199903321857744,-0.002976204639050842,0.002556030597378284,-0.003989737704520124,0.0029444980426867736,-0.0047107626963236995,0.0030518645834399388,-0.00496435952701448,0.002924655688698486,-0.004655229900300496,0.002670698429799171,-0.0037861812576967763,0.0024232086395724116,-0.0024609851579587183,0.0022956056790952883,-0.0008692865592327175,0.002340886686217194,0.0007472109201612085,0.0025312529763122818,0.002142691974135843,0.002767351424310737,0.003117869016149861,0.0029141869150854666,0.0035594319668552773,0.002850301520243641,0.0034586096836646293,0.002513272125142255,0.002906576067434857,0.0019271232011155246,0.0020706446442829668,0.0012036888354780015,0.0011587947211691007,0.0005178166655109952,0.00038004213783069367,2.9844800895213702e-05,-3.648683401084799e-05
6,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,39.14001244286352,-3.6854325637893484e-05,-0.0003691477378265397,0.000600684514708421,-0.0012014163923045919,0.0016208625945345668,-0.00249021576809013,0.0026901176350307807,-0.003999618318986297,0.0035740150500000747,-0.0054122404440897975,0.004117338682616484,-0.0064180155948410315,0.004272296084625984,-0.0067735196695395475,0.004100444496059155,-0.006346731500647324,0.0037484884756261243,-0.005141906255886047,0.003400306737869927,-0.003303149922501121,0.0032149417475705318,-0.0010938679307401149,0.003269257656648627,0.001149476616460547,0.0035276170216678275,0.0030838075135091614,0.003852879956880552,0.00443062716801274,0.004055851554581158,0.00503213053719009,0.003964861022087471,0.004877652671993618,0.003491089289731779,0.004096580794250737,0.0026682271203551473,0.0029236463709644187,0.001654295975526132,0.0016483011165068751,0.0006952993521499771,0.0005600429606044509,3.097421347789424e-05,-3.836220824841685e-05
7,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,40.14179601089711,-3.821451424924363e-05,-0.0003784651801041979,0.0007896884230388097,-0.0014325859128015486,0.002093603733101476,-0.0030877356951190304,0.003460339927473024,-0.005029459372363886,0.00459256249845766,-0.006848975510980728,0.0052930245853438414,-0.00814722206611126,0.005498927167046251,-0.008611905683745069,0.005284987032004246,-0.00807425646783847,0.004834847000221805,-0.006539740814007722,0.004382242731525021,-0.004192064747018217,0.0041327648212074455,-0.0013674342552122262,0.004189412134083852,0.001503485262405166,0.004511140737855443,0.003980083617044358,0.004924351736997225,0.0057037362078331206,0.005185297400084606,0.00647123642284297,0.005070506396590173,0.006269647848150254,0.004463044314900595,0.00526660611039452,0.0034053953714674495,0.0037640717624575094,0.002101967227573342,0.0021320695873844214,0.0008706046152771473,0.0007392623547820297,3.154736346290592e-05,-3.957317711235153e-05
8,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,40.79633557712981,-3.9252469835177955e-05,-0.0003844526771562251,0.000979325286517696,-0.0016621359744350838,0.0025660507590434716,-0.0036884676085124804,0.004229263142714783,-0.006069490284339977,0.005610031425156846,-0.008303865019093696,0.006469767074381794,-0.009902571925069192,0.006729953037186279,-0.010484065235901209,0.006476573423382723,-0.009842772180627422,0.0059282048737363474,-0.00798510561793088,0.005367547589567845,-0.005133587594799374,0.005047598193435551,-0.0016961679059668985,0.005099754040063689,0.0018029728853775316,0.005480072720466796,0.004825518638932277,0.005979947744070878,0.006931808782930746,0.006300833634201528,0.007872231550087993,0.006165908896863828,0.0076310469418962214,0.005428352651524947,0.006414026704994309,0.004138443104262589,0.00459006897951787,0.0025470172374771898,0.002608822384151311,0.0010443379333033404,0.0009167903658450096,3.18419697541114e-05,-4.0444786931898585e-05
9,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,41.24963811054227,-4.010564766593532e-05,-0.0003885017241078179,0.0011691603825044019,-0.0018915977336471678,0.0030375527736655403,-0.004293879833275235,0.004995964313048061,-0.007121133780431544,0.0066252405252841574,-0.009778347318367768,0.007646211644510212,-0.011685594569673587,0.007963972720540611,-0.012391679135774289,0.0076738772653254725,-0.011654155244958294,0.007027379451718345,-0.009480115217475901,0.006355171253710939,-0.006130103524284284,0.0059584388097304935,-0.002082706718000522,0.0059992152970699915,0.0020451567381999064,0.006433211932170879,0.005617374939630187,0.007018361165757479,0.008112360358285062,0.007401169722360789,0.009233033380201084,0.007249963550249286,0.008960221777050408,0.006386243833520497,0.0075376391539734395,0.004867002078903496,0.005400785754411189,0.0029894358970236567,0.00307797195158731,0.0012167155524535468,0.0010922184498528493,3.197754469418146e-05,-4.111670189285761e-05
10,17.320070615050994,297636626.5760034,6940.1835794270155,6917.173762453167,2.2903961101986368,0.5491652820603614,0.20909621545038293,0.017538826287210246,2.6042677883028116,540.2123186306318,6.0594229393233965,0.5380224774099656,119.21948938241678,6.305744345491037,5.12022111646958,349.3970262212101,41.574977037759815,-4.0843089410222324e-05,-0.0003913112695061467,0.0013589262619039398,-0.002121698026207248,0.0035076378745234706,-0.004904597799081704,0.005759704958510532,-0.008184917463897639,0.007637187610646257,-0.01127290016215627,0.008821167973502799,-0.013496781156261026,0.009199731003998587,-0.014335302133581107,0.008875704559781119,-0.013509062597208124,0.008131320171006177,-0.011025575371075435,0.00734421191705028,-0.007182621053518694,0.006864460188749225,-0.002528285985427321,0.006886932421145689,0.002228624456504456,0.007369573668660635,0.006354189331745022,0.008038484488025783,0.009244028657300693,0.008485165093665462,0.010552491263846052,0.008321640570048633,0.010256271140338953,0.0073359378053444715,0.008636772237498083,0.005590619170299665,0.006195739217675823,0.003429079103768226,0.0035391833836299685,0.0013878022533549347,0.001265322593648158,3.201420181361814e-05,-4.165900054045152e-05
