时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,3.310821880326197,-2.3617626444265688e-06,-9.030210601477014e-07,-3.5156895931894634e-06,-1.6121728194688326e-05,1.6507020349707376e-06,-3.6284781472630544e-05,6.786151831907552e-06,-5.9392727545281985e-05,1.0975706252834448e-05,-8.191900154765552e-05,1.3637467631495057e-05,-0.0001006603193301823,1.4630366561547143e-05,-0.00011313472700982596,1.4199368966471726e-05,-0.00011788441886764509,1.2853137925892853e-05,-0.00011462143987161966,1.1206800875399436e-05,-0.0001041939156963689,9.819998690031611e-06,-8.838107238410226e-05,9.063016629706826e-06,-6.95531062324685e-05,9.0404027877111e-06,-5.025329486021785e-05,9.590503498408888e-06,-3.277311783858322e-05,1.0361122929116239e-05,-1.8793374750698478e-05,1.0939999347289828e-05,-9.153879118610684e-06,1.1000767687885163e-05,-3.7917316349376746e-06,1.0417024356933713e-05,-1.8584463202287584e-06,9.312642384562912e-06,-1.9933871571975024e-06,8.109879253450368e-06,-2.706941572434065e-06,2.355369134999041e-06,-9.167950987586449e-07
3,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,8.180309811459338,-5.844696429706307e-06,-2.229910530534083e-06,-8.191437028137449e-06,-4.139265830374599e-05,5.359535634820195e-06,-9.385777639900992e-05,1.8889676393274918e-05,-0.00015418651329946888,2.995421809028266e-05,-0.00021301762501967067,3.699079624091364e-05,-0.0002617516771243536,3.961075077997524e-05,-0.000293681903278091,3.846289470247839e-05,-0.00030485699921199873,3.4909862386829415e-05,-0.00029450707994351275,3.0604468340622184e-05,-0.0002649706887278,2.7048731917876393e-05,-0.00022114502946631216,2.5225976516315035e-05,-0.00016955797542203774,2.53883476365187e-05,-0.00011721941590613808,2.705299676190353e-05,-7.044678887852316e-05,2.9210280093149944e-05,-3.386637812023376e-05,3.0687323333624394e-05,-9.76375007451704e-06,3.05593215291247e-05,2.1053063708315907e-06,2.8477704653923182e-05,4.214360419911089e-06,2.4824301304840458e-05,5.384314459577156e-07,2.0838233839692746e-05,-4.470504150852318e-06,5.827102167485092e-06,-2.267949737152985e-06
4,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,12.905950925310709,-9.236004581977363e-06,-3.5154514462371166e-06,-1.1930661865259234e-05,-6.839110349989912e-05,1.0985200652035486e-05,-0.00015633574293887395,3.3957784149770534e-05,-0.0002577643860861631,5.277916814255761e-05,-0.0003566571705012205,6.475209359788666e-05,-0.00043814285134437275,6.919242356823645e-05,-0.0004905550422084141,6.721070698826134e-05,-0.0005070073762450251,6.116074978932467e-05,-0.0004861892764234512,5.390494020187341e-05,-0.00043226989503213206,4.8041213685272e-05,-0.0003539475160752482,4.5251672528065814e-05,-0.00026281721603578143,4.5921438103798434e-05,-0.00017133508439705805,4.912715497549533e-05,-9.072469666984705e-05,5.3006583537055326e-05,-2.9185064075384883e-05,5.541250202669341e-05,9.28954026380586e-06,5.466055798426706e-05,2.5277038525315105e-05,5.013692305503476e-05,2.3428568104112916e-05,4.259748244202733e-05,1.1211944587815906e-05,3.437826003029294e-05,-2.866562231026856e-06,9.204784728335552e-06,-3.5831789677071064e-06
5,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,16.779120472776224,-1.2024510761926596e-05,-4.566660335540403e-06,-1.4135530719632335e-05,-9.315022746958082e-05,1.7743395386072125e-05,-0.00021450646804710245,4.9795150381830164e-05,-0.00035477407600221437,7.608319113546909e-05,-0.0004914436918348644,9.279882269079287e-05,-0.0006034507621782763,9.8965283556744e-05,-0.0006741998792737265,9.614651892631235e-05,-0.0006938905759595249,8.767597122558135e-05,-0.0006607127288432723,7.761443982660343e-05,-0.0005807450323233971,6.964328705719366e-05,-0.000466607126619021,6.612335650171877e-05,-0.00033511225010350094,6.753772377228275e-05,-0.00020432128941605008,7.246890598327818e-05,-9.049863233252706e-05,7.813456298123012e-05,-5.49230640243826e-06,8.13463484341592e-05,4.500784892574013e-05,7.961633129251429e-05,6.203809954629042e-05,7.206806949032833e-05,5.267323351532972e-05,5.989843864710233e-05,2.8239064514488558e-05,4.665846027919946e-05,1.770230639688085e-06,1.1979288866187326e-05,-4.6650329729764265e-06
6,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,20.6304868543625,-1.4806179713735575e-05,-5.6086412288928795e-06,-1.51970293898998e-05,-0.00012120198502838698,2.7254005232533862e-05,-0.0002813715929584396,7.004143272467982e-05,-0.0004668380757449511,0.00010515318342067648,-0.0006473188328942439,0.00012745358922043118,-0.0007942663228298766,0.00013561792537467737,-0.0008851101264984345,0.00013175928187201627,-0.0009065325616133275,0.0001203971320458506,-0.0008561783028028214,0.00010704470485810229,-0.0007425611321428402,9.669405270097163e-05,-0.0005832322677452004,9.25149201898359e-05,-0.00040154692920716246,9.507395954536358e-05,-0.0002225812270896341,0.00010229361064857622,-6.889272987465288e-05,0.00011019582087073221,4.314708053504243e-05,0.00011425016558976354,0.00010581216011584212,0.000110943324998503,0.00012085438292341892,9.908670931697054e-05,9.858970173649006e-05,8.049335689673907e-05,5.545043034865587e-05,6.032522055468609e-05,1.0487276903905426e-05,1.4743445063980105e-05,-5.745478061575059e-06
7,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,24.566424088059556,-1.7659346513503083e-05,-6.668270061101935e-06,-1.4540274106150156e-05,-0.00015512693793985543,4.123031389745665e-05,-0.00036345223575088507,9.755260257574511e-05,-0.0006050150913432629,0.0001437640148920503,-0.000839595791887467,0.00017305186388610894,-0.001029030042614696,0.00018365956680664467,-0.0011430642021908154,0.0001784118283802833,-0.0011638947589655997,0.00016335564136769692,-0.0010885695464432645,0.00014587534973008773,-0.0009289175993175223,0.00013264958372829813,-0.0007090871771992387,0.00012787558631888502,-0.000461143919388788,0.00013218655679985236,-0.00021947884332232444,0.0001425795180550673,-1.497470255196174e-05,0.00015343517145364446,0.00013006584325230117,0.00015839389602202497,0.00020534685775348437,0.00015256003575402007,0.00021377333742075077,0.00013435745954992582,0.00017023952422439507,0.00010650298175612445,9.829805064436404e-05,7.640815181571621e-05,2.5380381205134405e-05,1.7573361518136664e-05,-6.856331284977775e-06
8,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,29.383379345497648,-2.1168909176069867e-05,-7.952893867718355e-06,-9.77895483371847e-06,-0.00020855775494825823,6.792851341357884e-05,-0.0004949150883988289,0.00014650688539120246,-0.0008272376430252933,0.00021088851419906408,-0.0011486833089995696,0.00025152278185041477,-0.0014049771233664908,0.0002659739902436796,-0.001553032522327227,0.00025827375004064125,-0.0015676618818161933,0.0002370281914164326,-0.0014451699924248943,0.00021275763876519712,-0.0012033285745857829,0.00019497017348791954,-0.0008778330599999341,0.00018957137652586938,-0.0005158862597928681,0.00019724503942570673,-0.00016799407027520707,0.00021330910824205888,0.0001206391884405343,0.00022921105516868564,0.0003176318148505984,0.00023534103735330168,0.0004085412820901172,0.0002243774896233148,0.0003986865339650524,0.00019413245989362429,0.0003114033464328671,0.00014905119043264687,0.0001831493889533942,0.00010063225480678679,5.646234655780445e-05,2.1042680000869384e-05,-8.229891899979514e-06
9,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,34.49474803921691,-2.4924035819545627e-05,-9.287059420556335e-06,4.458340157019954e-06,-0.0002929142719699073,0.00011836326313759368,-0.0007061747475668483,0.00023349888634601018,-0.0011855506461477558,0.00032752348302315183,-0.0016463101676126163,0.0003864851304105091,-0.002007243341045373,0.0004069157088506183,-0.002203973812312678,0.0003948725578579866,-0.002199337628608293,0.00036319711595462817,-0.0019889747317379802,0.0003276214640419398,-0.0016013475694293437,0.00030239539033367316,-0.0010923250386012206,0.0002963030085872572,-0.0005352976045873894,0.0003100707259529881,-8.472138808352214e-06,0.0003360383993979848,0.00041851781466675184,0.00036045498009189714,0.0006963678572696304,0.0003679557957451184,0.0008041303439653131,0.0003469716618910944,0.0007520824369206273,0.00029436748307488296,0.0005789860945819063,0.00021786049344279268,0.0003443948820749669,0.0001363056809135394,0.00011761360867784927,2.472855388059034e-05,-9.717580468852e-06
10,2.341734040181104,98428630.14098023,20173.878545833268,393.0327973703539,0.9313197486387571,0.08381091387448399,0.09082752619447929,0.006893765752797948,0.9510585919612033,475.9415248077634,8.008426656780737,7.288574649882157,248.39215621212225,8.008426656780737,7.288574649882157,248.39215621212225,37.96996400436247,-2.7509598529166733e-05,-1.0156845793955168e-05,2.571009094074268e-05,-0.0003852810988024478,0.00018035896915598304,-0.0009405229817509471,0.00033642051142276957,-0.0015838263650933024,0.00046344213217920703,-0.0021986246523935014,0.0005426903975793974,-0.0026731403346449824,0.000569614180767832,-0.0029190433041983545,0.0005525042627838408,-0.002885975720466927,0.000508869219809965,-0.002569364306143323,0.0004602626877237627,-0.0020104278525373137,0.000426341478614452,-0.001288570711001699,0.0004192733105608953,-0.0005074915048968988,0.0004399298977373221,0.00022271238446490438,0.00047723218443329764,0.0008044593832090065,0.0005113205956381244,0.0011693312107987903,0.0005200086424401446,0.0012894436582750327,0.00048670282664291725,0.0011814616421980176,0.0004072286378184237,0.000902607742153948,0.00029332448307579066,0.0005396230061758217,0.00017259554450128434,0.00019302368487045027,2.7234367736749072e-05,-1.0764673372599554e-05
