时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,2.8686451624728995,-2.0292591163269646e-06,-1.0587841043230326e-06,3.0854665767218832e-06,-2.0245573427817308e-05,1.20338043212092e-05,-4.6645019201908284e-05,2.0695294896198777e-05,-7.554644892541897e-05,2.7374503075711618e-05,-0.00010154316995810197,3.116462962307107e-05,-0.00011979765068433233,3.2014109120812045e-05,-0.00012682193885382628,3.059688568820067e-05,-0.0001210287032880931,2.803738863311723e-05,-0.0001029526821218111,2.555648982679608e-05,-7.511544638597617e-05,2.4119033549979347e-05,-4.1559907878504146e-05,2.4166077417355447e-05,-7.13499354646006e-06,2.550045911397569e-05,2.3348428407206293e-05,2.736080729964163e-05,4.594502199650329e-05,2.867067157951727e-05,5.824011805254688e-05,2.8398111111335036e-05,5.9732864965656774e-05,2.592363317559499e-05,5.1868623133029265e-05,2.13047049925816e-05,3.771471194169434e-05,1.5350884839471733e-05,2.134358437375269e-05,9.48696582520985e-06,7.033185481953403e-06,3.7718292624878695e-06,-6.009212911675488e-07
3,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,6.7740141822282,-4.796797931376071e-06,-2.4965740201210276e-06,1.0311032587897909e-05,-5.5399352840371784e-05,3.5412470557728246e-05,-0.00012884379771039057,5.973057178112145e-05,-0.00020931975785623062,7.848175853654037e-05,-0.0002815199994436649,8.909259116355399e-05,-0.00033166368972620453,9.14064676478031e-05,-0.00034978354686085976,8.733021423658245e-05,-0.0003313450762647661,8.006093613195046e-05,-0.0002779113526081111,7.307938832608801e-05,-0.0001967722827609597,6.913818120337625e-05,-9.961390204413104e-05,6.948427389591516e-05,-4.5806466248352504e-07,7.351845972466866e-05,8.677860423822269e-05,7.900096325639795e-05,0.00015068580608665696,8.277153110573092e-05,0.00018429681040402042,8.179971023447737e-05,0.00018621256126639875,7.426734279927459e-05,0.0001607110396972949,6.035431606892211e-05,0.00011682517768777298,4.247376270746489e-05,6.657450700157216e-05,2.4885545392060608e-05,2.2675173402397464e-05,8.910389131397977e-06,-1.424911934328308e-06
4,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,10.446472430781549,-7.4062231110045714e-06,-3.841408980459827e-06,2.2775543699070877e-05,-0.00010270692130528476,7.046210283768587e-05,-0.00024114732709335749,0.00011666737990035995,-0.00039288893324133077,0.0001522751949878049,-0.000528601224245654,0.00017236215412539923,-0.000621746736694698,0.00017661415461262708,-0.0006530898603222356,0.00016867454872175185,-0.0006138976651003358,0.00015468161381977362,-0.0005072778900142245,0.0001413424406170195,-0.0003474898739875449,0.00013397398074369238,-0.00015737291609133002,0.00013497461059128746,3.566413327541902e-05,0.00014313274066308728,0.00020441467041317654,0.00015400565930730612,0.0003265850554392948,0.00016132507071248446,0.0003886093742818585,0.00015907531703933956,0.00038787627010237357,0.00014365277649344897,0.000332965968214506,0.00011544546200368374,0.00024186457792357887,7.932045341304186e-05,0.00013851834421935242,4.3867105313144665e-05,4.837671815156728e-05,1.3745079295353752e-05,-2.2099376898428156e-06
5,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,15.105480522619375,-1.0734109015265401e-05,-5.5225103678751325e-06,5.735670350952019e-05,-0.00021010194714799315,0.00015802454365767266,-0.0004998093878214061,0.00025546899535191364,-0.0008172426144825633,0.00033047295431300503,-0.0010997716193894675,0.0003726318546447015,-0.0012904627406815714,0.00038123340703266904,-0.001347995215799049,0.00036394222719341693,-0.0012537149729328469,0.0003337918350086882,-0.0010146340642494098,0.00030515305275426245,-0.0006620072620485008,0.0002895326252877607,-0.00024579158019937084,0.00029218249708015296,0.00017406920932600323,0.0003104540164225838,0.0005380790025752835,0.00033450371772404057,0.0007975484224304284,0.00035034509864209846,0.0009230268391727624,0.0003444999321367225,0.0009092516418236611,0.0003089041287282987,0.0007757016982052524,0.00024452552108650754,0.0005626842014089992,0.00016248907714939664,0.0003237649283633319,8.233504552604987e-05,0.0001160160018662769,1.9877270043711208e-05,-3.2369869409491747e-06
6,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,17.72167189305934,-1.2623223324955241e-05,-6.43210097034663e-06,0.0001017833460452939,-0.00033402901222702344,0.0002644749415202847,-0.0008010783634274222,0.0004217768392552312,-0.001312716534359802,0.0005428275172499561,-0.0017669435188999083,0.0006109013287872021,-0.0020708580457940774,0.0006247274651791739,-0.002157024507515046,0.0005964494989862343,-0.001995101873749772,0.0005469734492721405,-0.00159681370458557,0.0004996356168022279,-0.0010136660067185793,0.0004734204023375631,-0.0003279122924291005,0.00047727047554081735,0.0003617254946543755,0.0005071060858976844,0.0009572313034781282,0.0005467328579160766,0.0013784266430418599,0.0005727987068761571,0.0015769728433308351,0.0005626227903264291,0.0015446109765971426,0.0005025822443908263,0.0013140805312238774,0.0003943295277013246,0.0009526082977648837,0.000256700233318441,0.0005493515684707844,0.00012264692550873423,0.00019930727787334526,2.331428775072772e-05,-3.853127885575417e-06
7,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,19.16703512902514,-1.3684170213695398e-05,-6.904325114682945e-06,0.00014779020095940306,-0.00045767493908836695,0.00037235030310552687,-0.0011030221466101942,0.0005893164370711682,-0.001810205030165233,0.0007564161966465798,-0.0024376584274311604,0.0008507053458279688,-0.0028562913513306754,0.0008702079111611151,-0.0029723561746499492,0.0008312106317201943,-0.0027436640251041317,0.000762168485508368,-0.0021865233343784513,0.0006952858292443959,-0.0013726109264729253,0.0006572401064687484,-0.00041647676359306604,0.0006610915404481119,0.0005442650668022144,0.00070173561632842,0.0013728537725159866,0.0007567910584833912,0.0019573444742709135,0.0007933859174215875,0.002230271825430308,0.0007792784656983922,0.0021802521561506524,0.0006949536329736295,0.001853277082706026,0.0005426364253297755,0.0013435576606968653,0.0003490236069370944,0.0007759246326134937,0.00016075611794217284,0.0002833867303685585,2.520781669448683e-05,-4.2263236788162545e-06
8,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,20.07482154891724,-1.4365410414196393e-05,-7.175263980877081e-06,0.0001944633859382735,-0.000581562100395905,0.00048067824647062094,-0.0014064001665667247,0.0007571078448989583,-0.002310922908991744,0.0009703120627772096,-0.0031138774852286014,0.0010912240817186557,-0.0036497918120778463,0.0011169945683218733,-0.0037983850928451617,0.001067682918970937,-0.0035053769964421434,0.0009789291279884249,-0.002791396345845101,0.0008916751366260596,-0.001748030035884615,0.0008404959723449987,-0.0005219242439470762,0.0008430179589291253,0.0007104882339974338,0.0008935720238806654,0.0017736141722891948,0.0009638263927604082,0.002523519379031107,0.0010113023638674335,0.0028733275197582865,0.0009938762548731379,0.002808258759712961,0.0008857969754862794,0.002387329411083177,0.0006896893100427248,0.0017315395371896693,0.0004401645289839975,0.0010012183524053557,0.00019772269197143125,0.00036726418552625534,2.6394279972080525e-05,-4.487372335733094e-06
9,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,20.691884059701387,-1.4841937202543215e-05,-7.336989326196411e-06,0.00024143654630696813,-0.00070587705042969,0.0005890578690992785,-0.0017114830362901976,0.0009247362075096807,-0.002815334079007962,0.0011841130171310367,-0.003796398927903975,0.001332095834069383,-0.004452637120315161,0.0013647883386361105,-0.004636988502505331,0.0013056383901018124,-0.004282787519755326,0.001197086740631436,-0.003414650119051349,0.0010886620668167834,-0.0021437327373041797,0.0010230307490998575,-0.0006484965486740188,0.0010228406021234877,0.0008559490163289036,0.001082343836452947,0.0021551312227537133,0.0011675310617347246,0.003072904065993328,0.0012262628275968223,0.0035026533198251604,0.0012062271807515947,0.0034258539351700776,0.0010750819866417092,0.002914222190128415,0.0008356445259033353,0.002115252737988735,0.0005304484202491495,0.001224514804615976,0.00023398483913336996,0.00045062118512440247,2.720007869108701e-05,-4.687356802754792e-06
10,5.387796279591419,187007016.9799469,4899.960170663515,1356.2734364894263,2.3688521319202085,0.25282858590726714,0.15543103835108557,0.009340772462981026,2.4389612766898594,905.6496601445992,4.975404942636038,4.014771059850153,31.963361033726642,2.68570429253011,7.254161680765074,137.94686278239465,21.133510266325967,-1.5195516355443659e-05,-7.432530756242446e-06,0.0002885244190481994,-0.0008306770416862641,0.0006972672752238284,-0.0020183293542972683,0.0010919494938379142,-0.003323555007665419,0.001397550930592878,-0.0044854778435659505,0.0015730570595790978,-0.005265307494354066,0.001613353578416857,-0.005488945184888412,0.0015448871392005593,-0.005077018299009699,0.001416500631312847,-0.004057758596185662,0.00128614000229396,-0.0025615077469855647,0.0012047426653167231,-0.0007982158103416783,0.00120043224316715,0.0009785118350353582,0.0012678829500075862,0.0025152984236489614,0.00136770620594952,0.0036035622395767914,0.0014380725191796475,0.004116597771078119,0.0014161872770517068,0.004031740746437371,0.0012627552079591323,0.0034330301071320976,0.0009805554177122473,0.002494111094196688,0.0006200223235565162,0.001445496320312582,0.0002697480326486791,0.0005333172518926279,2.7777765177416717e-05,-4.8501513352544994e-06
