时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,4.0191065066596785,-5.913687581128088e-07,-3.586187768708742e-07,-3.664278240075216e-05,5.771768063361687e-05,-6.647830471626822e-05,0.00011278067510861577,-8.828193284064325e-05,0.00015785809857195383,-0.00010100658395670161,0.00018767589274685753,-0.00010521550220741526,0.00019856835454297125,-0.0001028089295650299,0.00018887396048925502,-9.654887635966254e-05,0.00015912064883837827,-8.946934064141807e-05,0.00011199019296498354,-8.426597291897971e-05,5.204743282732149e-05,-8.277039806072134e-05,-1.4738691595531747e-05,-8.559963007305819e-05,-8.163205814358758e-05,-9.204036828318667e-05,-0.00014184906669293477,-0.00010018413696034019,-0.0001892751634457313,-0.00010728256951695391,-0.00021909548777346286,-0.00011025452991754831,-0.00022827417929475923,-0.00010625508776005929,-0.00021583859211224578,-9.321513875318072e-05,-0.00018295370492105647,-7.026868343125153e-05,-0.00013277651690378153,-3.8008264117595036e-05,-7.012723813554481e-05,5.91162775665344e-07,-3.5916250140803913e-07
3,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,9.00380513980952,-1.3252182059704962e-06,-8.033634710327918e-07,-0.0001256331263506914,0.00020209940913942128,-0.0002287556415315928,0.0003926821065206074,-0.0003037506264665927,0.0005482573299831828,-0.0003472509455734474,0.0006510457307543254,-0.00036135654857185294,0.0006886558879729761,-0.00035271868759125267,0.000655484444403308,-0.0003309137840504659,0.0005534065742401555,-0.0003064091110956711,0.00039168556019055466,-0.0002884585118915959,0.00018605741846553322,-0.00028329820505023425,-4.29212954112907e-05,-0.00029295942962169225,-0.0002720812675324009,-0.00031490214500095703,-0.00047813570497416913,-0.0003425171134081957,-0.0006401580636454198,-0.00036637972727795824,-0.0007417530838082336,-0.000376010291132765,-0.0007726959581381344,-0.0003618264137635991,-0.0007298951975430388,-0.00031697407221305393,-0.0006176290518618918,-0.000238764584062546,-0.0004470355303725633,-0.0001295188420590879,-0.0002349592152400183,1.324506849509774e-06,-8.047121492098007e-07
4,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,13.297435622738643,-1.9585401397857573e-06,-1.1862881790861508e-06,-0.0003411513317430928,0.0005553547520376059,-0.0006228669527156955,0.0010737518563784568,-0.0008264170713004364,0.001495265529649335,-0.0009432462874467632,0.0017723724205858976,-0.0009797078412082645,0.001871904020550278,-0.0009545278499926694,0.001778975086135862,-0.0008942680595070223,0.0014990081647878993,-0.0008276547214124486,0.001057550692359663,-0.0007797711327956006,0.0004977708774608913,-0.0007671655223366959,-0.0001241215204325674,-0.0007947482592755839,-0.000744987341758883,-0.0008550021084046723,-0.0013016244358535678,-0.0009295706175974191,-0.0017375249027790822,-0.0009928343296360285,-0.0020087338364874587,-0.001016751350647246,-0.002088219727775945,-0.0009760896976070052,-0.0019684030747294944,-0.0008532206722525011,-0.0016617234254093871,-0.000641802356754552,-0.0011992248821766263,-0.00034887340805951573,-0.0006273699325312883,1.9566002908483277e-06,-1.188746610179142e-06
5,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,14.915094805747334,-2.198711908632393e-06,-1.3303839205881745e-06,-0.000559494693118211,0.0009097210331008845,-0.0010222810759064256,0.001755465980179202,-0.0013552302920275005,0.0024414294460276494,-0.001544725829512448,0.0028901392041180917,-0.0016019324101332623,0.003047457803051574,-0.0015584761151266145,0.00288918887973216,-0.0014587335348027132,0.002424554826744334,-0.0013502525133530393,0.0016959398851629714,-0.0012740599842447021,0.0007747107749144706,-0.0012566525836923727,-0.0002464474580753495,-0.0013051095078818122,-0.0012637131347374533,-0.0014061216100425427,-0.002173479397442994,-0.0015289326292074327,-0.0028834251290605147,-0.0016314361747845718,-0.0033220270523574287,-0.0016681617567125696,-0.0034455978303810845,-0.0015987036373696485,-0.003242332980938568,-0.0013952810773847307,-0.002733199640238694,-0.0010484407640287748,-0.0019696469847193154,-0.0005702243322822005,-0.0010284065912003777,2.1955277884320554e-06,-1.3336796398283448e-06
6,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,15.749954821866421,-2.324300537756325e-06,-1.404616021811713e-06,-0.000777228145086253,0.0012577517599114828,-0.0014204013829675313,0.002424413910368471,-0.0018814873217169348,0.0033687754387300836,-0.002141909397845918,0.003983515562797031,-0.0022180584208894055,0.0041935195213623115,-0.0021550459153761334,0.003965280784496389,-0.002015596376542602,0.0033119269781225163,-0.0018663413772973146,0.0022929065445593177,-0.0017641166881122905,0.0010080704716192925,-0.001744853377872289,-0.00041318425034213627,-0.0018170642843655107,-0.0018262585524003536,-0.001960933112011096,-0.003087219042083041,-0.002132845245945985,-0.004068140307030444,-0.0022741526441184003,-0.004670180572161869,-0.002322310386955877,-0.00483319837629254,-0.002222363073871855,-0.004541274649900243,-0.0019370373442517083,-0.0038239452386868646,-0.001454217670772903,-0.0027531112623579816,-0.0007910199780396155,-0.0014359088130153183,2.3198771013425785e-06,-1.408677939609594e-06
7,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,16.254227683222442,-2.4018585722927895e-06,-1.4493443533876928e-06,-0.0009937942738518124,0.0015983811805629277,-0.0018161355457195511,0.003078769723762127,-0.002403759296483561,0.004274941601240754,-0.0027332178522534918,0.005049843862569959,-0.0028265094441840264,0.005307376620654512,-0.002742768114577575,0.005004708637425517,-0.0025635440947544778,0.004158944339695109,-0.002374762596231536,0.002846770622051559,-0.0022488938851997478,0.0011967377449277128,-0.0022307703426475136,-0.0006248894912409117,-0.0023296076967029844,-0.0024327172070743816,-0.002518392233450447,-0.0040426219653658686,-0.00274022909885846,-0.005291309542470336,-0.002919910254577864,-0.006052859576067495,-0.0029781952524832035,-0.006250836029745604,-0.0028462084849435665,-0.0058652520831423485,-0.002477826803286305,-0.004934181444076547,-0.0018586852420324701,-0.0035499543424146922,-0.001010995848727251,-0.001850189114443378,2.3962046126762586e-06,-1.4541543975058174e-06
8,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,16.587139465218726,-2.454820399719879e-06,-1.4787787033462663e-06,-0.0012088598382555644,0.0019312307700752485,-0.0022088449816176337,0.0037178816518470387,-0.0029212057698819313,0.005159082252187118,-0.00331771301246813,0.006088171473125201,-0.0034263386021941124,0.006388058643884926,-0.0033207495853614256,0.006006570449605911,-0.0031017673704265528,0.004964850388391915,-0.0028747889023813165,0.0033569799893838903,-0.0027277197074765678,0.0013403956810390564,-0.002713747652479268,-0.0008816496040265435,-0.002842062592373198,-0.0030829856136764346,-0.0030777783166973773,-0.005039462228667771,-0.0033503210132734013,-0.006552662539698499,-0.0035679283894042087,-0.007469820133249997,-0.0036350618480907385,-0.007698342729280248,-0.0034695635672230807,-0.007214194783529972,-0.003017100345902378,-0.006063929301447933,-0.002261456182477615,-0.004360258438557995,-0.0012299377203428042,-0.0022713405866744488,2.447947322534188e-06,-1.4843404017545779e-06
9,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,16.819094671819993,-2.4935473340776766e-06,-1.499200991666701e-06,-0.0014221465635877956,0.0022561106021159036,-0.0025980044371852326,0.004341414262101253,-0.0034331318911686795,0.006020753060050904,-0.003894612875472676,0.007097988955562716,-0.004016749536855801,0.007435039994418206,-0.0038882317508393298,0.006970376579354163,-0.003629570924033037,0.005729243051021301,-0.003365786865204084,0.0038232645087547036,-0.003199999490025873,0.001438934243187021,-0.0031931948374267715,-0.001183410324831128,-0.00335380923905116,-0.0037768672239895536,-0.0036384216042236683,-0.006077443884091003,-0.003962400531820432,-0.007851856495526312,-0.0042174569731588205,-0.008920722382986145,-0.004292169750619965,-0.009175419890386349,-0.004091747900584886,-0.008587869299524969,-0.003554290159280812,-0.007213031148546467,-0.0026621208625353613,-0.005183940837439088,-0.0014476240721299609,-0.0026993430655282507,2.485468884571118e-06,-1.5055298259783884e-06
10,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,16.986010302444136,-2.5233244218399797e-06,-1.5138148638164039e-06,-0.0016333965220166262,0.002572902487283607,-0.0029831308327652505,0.004949151403751124,-0.0039388969881143715,0.006859659288330973,-0.004463193591644397,0.008078949831851288,-0.00459700205178861,0.008447956259973024,-0.0044445063426222405,0.007895784769615952,-0.004146302020431952,0.006451845732501269,-0.003847157530630107,0.004245453939153799,-0.0036651657819613418,0.001492318469349177,-0.0036685426928603497,-0.0015300622618496654,-0.003864244405628921,-0.004514122200856547,-0.004199664591527146,-0.007156229673439033,-0.004575754814602691,-0.009188499678017128,-0.0048677478682049285,-0.010405162922207858,-0.004948773809445926,-0.010681688447379543,-0.004712069771987617,-0.009985948547445785,-0.004088812771751638,-0.008381232532710519,-0.0030602546646078853,-0.006020833933935852,-0.001663827059679762,-0.00313412113801532,2.5140565856586835e-06,-1.5209344654078352e-06
11,4.267749462453109,56395063.54039646,10266.62568605931,227.86411693063755,2.1785187702334383,0.3336083381596302,0.1301692283434063,0.006942003335255983,2.3079567628336397,1148.1807035716802,10.0,10.0,0.0,10.0,10.0,0.0,17.108161026443096,-2.547133564012333e-06,-1.5244277802134529e-06,-0.001842364428563589,0.00288153082373253,-0.003363766922255569,0.005540950203874939,-0.004437894992989566,0.007675600848905711,-0.005022770956946563,0.00903081436948738,-0.005166397402175972,0.00942655388372949,-0.004988905445725197,0.008782561526763311,-0.004651344596939359,0.0071324843207989826,-0.004318332858681637,0.0046234719367647,-0.004122675026747333,0.00150059816871134,-0.004139238670866968,-0.001921419260924489,-0.004372775066499019,-0.005294439374022436,-0.004760854988830907,-0.00827541287487504,-0.005189672847706992,-0.010562129133636373,-0.005518052642067101,-0.011922662866312567,-0.005604127177188925,-0.012216689486836086,-0.005329834628765139,-0.011408024331008558,-0.004620081040525263,-0.009568203085420921,-0.0034554294718939066,-0.006870708497051074,-0.0018783178998305165,-0.0035755621252140505,2.5366944940072984e-06,-1.5323681066602049e-06
