时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,4.521729917583885,-4.796615115668993e-06,-1.2687803385059957e-06,-3.3750906091013206e-06,-2.288354851466175e-05,7.800096104311514e-06,-5.322897618290945e-05,1.944435445542205e-05,-8.89066634312688e-05,2.910416203763228e-05,-0.0001235178577185491,3.524425216767906e-05,-0.00015110657517196867,3.7470596077698945e-05,-0.00016703524003526795,3.641318157178074e-05,-0.0001686760140951927,3.340401481191817e-05,-0.000155757840643672,3.003071672463583e-05,-0.0001303198855963538,2.7668756206524107e-05,-9.628416401939335e-05,2.7102757413404028e-05,-5.8724193435214476e-05,2.8330939301297077e-05,-2.2955789805809847e-05,3.060554942457561e-05,6.390675157180529e-06,3.270123340909793e-05,2.6150221205246115e-05,3.3337440390883824e-05,3.5112609624674694e-05,3.163091343007139e-05,3.413252066080441e-05,2.7436936926846805e-05,2.5841286922303508e-05,2.146823407089043e-05,1.402299336850287e-05,1.5245384954474871e-05,2.756517763353505e-06,4.778622616604811e-06,-1.2979760716371638e-06
3,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,10.55844003855855,-1.1217506443547875e-05,-2.956431383796961e-06,-5.068985909297088e-06,-5.9643636583372426e-05,2.536712065639222e-05,-0.00014106698689595615,5.7162196310640845e-05,-0.0002370570578734334,8.355143886813079e-05,-0.00032999703523392077,0.0001002812325649778,-0.0004032780698166713,0.00010624652841485442,-0.00044388896959239447,0.00010319997428457793,-0.00044445783920232145,9.486811452801687e-05,-0.00040429931451695545,8.569993994644886e-05,-0.0003293210813302478,7.953952991109521e-05,-0.0002308247281285604,7.853947547415461e-05,-0.00012341850102481542,8.259109277988659e-05,-2.240295271851728e-05,8.943353199275961e-05,5.8911562126600874e-05,9.5428727383198e-05,0.00011147325610278502,9.679511152164512e-05,0.00013192704639102454,9.094216268723471e-05,0.00012296268997211084,7.749342865364913e-05,9.251713134643801e-05,5.86706920266878e-05,5.2011635154253805e-05,3.913817846651833e-05,1.3935778762612476e-05,1.1165887644788156e-05,-3.040698572271677e-06
4,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,16.60080134043858,-1.76696061370646e-05,-4.6309721880786e-06,-6.045850639795697e-07,-0.00010998977565677451,5.8430192229589866e-05,-0.00026527613072040287,0.0001201481803687453,-0.0004485863211132942,0.00017131070935565645,-0.0006253904064106539,0.0002035891305173547,-0.0007627816226741282,0.00021482018040942593,-0.0008348736536581123,0.0002084896482098139,-0.000827055256909731,0.0001920136048240387,-0.0007382130665141081,0.00017425552268408165,-0.0005806111909244021,0.00016285567206842438,-0.00037749245253914987,0.00016201281759940477,-0.00015883532315289647,0.0001712960195919191,4.400167556932945e-05,0.00018584662596527867,0.00020380778725671947,0.0001979724892997301,0.00030222133522496463,0.0001997239763331143,0.0003327353295130496,0.00018570976037513787,0.00030145914898325896,0.00015528345053088493,0.00022551845765961866,0.0001134019589540899,0.00012946358159425357,7.023551644816808e-05,4.03679264524465e-05,1.7564152116872595e-05,-4.8041642381001834e-06
5,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,22.833431953078012,-2.4367766116337476e-05,-6.3191586069582945e-06,1.958811955677988e-05,-0.00019621335464144424,0.00013133157357805305,-0.00048464176727808553,0.0002479230192381615,-0.0008248660531847017,0.00034421479363719304,-0.001150792553458689,0.00040448607844349385,-0.0013989596917606886,0.00042472077867561337,-0.0015194075765090956,0.0004116913523540175,-0.0014842310278068436,0.00037973660900313756,-0.0012920984491969724,0.0003460231802137377,-0.0009680998386647814,0.0003253510048603045,-0.0005590410194869416,0.0003257350778598508,-0.0001250187654028958,0.0003459493945019586,0.00027128955652168683,0.0003758439707280856,0.0005757482614426885,0.00039953501173844454,0.0007522714172788145,0.0004006889109722157,0.0007889268845378647,0.00036837528860541083,0.0006994929899038411,0.0003016540199008435,0.0005202266343044103,0.00021139571066018637,0.0003026019159576039,0.00011922891606005978,0.0001034902789873799,2.4157641060742114e-05,-6.6664167160016436e-06
6,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,27.1298953907381,-2.9041540685702697e-05,-7.415455115766748e-06,5.963717514442079e-05,-0.00031340149136843643,0.0002462383916055057,-0.0007891317843911604,0.0004402300020135968,-0.0013491751742125693,0.0005997794329268544,-0.0018821400491815824,0.0006989978674920239,-0.0022808395794536767,0.0007313817713000554,-0.002461113150095715,0.0007083067363607869,-0.0023765545809348028,0.0006538093267016496,-0.0020262824387287767,0.0005968250245371441,-0.0014546781020281093,0.0005624822094282078,-0.0007433015806314555,0.0005644526691578478,3.621966991068322e-06,0.0006004670256805252,0.0006777311095433298,0.0006526043883219329,0.001185859492956813,0.0006927520322179482,0.001466617297449013,0.0006919792094231279,0.0015010265713169403,0.0006310828367630327,0.0013151474720858743,0.0005088932181210414,0.0009742861774619986,0.0003455140964787294,0.0005701779639260803,0.00017997279349100663,0.0002038798528819795,2.867907508862547e-05,-8.01722851578003e-06
7,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,29.382259890781953,-3.154027211538973e-05,-7.926597394926525e-06,0.00010479803595329287,-0.00042868079215869966,0.0003660694914167992,-0.0010917172079917845,0.0006369288625235416,-0.0018712741777855688,0.0008591874224459868,-0.0026103939991111245,0.0009971015155572074,-0.0031580207469990755,0.0010416962407625633,-0.0033958395869286236,0.0010086583100802488,-0.003259151271087562,0.0009313336775473057,-0.0027478191995101583,0.0008502252186864008,-0.001925832622963688,0.0008009351742026705,-0.0009098202631598231,0.0008032101104763795,0.00015155256799446827,0.000854164697925408,0.0011039557713460291,0.0009282647449972593,0.0018150114643135124,0.000984948804964264,0.0021980504138109386,0.0009822342092142135,0.0022273324730595575,0.0008922608904484755,0.0019416873166481434,0.0007135857575146725,0.0014360097518051514,0.0004758938029397446,0.0008427205198858681,0.0002360938255498898,0.0003072972236470485,3.102495756714232e-05,-8.784558952131263e-06
8,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,30.754372754308193,-3.3103080447874204e-05,-8.18494211840649e-06,0.00015216675846336115,-0.0005435873065502969,0.0004879263845917904,-0.0013948892872963576,0.0008352998735395277,-0.0023952786990477488,0.0011200605641017243,-0.003342021469619606,0.0012968507668083013,-0.004040000581744278,0.0013541472039832953,-0.0043366315472307855,0.0013115593655689457,-0.004148864572327893,0.0012112757475870128,-0.003477255766104482,0.0011051271788748,-0.0024053252681673003,0.0010393558779934068,-0.0010846922684386935,0.0010402866170668434,0.0002915589095424352,0.0011049833335290264,0.0015230549718101285,0.001200614276011773,0.0024380613707147935,0.001274082729420941,0.002924491518574982,0.001269961945786187,0.002949778920454118,0.0011513114591167762,0.0025655253320465508,0.0009162255992000637,0.0018962053705224426,0.0006040953097046058,0.0011148288929536925,0.000289974650802162,0.0004111218302423989,3.243526904399082e-05,-9.299247293497717e-06
9,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,31.67074293371165,-3.418280944083682e-05,-8.311872108947782e-06,0.00020065145729159358,-0.0006586199528292165,0.000610686951023195,-0.0016994388644561691,0.0010342676375853976,-0.0029225729810372506,0.0013814474818267441,-0.004079343776829579,0.0015974684341388383,-0.004930353536746897,0.001668144536859196,-0.005288538822951878,0.001616578815973223,-0.005052297916422534,0.0014932988746753138,-0.0042226552880623835,0.0013612020315362473,-0.0029024075595682594,0.0012773394395384373,-0.0012779271240487154,0.001275150702446315,0.0004134191584213512,0.0013522732274377325,0.0019251873435366215,0.0014689618895075767,0.0030461038240743765,0.0015595520924134932,0.0036384061843896154,0.001554797683942954,0.003662454055181591,0.0014082226593524697,0.003182411817126306,0.0011171952267175368,0.0023521230731068806,0.0007308432105014558,0.0013849348786654754,0.00034255957165908805,0.0005145671687437635,3.336314569814743e-05,-9.68224203963155e-06
10,8.661124595748092,249123529.65121424,5.820766091346741e-11,2399.223527874766,1.740007426052747,0.21309220911266083,0.1501499106254442,0.01033654084198692,1.8072860678460518,582.3698984850145,5.191985299054245,9.397076522331718,434.615192068789,5.191985299054245,9.397076522331718,434.615192068789,32.319183073312615,-3.4980029522857616e-05,-8.361167082587972e-06,0.00024974581601370355,-0.0007739564758104285,0.000733798162151136,-0.002005617302087578,0.0012332647571144854,-0.003453630848515205,0.001642807023341564,-0.004823242792437989,0.0018984760962411419,-0.005830548523756093,0.00198329732468654,-0.00625374855108111,0.0019234183848470235,-0.005972410103837986,0.0017771777101725067,-0.004987708440749126,0.0016182552040072428,-0.003421367051154666,0.0015146703828642946,-0.0014941893663435553,0.001507525842952351,0.0005123726143042629,0.0015956892384889447,0.0023057991479113003,0.0017329292810575137,0.0036350691034951615,0.0018410166874287567,0.004336413433305774,0.0018365223601476592,0.00436276725472243,0.0016629597794744393,0.003790537189871504,0.0013166618799182305,0.002802628540585089,0.0008564707033930362,0.0016524088493467923,0.00039427695689547084,0.0006173148704085224,3.4009344398943296e-05,-9.98710772978984e-06
