时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,4.148198189044647,-1.5172410998738305e-06,-3.6588464432315117e-07,1.24581469832998e-06,-9.504585021365525e-06,6.846007054004373e-06,-2.7082074821013235e-05,1.303258658654688e-05,-4.895348191523471e-05,1.8240510685159818e-05,-7.018942328776901e-05,2.1495960583755987e-05,-8.601252075166422e-05,2.25411962405073e-05,-9.268709440165479e-05,2.1774431117039825e-05,-8.820563441523362e-05,2.0038234174882705e-05,-7.264115875526899e-05,1.831570782367178e-05,-4.8109227752236046e-05,1.7409688507184702e-05,-1.8350943826659733e-05,1.768651714466248e-05,1.1983913694340953e-05,1.8956386755773393e-05,3.82209254254402e-05,2.053219845395215e-05,5.654633564298171e-05,2.1460054843195802e-05,6.472381445412077e-05,2.0859333956840444e-05,6.250214928440624e-05,1.826853417871027e-05,5.163331652431869e-05,1.3882529268254522e-05,3.5496640812423355e-05,8.596337691528329e-06,1.8405911324894357e-05,3.829462315978642e-06,4.732012926708434e-06,8.568606586956861e-07,-1.7684732991037299e-06
3,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,9.462362561469043,-3.463058823261773e-06,-8.317081316552154e-07,4.041499909023329e-06,-2.4979464807343787e-05,1.8956008816239943e-05,-7.162766018470241e-05,3.5442522208702005e-05,-0.00012975406443023813,4.93297895653835e-05,-0.00018619479918691466,5.801248981516769e-05,-0.00022813698690799403,6.079319481313989e-05,-0.0002455359202319236,5.872842801330465e-05,-0.00023298170085732102,5.406900827205448e-05,-0.00019066316140732963,4.945068941135207e-05,-0.00012427607771608396,4.7033526803642764e-05,-4.390613028511906e-05,4.78078329360537e-05,3.790097173007489e-05,5.1263309667141356e-05,0.00010852502486256664,5.554008594916154e-05,0.00015766470727103648,5.8048565788576116e-05,0.0001792789227911821,5.6392529671097596e-05,0.00017269458825795817,4.93126513776634e-05,0.00014266179182679387,3.733673493907281e-05,9.83453626030879e-05,2.2903470629228264e-05,5.146092057722213e-05,9.889513044566332e-06,1.3916376107915449e-05,1.951819486646037e-06,-4.042549907890235e-06
4,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,15.019371828913597,-5.501446186999237e-06,-1.3129722867022975e-06,9.349105453665836e-06,-4.772441916733879e-05,3.823812678330658e-05,-0.00013777447766452223,7.0181112683476e-05,-0.00025013006865668124,9.710262298929708e-05,-0.00035922516000151856,0.00011394216470567109,-0.0004400701582662963,0.00011932755090405505,-0.00047302356370477046,0.00011528863363596173,-0.000447481693097651,0.00010618732566910708,-0.00036379654086234276,9.715787834773881e-05,-0.00023311853008316057,9.243204312340586e-05,-7.522294904892509e-05,9.396929090966588e-05,8.526683776918246e-05,0.00010078403636056034,0.00022356167123721885,0.00010921913152828509,0.00031941562675527456,0.00011415593187674125,0.00036095462873026525,0.00011084137944721167,0.0003468688495054665,9.676840701424584e-05,0.0002865335495072552,7.297796602430354e-05,0.00019803778024030707,4.431208769676136e-05,0.00010453158393357905,1.8479271863590122e-05,2.960770672621743e-05,3.0911260537274576e-06,-6.4368003730646315e-06
5,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,22.153165504539185,-8.128530014618737e-06,-1.9120195239147903e-06,2.3724023920412382e-05,-9.779168413697054e-05,8.3923815476832e-05,-0.00028484786001800686,0.00015046818812935073,-0.0005186145053598614,0.00020659347341362813,-0.0007456350032444945,0.00024176356501181778,-0.0009133911168896985,0.0002530572306767735,-0.0009804661228697386,0.0002446001051590991,-0.0009244178088940936,0.00022541105588191275,-0.0007459051810212727,0.00020622616033728143,-0.0004684216571045962,0.0001960185225357143,-0.00013375579112279523,0.00019906353512516039,0.00020596301833094378,0.00021340447231564148,0.0004981748372313561,0.00023132120214050035,0.0006999001463817878,0.00024185701179243394,0.0007859132562885482,0.00023475232173739618,0.0007534468301145594,0.00020455021035002712,0.0006224811566555833,0.00015345811853436676,0.00043157722986523366,9.190750029295005e-05,0.00023013795328955618,3.651457163471622e-05,6.864192727944199e-05,4.535249500569015e-06,-9.559833929335044e-06
6,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,26.79204024921758,-9.851834596106136e-06,-2.2730348638377635e-06,4.4449896703432326e-05,-0.00016189519241240654,0.00014506002545050569,-0.0004745120293996345,0.0002562050779769085,-0.0008657632708129085,0.0003500451017435479,-0.001246073091813665,0.00040906531937117503,-0.0015271228054804004,0.0004282807153074387,-0.0016390732152780484,0.0004143131748273678,-0.0015439166961975137,0.00038196850124230493,-0.0012425144078567947,0.0003491374547690645,-0.0007742335418152908,0.00033106447295489617,-0.00020938834012567474,0.0003353228351763044,0.00036410038807976354,0.0003589857729571349,0.0008574082046575498,0.0003891700567386469,0.0011977615374459177,0.000407209615215703,0.0013423452445991528,0.0003954181575104599,0.0012863488492685072,0.00034426855165012587,0.0010635040375458328,0.00025743016876598383,0.0007390484074004812,0.0001527449820910247,0.00039664700212252186,5.863728393606789e-05,0.00012192881512545323,5.44662774593961e-06,-1.1662665179997051e-05
7,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,29.385091376290916,-1.0829037646208055e-05,-2.4491259530520497e-06,6.621076240078797e-05,-0.0002261155100411474,0.00020728867991128753,-0.0006653194413142446,0.000363064337084324,-0.001215793527238619,0.0004947583362041329,-0.0017516831317279061,0.0005779704468965839,-0.002148568442601164,0.0006055704412217157,-0.0023078292637125817,0.0005864212282389439,-0.0021755375767599154,0.0005408335015327574,-0.0017524506630006557,0.0004937395238230328,-0.0010935969421373025,0.0004668163740191762,-0.00029774738051114896,0.0004713046084135759,0.0005112729465293457,0.0005036805943892126,0.001208085723872734,0.0005460625558451251,0.0016897246029953768,0.0005719486502523041,0.0018953860830791319,0.0005559077332856085,0.0018179168268320422,0.000484042193223771,0.0015046437985757938,0.0003613778292706519,0.001047457565729043,0.0002132865683161365,0.0005643660032351161,8.022248961758437e-05,0.00017632759076804768,5.931815287280641e-06,-1.2901120070961072e-05
8,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,31.027463938164818,-1.1460259365692066e-05,-2.5392369779740866e-06,8.841469761675946e-05,-0.00029044609073637824,0.0002698834483673894,-0.00085701740334563,0.0004701892353908901,-0.0015682149176071362,0.0006397834456191878,-0.0022618743534166246,0.0007474959148080848,-0.0027772913404506437,0.0007839742408796107,-0.0029867828277165233,0.0007600501266816291,-0.002820160514870468,0.0007012220711931283,-0.0022777151047642273,0.000639309409794736,-0.0014297981451392348,0.0006025528505818501,-0.00040339104901563586,0.0006062257154892542,0.0006418614972669395,0.0006466090950378105,0.0015439146297682486,0.0007010398417546182,0.0021693266396391954,0.0007351110290363221,0.002438935524142952,0.0007153668695232353,0.0023428793386765165,0.0006232415202839975,0.001941775128646601,0.0004649738735457029,0.001353937508862549,0.0002735163803249932,0.0007315744207303921,0.0001014941133167303,0.00023095373535234745,6.219593225244276e-06,-1.3736889446112877e-05
9,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,32.15303622346879,-1.1904111694420678e-05,-2.5825694778215396e-06,0.00011083085871796858,-0.00035489564790262373,0.00033256778899772336,-0.0010495491809745514,0.0005772588746792333,-0.0019229305553061689,0.0007847666145414887,-0.002776578235307224,0.0009172759223507997,-0.003413351391706668,0.0009631406785951839,-0.0036762347089379097,0.0009348857739101869,-0.0034784302187880443,0.0008628665962378482,-0.002819368471133055,0.0007856150996337396,-0.0017843366478815605,0.0007380497271536308,-0.0005282181610268174,0.000739838149291461,0.0007536716166038218,0.000787481137392813,0.0018625601031635308,0.0008537772570864061,0.0026342725254122393,0.0008963717280665723,0.002970909858661288,0.0008735187311462736,0.002859496867208856,0.0007616816951889951,0.0023735752830066135,0.0005681472359745553,0.0016575852447656108,0.00033346881574686216,0.0008977258280385144,0.00012255736819528998,0.0002855040437162907,6.400608558861168e-06,-1.4353060816861836e-05
10,1.1772033137440274,21974226.172699917,-423.24235936595414,20.352832486449955,1.5144931490632991,0.14751464915865065,0.06491572113744909,0.0034011869621067316,1.5519800802561945,1612.6143080890456,2.131229411357503,3.3587602386221445,211.35190748634352,3.7272222877086225,0.7188873400859208,698.7694822276687,32.966000463636064,-1.2235262247183185e-05,-2.597585287356503e-06,0.00013334706987633665,-0.0004194591959503414,0.00039520091437409316,-0.0012428641823113067,0.0006841007910915162,-0.002279857464983142,0.0009295067110406322,-0.0032957181759360184,0.0010870921941047668,-0.0040567339868478195,0.0011428535736486354,-0.004376292546323365,0.0011107347214550148,-0.004150629360248267,0.0010256087531044088,-0.003377903670087117,0.0009325301356876204,-0.002157924973423314,0.0008731937314495932,-0.0006731383212429859,0.0008720170017553031,0.0008456521559410419,0.0009261432006773396,0.0021629106321564982,0.00100409431726256,0.003083481623156211,0.0010555446669447267,0.0034903419923264347,0.0010302033738542914,0.003366974856893885,0.0008992564868120879,0.0027994494873820933,0.000670856892045644,0.0019579999426634653,0.0003931598807781989,0.0010625786361093555,0.00014346307558569838,0.00033984173304457606,6.5175344510733865e-06,-1.4835830295510295e-05
