时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,3.0401605512125025,-2.613335452862806e-06,-7.801026501577375e-07,-7.377671508434932e-07,-1.606884364094614e-05,6.499609808184947e-06,-3.942840646897171e-05,1.4022833743343371e-05,-6.694515242894466e-05,2.020528061226046e-05,-9.339001950690405e-05,2.4056057749438615e-05,-0.00011388372807406098,2.5347865853145482e-05,-0.00012466525524580264,2.4530719431839315e-05,-0.00012367821536181695,2.251020158147677e-05,-0.0001108611712538279,2.0345137318911446e-05,-8.809678200310462e-05,1.893289623741206e-05,-5.883256695202379e-05,1.8755655075143313e-05,-2.7441732041768214e-05,1.9751870029094637e-05,1.5643583075032467e-06,2.1351002942198025e-05,2.433316851785157e-05,2.2667941376897544e-05,3.833419279749948e-05,2.280627012787832e-05,4.276686728806194e-05,2.1182118734993234e-05,3.863842799261056e-05,1.7766896861264124e-05,2.8497574707111356e-05,1.316861979241731e-05,1.5877985961810206e-05,8.570763201216087e-06,4.563904124533442e-06,2.6052630772763624e-06,-7.972527781590405e-07
3,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,7.020754491526561,-6.041592867508758e-06,-1.798377723580014e-06,-1.4868145751358567e-07,-4.1278147812389377e-05,1.9002900680430573e-05,-0.00010249502352835518,3.8961940694981765e-05,-0.00017479422184783278,5.537948731838244e-05,-0.0002442093132528659,6.559514023712942e-05,-0.00029759266610391525,6.898781288452358e-05,-0.00032476080392775927,6.675986572706076e-05,-0.00032013666768305565,6.13485841302225e-05,-0.0002835755165211145,5.5612105505020114e-05,-0.00022024890396725764,5.197358205136756e-05,-0.00013962093868557672,5.172366768166745e-05,-5.3703086612876285e-05,5.4660611712501875e-05,2.5107119090274136e-05,5.9178425227709355e-05,8.62218796203961e-05,6.279954365041048e-05,0.0001226982857520536,6.301564259044213e-05,0.00013237649932389882,5.8193138453373796e-05,0.00011811311668382299,4.826022875449759e-05,8.70704279855843e-05,3.495031055987737e-05,4.921007036220412e-05,2.1630409937258938e-05,1.5301721164089615e-05,6.019463155330438e-06,-1.8455931351607274e-06
4,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,11.21665278912366,-9.665076146829486e-06,-2.8647859225472325e-06,3.7351163344208316e-06,-7.658793708251443e-05,4.049486335813843e-05,-0.00019281018587161966,7.887120824289564e-05,-0.0003303543106458416,0.00011044374487010357,-0.00046215477898160843,0.00013005114482350213,-0.0005625245798373587,0.00013647360800700102,-0.0006114849891379016,0.000132041484110599,-0.0005980942345901936,0.00012150807677529768,-0.000522147229528574,0.00011046709768869547,-0.00039399048518068793,0.00010366805872730133,-0.00023251660666471455,0.00010362274010409328,-6.170407669497004e-05,0.00010986736609687303,9.369261298329867e-05,0.00011911784862475672,0.00021254142297157875,0.00012632868857641877,0.00028102631082464215,0.00012639209167410783,0.0002949564409975162,0.00011598648919756631,0.00026026816929458337,9.499521507283e-05,0.0001916386994353936,6.703008057122016e-05,0.0001095073911417614,3.9064421111191054e-05,3.6129433062418146e-05,9.621004317188308e-06,-2.959237240374597e-06
5,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,15.391202111687777,-1.3284505137812418e-05,-3.910932013156875e-06,1.430241442061972e-05,-0.00012967959676422726,7.884151842172139e-05,-0.00033146025866791885,0.00014624693770166436,-0.0005705306942428081,0.00020165481034184734,-0.0007989122987982741,0.0002359669239818795,-0.0009707772671840239,0.0002470198123073062,-0.0010503858606208422,0.00023892983757780835,-0.001018213455133401,0.0002201382890634158,-0.0008741180480205765,0.00020062811410458172,-0.0006370728906698478,0.00018891221170303272,-0.0003415731997865121,0.00018948720352929927,-3.136825035508312e-05,0.00020143299305394727,0.00024839111051974666,0.00021863655457777219,0.00045920501362948536,0.00023170777099671582,0.0005760185194082955,0.0002311288465150145,0.0005914964872134046,0.00021072439575210816,0.0005169874481840516,0.00017035087802889123,0.0003800223630644997,0.0001169100021972848,0.00021889099785600267,6.3592955790821e-05,7.544827155932396e-05,1.3204334954339951e-05,-4.083521015232025e-06
6,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,19.313168514509286,-1.670985285191651e-05,-4.859766099050648e-06,3.917115650912427e-05,-0.00021974882246923708,0.00015248935842678994,-0.0005706719248852572,0.0002707000727752775,-0.0009865496007456695,0.0003677098208218683,-0.0013823014050286023,0.0004276324673569984,-0.0016763253140913326,0.000446665706619912,-0.001804929121751054,0.0004319761258321303,-0.0017334930269224964,0.00039838528323645725,-0.0014622797930620647,0.00036359013749977676,-0.0010260298060109166,0.00034285860028185675,-0.0004875300412108139,0.0003443774412680932,7.369570135004848e-05,0.0003665273255748447,0.0005756346232838976,0.00039809129817792635,0.0009484712992942521,0.00042166799727185643,0.0011470362447217198,0.00041952072651197715,0.0011586707847823258,0.00038014222799842334,0.0010050183858058461,0.0003033878253426307,0.0007374549392870922,0.00020240744371771854,0.00042717102372923684,0.00010201932707091828,0.00015204518510313322,1.6564655505899025e-05,-5.173770074329076e-06
7,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,21.405456617539954,-1.856035953641719e-05,-5.330611601423896e-06,6.76652362816651e-05,-0.0003090354230762029,0.00022999703988748572,-0.0008101045936536365,0.00039910355230714364,-0.001403986801353652,0.0005377705928883786,-0.001968025072461107,0.0006234496796647664,-0.0023843856351922397,0.000650668502377264,-0.0025610968553662033,0.0006294514452033019,-0.0024483134891743344,0.0005807831706973042,-0.002046789529799702,0.0005300105121009772,-0.0014073276816683933,0.000499332364188254,-0.0006214858683431458,0.0005009648663480818,0.00019482487507266682,0.0005328895123652509,0.0009220766862166852,0.0005788462684677298,0.0014585810389622803,0.0006131811617853569,0.0017387372619735138,0.000609520974718679,0.0017445852031377797,0.0005506792913580374,0.0015084285059434675,0.00043645272840417117,0.001106107477946405,0.00028652821137004764,0.0006424494073989218,0.00013781336713426337,0.0002320800040510556,1.8349239745604262e-05,-5.788522409798033e-06
8,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,22.684602426216006,-1.971108389939072e-05,-5.588849884243908e-06,9.765436835801733e-05,-0.0003979525317914045,0.0003088552325135122,-0.001049736537166446,0.0005286238467968044,-0.001822570515067984,0.0007088316456568395,-0.0025561088339869074,0.0008204220921116806,-0.0030961315670529313,0.000856194128614733,-0.003322233717787628,0.0008287612706498374,-0.003169203548641792,0.0007649505843585509,-0.002638154536081515,0.0006975962671310973,-0.0017958356475755927,0.0006559467521702182,-0.0007625043884843404,0.000656598397834296,0.0003095301045223798,0.0006975232495951538,0.0012631163679976505,0.0007576296912502253,0.0019645146731642467,0.0008029395787055762,0.002327507236425143,0.0007981584035796554,0.0023286958979825308,0.0007201159676735796,0.0020109737309788817,0.000568412881950132,0.0014746147650832053,0.0003693615915829366,0.0008580597804528237,0.00017215557519148237,0.00031266572748781375,1.9434160910417132e-05,-6.190902151905661e-06
9,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,23.540904699121672,-2.0498791010937116e-05,-5.736258200097468e-06,0.0001283979411090345,-0.00048687294960403967,0.00038830752969585674,-0.0012901791018524189,0.0006585253110560699,-0.0022433515186206297,0.0008802190696252804,-0.0031482837191333162,0.0010179676391893135,-0.003814211045504324,0.0010627651338304621,-0.004092092600927154,0.0010295229960391845,-0.0039011212802985704,0.0009505656902989331,-0.0032425210351596217,0.0008660332994541391,-0.0021987378167485556,0.0008123377655453545,-0.0009185251948781306,0.0008108229528852791,0.0004095092703509323,0.0008598782513756277,0.0015905493123542181,0.0009338402206229726,0.0024586329163583122,0.0009903782196973695,0.0029066795260836386,0.0009850127555255698,0.002905597105538013,0.000888273252257139,0.002508637555432058,0.0006993824401820144,0.0018403040923564244,0.0004513022572371033,0.0010724697291634318,0.00020565112089853652,0.00039309322205280606,2.015636063114616e-05,-6.482337903719577e-06
10,5.980424669419357,162408798.8797421,21383.330569664766,1065.0229483257262,1.9347085798090595,0.19368345805025491,0.16803913582435354,0.008874779172847647,1.985236726744301,775.242539258735,4.797939011954072,6.271369148308135,388.4376736918426,4.797939011954072,6.271369148308135,388.4376736918426,24.149131767730836,-2.107444682143019e-05,-5.818456761352744e-06,0.00015955193705383838,-0.0005759342754195418,0.000467985770398792,-0.0015316394646705984,0.0007884313923533784,-0.002666709474137725,0.001051569053469974,-0.003745234810363619,0.0012157555537725003,-0.0045397478752608866,0.001270099830696895,-0.004872340947305803,0.0012315104428282768,-0.004646331197608796,0.0011374493384155241,-0.003862737728247172,0.0010351651057627738,-0.002619382160256082,0.0009683378834767341,-0.0010932425269220573,0.0009634306584242678,0.0004909280492042164,0.0010196965965491454,0.0019006342310334946,0.0011071892551037402,0.002937513105396187,0.0011752239838015756,0.003473332817044488,0.0011698848751422871,0.003472981277536363,0.0010550751884782145,0.002999754902136327,0.0008294295507540088,0.0022021002649902197,0.0005325468589213639,0.0012850770353332736,0.0002385826546599988,0.00047308078061208324,2.0666904104488637e-05,-6.7082949746351294e-06
