时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,4.016844235974696,-9.916664630473805e-06,-2.618900754959982e-05,-1.5537132005299314e-05,-5.461370250047171e-05,-4.5678143759619125e-06,-8.622443388173995e-05,6.5535510702442004e-06,-0.0001226895154670797,1.58937831071329e-05,-0.00015903427189274284,2.2113024915346116e-05,-0.00019070841887420216,2.476748165195076e-05,-0.00021403533733653022,2.4226690795206476e-05,-0.00022661408626591773,2.1454922800852657e-05,-0.00022753291589087265,1.771256112650041e-05,-0.00021736963121980648,1.4236339956365527e-05,-0.0001979842462803096,1.1963236386456207e-05,-0.00017214132190377903,1.1354727933610899e-05,-0.00014302438656399444,1.2356090187311212e-05,-0.0001137234743803327,1.4492204707786151e-05,-8.67830485250221e-05,1.70647466443385e-05,-6.388865058372942e-05,1.9386266166600134e-05,-4.5745087989161384e-05,2.0972614733678422e-05,-3.216539131782221e-05,2.163519657831144e-05,-2.234954371915737e-05,2.166415835651993e-05,-1.53894482143073e-05,7.905702162362082e-06,-3.710921530470633e-06
3,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,9.884064452033952,-2.447936198988604e-05,-6.449897544534841e-05,-3.7360099809166284e-05,-0.00013660674864673214,-8.780715061049684e-06,-0.00021808527322159424,2.0359390219598746e-05,-0.00031249334623329464,4.491745092553924e-05,-0.00040670631889781517,6.13030081499546e-05,-0.0004885191454092788,6.830174464561359e-05,-0.0005479871329078544,6.688707826205424e-05,-0.0005786024215886085,5.9644583410398456e-05,-0.0005779357283356347,4.996217213065059e-05,-0.0005476721870068772,4.1151346889524314e-05,-0.000493055590540523,3.568221387049891e-05,-0.0004218444838649253,3.469432860586125e-05,-0.00034295434589256456,3.788538146361956e-05,-0.0002650130969614148,4.3787116330594686e-05,-0.0001950757301413263,5.0334217884372595e-05,-0.0001377195085331976,5.5547514941863024e-05,-9.466990351023265e-05,5.8111874639395814e-05,-6.501185316393053e-05,5.76808949964416e-05,-4.592728653528935e-05,5.5367828499474985e-05,-3.4027235608476635e-05,1.9489850691707607e-05,-9.144660108470551e-06
4,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,15.707772531438728,-3.9032977335427115e-05,-0.0001025840812761257,-5.737245972156565e-05,-0.0002219018510699549,-8.561703552325053e-06,-0.0003592548397294871,4.145384939497654e-05,-0.0005190371279473017,8.371317066484219e-05,-0.0006785482070230642,0.00011193151238444462,-0.0008163401758013991,0.00012395320583519906,-0.0009148064499768292,0.0001214754837928174,-0.0009624218259903968,0.00010905467971790568,-0.0009549940525772521,9.266652078139949e-05,-0.0008957890442652753,7.812269884415554e-05,-0.0007945518555938951,6.968052095505566e-05,-0.0006656094473817109,6.914968993900045e-05,-0.0005253736522163109,7.569388051799998e-05,-0.0003896628456227607,8.635522150395137e-05,-0.0002712983336936763,9.713594246414306e-05,-0.00017838897422951707,0.00010431036988476951,-0.00011358740954298921,0.00010556028758537392,-7.442242747338372e-05,0.00010061275574954552,-5.460063388360973e-05,9.208238294866028e-05,-4.634373309131597e-05,3.102997416786679e-05,-1.4558350538886973e-05
5,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,20.201750808861952,-5.0339318039388865e-05,-0.00013200422401350327,-7.094972222643546e-05,-0.0002919285751948821,-3.60933019990468e-06,-0.00047914181612669627,6.560740455324653e-05,-0.0006974862293936898,0.00012415380150528508,-0.0009153284319127944,0.00016322256091341457,-0.0011024349652255469,0.00017977854485817904,-0.0012338694599599116,0.0001762230256630556,-0.001293336714187105,0.00015900975932229923,-0.001275081681075564,0.00013659627180842947,-0.0011841316345782289,0.000117167154068273,-0.0010349072014468807,0.00010662102197017162,-0.0008484679264870171,0.00010727249959098918,-0.0006488548075871784,0.00011757100712851443,-0.0004591427772799073,0.0001328911363729554,-0.000297876239285493,0.00014716082682595497,-0.00017650243570222675,0.0001548489454359746,-9.822839539522296e-05,0.00015270897511814258,-5.846139122234194e-05,0.00014079034519252432,-4.667976025736235e-05,0.00012357816271616015,-4.97643731642316e-05,3.99621451765509e-05,-1.875481528203735e-05
6,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,23.401089400776065,-5.843465606497641e-05,-0.0001529577987464245,-7.905889349107843e-05,-0.0003451929980332802,3.8116581752736326e-06,-0.0005733046947407677,8.913196119204738e-05,-0.0008397279610293063,0.00016130716068227867,-0.0011052457524708588,0.00020940419166175315,-0.0013320940624389419,0.00022965925580061485,-0.001489046189975836,0.00022509967833166713,-0.0015557521688552903,0.0002038280081677656,-0.001525227523302846,0.00017644527445054864,-0.001404209615505621,0.00015316669469833793,-0.001211407710017566,0.00014125826820920765,-0.0009739810035423462,0.00014337946905117663,-0.000722834580117808,0.0001572320413399332,-0.000487521022020183,0.00017659895771847888,-0.0002916185436304254,0.00019348138063587247,-0.0001493859546784041,0.00020071720071079024,-6.42533922357429e-05,0.00019429568334283442,-2.9361724321804665e-05,0.0001747196358355102,-2.9956615068267357e-05,0.00014836502038990384,-4.761392992194886e-05,4.633405289101648e-05,-2.1756000089366082e-05
7,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,26.65603259154571,-6.671662052532029e-05,-0.00017427399534942914,-8.532571098385381e-05,-0.00040365652259737213,1.6247863237342457e-05,-0.0006800878798760764,0.0001209332779001528,-0.001003260361919822,0.0002094338826300374,-0.0013247285395021052,0.0002682671920806034,-0.0015975240512768655,0.000292819033131342,-0.0017827472048762038,0.0002869159059186199,-0.0018551626213944657,0.00026070370819385836,-0.0018064348391321388,0.00022742049573020454,-0.0016456306590255613,0.00019975812662816308,-0.0013970126467829404,0.00018661097803460692,-0.0010955421366440033,0.00019096783192305958,-0.0007808413811353311,0.00020947674287993327,-0.0004906242408771598,0.00023381014553685805,-0.00025472021840541637,0.00025346678229755973,-9.073297805127678e-05,0.0002592158836586347,-2.067049298137585e-06,0.00024615907943048495,2.1394263791683547e-05,0.00021554684048542526,2.0622894504380695e-07,0.00017636005407761437,-4.0010958198663865e-05,5.282601921354862e-05,-2.482499299058188e-05
8,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,29.66955677601846,-7.443388854745725e-05,-0.00019399587901786693,-8.850450008391443e-05,-0.00046337681116903634,3.415450043990892e-05,-0.0007932717650767658,0.00016060118863138473,-0.0011790771102788158,0.0002673459286066998,-0.0015618410032400957,0.00033806669028817583,-0.0018841077048063189,0.0003672385417391972,-0.002098277487163368,0.00035964513377618616,-0.0021736648873091386,0.00032779422206226074,-0.0021006018837000408,0.00028794571271631073,-0.0018911039418414767,0.0002556049125207143,-0.0015761200369624037,0.00024147330048275527,-0.0011998813673274819,0.0002488148741580658,-0.0008122840309370855,0.0002729271373610007,-0.00046057594616193603,0.00030290245780673064,-0.00018177540670471874,0.00032523565861973297,2.8474836049062444e-06,0.0003282688663011904,9.028052277858179e-05,0.0003061565882266436,9.4902385129063e-05,0.0002612207493182618,4.454989780537204e-05,0.00020572342082216783,-2.623432325165087e-05,5.884263579876164e-05,-2.7685384409895005e-05
9,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,32.7550997881834,-8.239830193553765e-05,-0.00021415588107783233,-8.777015439049082e-05,-0.0005329708685844317,6.212658739039985e-05,-0.0009307207544320867,0.00021654673678791293,-0.001395698694083277,0.00034657895444314247,-0.001855251136116429,0.0004323058453373104,-0.0022382830765483195,0.0004671076895642371,-0.00248596809656696,0.0004570799902294445,-0.0025607310351240913,0.00041784393424209427,-0.002451482825063206,0.0003696060965072162,-0.0021744816334894525,0.00033151662813665653,-0.0017698378197001183,0.00031656805497095686,-0.0012943039545909587,0.0003282634301057025,-0.0008115304485214093,0.00035996568641698907,-0.00038140552840660745,0.0003972038820472955,-5.0316514176798026e-05,0.0004223888496738498,0.000155939451842141,0.00042063459788399944,0.00023535700336967474,0.0003849594935839915,0.00020855395546058632,0.0003193587382102314,0.00011363731517446209,0.00024073515139419658,-2.4381825297022825e-06,6.500548222600832e-05,-3.064092888002302e-05
10,6.933567332229024,315585086.62320155,19209.307634431927,5650.995110113986,1.251372960242879,0.16392886018125555,0.1146313146324067,0.014646029727181183,1.3064844496139372,308.745058301468,5.427150850159202,1.0750120049496594,631.9631161684015,6.684009015543725,7.422537640557273,163.4180952104183,35.785648588402125,-9.0305211437023e-05,-0.00023388906119449008,-8.076797469205283e-05,-0.00061457529598721,0.00010467118234446284,-0.0010994641782816291,0.00029535947013041407,-0.0016655642060826301,0.00045533142191041747,-0.0022221675938447713,0.0005601082110372369,-0.0026803169466548416,0.0006017693998989869,-0.002966641716453549,0.0005882173038677212,-0.0030348663212562584,0.0005391939209779931,-0.0028725058941281426,0.00048008339813924284,-0.0025019392630572196,0.00043478726215001666,-0.0019758770962416366,0.00041923194006085056,-0.001368034741078331,0.000437100849482994,-0.0007605146312377462,0.0004790184028152288,-0.00022998254091914587,0.0005256026026941368,0.0001649699912646611,0.000553708166882179,0.00039300408209238066,0.0005441480485116284,0.00045411175459781944,0.0004885893590550748,0.000377959308384066,0.0003935755486693566,0.00021704241315115294,0.0002825314548453539,3.544448152579337e-05,7.105468822280198e-05,-3.35832030540634e-05
