时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,7.79678469979565,-3.1856233939705795e-07,-8.525162032073629e-08,1.430347906615859e-06,-6.70841734214408e-06,5.424036383867194e-06,-2.1085674398196283e-05,1.0003548090850634e-05,-3.965914072660853e-05,1.3940917384456864e-05,-5.80887768540673e-05,1.6450868019826762e-05,-7.209246050056546e-05,1.7297712432492053e-05,-7.826012590505076e-05,1.6755945755599752e-05,-7.469394807634443e-05,1.5452630342651106e-05,-6.135159156037398e-05,1.4136088933762564e-05,-4.0034165503968904e-05,1.3427463196640334e-05,-1.4024898098909223e-05,1.3617851574930574e-05,1.2551528120577346e-05,1.4568877790259044e-05,3.552782748836634e-05,1.575301585516925e-05,5.149838259334127e-05,1.6431588639431027e-05,5.8472127362522816e-05,1.5922667281712935e-05,5.62442349558778e-05,1.3875321175274566e-05,4.6412050386716936e-05,1.0457059781778244e-05,3.203159028430689e-05,6.3853683733388295e-06,1.6984853811795068e-05,2.7852276374163597e-06,5.180546466227274e-06,7.064548274392527e-07,-1.367219339328986e-07
3,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,16.67971832516339,-6.819898151606568e-07,-1.8134865628360004e-07,3.607333743885711e-06,-1.6073889313628252e-05,1.324924560587612e-05,-5.068004961115694e-05,2.4310984857070753e-05,-9.544279342109846e-05,3.382890799314184e-05,-0.00013987597260890837,3.990302207661445e-05,-0.00017359971249436326,4.195853204121111e-05,-0.0001883316727743647,4.0653762544789314e-05,-0.00017945364468441953,3.750254390246771e-05,-0.00014685458447086258,3.43172913540653e-05,-9.490758277772447e-05,3.260747138545983e-05,-3.159538165709381e-05,3.308446813621796e-05,3.3045926491438405e-05,3.541477986926839e-05,8.887071914464006e-05,3.8313261811122475e-05,0.0001275834443796284,3.9974711596705796e-05,0.0001443315965243183,3.872876925747372e-05,0.00013861495088777866,3.371319115425154e-05,0.00011432868081781484,2.5335677247492855e-05,7.893164593239032e-05,1.5353707616164022e-05,4.191120344490985e-05,6.527795130361665e-06,1.2844480679504351e-05,1.5110451703355671e-06,-2.940071794684998e-07
4,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,26.736701346036874,-1.0943314555857266e-06,-2.881515493861876e-07,7.127895872448068e-06,-3.0002931392692682e-05,2.5275851210663327e-05,-9.492819961943643e-05,4.610313502735137e-05,-0.00017902140138475,6.40383373853898e-05,-0.0002625316090445749,7.55009817258596e-05,-0.0003258384614773611,7.939730535517876e-05,-0.00035325122449076724,7.695299330373674e-05,-0.000336000500644622,7.101145251504043e-05,-0.00027385535222418546,6.499285252180207e-05,-0.00017509390258703278,6.17607380641852e-05,-5.485469465510636e-05,6.26779338365085e-05,6.781101481632257e-05,6.71242419439422e-05,0.00017362910500510407,7.265947792896729e-05,0.000246829158780889,7.58382500104408e-05,0.00027817954746326806,7.346154424264962e-05,0.00026672531320099833,6.387115257338693e-05,0.00021987963797400799,4.784126593931341e-05,0.00015185256114210786,2.8736190733009977e-05,8.074338901922158e-05,1.1848171681600779e-05,2.4869831936245156e-05,2.4213212539022916e-06,-4.749550459877611e-07
5,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,37.847104236362455,-1.551612176702268e-06,-4.019534679427538e-07,1.3225362147879659e-05,-5.235750612868027e-05,4.517158618135784e-05,-0.00016629513758792852,8.183612818218006e-05,-0.0003140848585564738,0.00011343824986934109,-0.00046093633776939,0.00013367975695293885,-0.0005721572591531766,0.00014061191681490973,-0.0006199324992297256,0.00013635104879193113,-0.0005886700416763141,0.00012587047137067715,-0.0004779059626773527,0.00011519638332536669,-0.000302282728179018,0.00010941923017106361,-8.864759935436083e-05,0.00011100548898796814,0.000129165822840295,0.00011890180974200028,0.00031688969160429233,0.000128784257962907,0.00044645638896807153,0.0001344916908932492,0.0005014161978371377,0.00013027128900358165,0.00048005180743085753,0.00011312203234611253,0.0003955607034909074,8.441678922675815e-05,0.00027327628349260865,5.0193505291933036e-05,0.00014551130235646004,1.9959800493395508e-05,4.50499231587237e-05,3.425395299448868e-06,-6.80760206118599e-07
6,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,49.99465375123426,-2.0558374434020356e-06,-5.158694969861186e-07,2.5409245906724098e-05,-9.425768635402729e-05,8.340366640727259e-05,-0.0003006843789006569,0.00014993859731929674,-0.0005689362621123489,0.0002073619535512622,-0.0008358103609469929,0.00024429442961810855,-0.0010380062596462114,0.000257141831699274,-0.0011246051986104034,0.00024959221693441334,-0.0010669283681855684,0.00023051922936837737,-0.0008639288823631772,0.0002108252761082437,-0.0005422249353731321,0.00019988263922442962,-0.00015085608792240538,0.00020240349421579053,0.00024822412452479424,0.00021666393646572655,0.0005921404929873065,0.00023481895731653843,0.0008292909089833919,0.0002454756550439318,0.0009293477066240617,0.00023787788918724198,0.0008890410333088132,0.00020634411613064185,0.0007325425183574727,0.00015336039488877962,0.0005063943086526048,9.01368379670686e-05,0.0002700688316164628,3.4336479171126725e-05,8.406409646751484e-05,4.51916053004903e-06,-9.202675980081425e-07
7,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,57.323184779124055,-2.365015631374437e-06,-5.723748898085287e-07,3.9145546506406595e-05,-0.0001398326597867949,0.0001255074667545779,-0.00044738532890022917,0.0002245415289632227,-0.0008477180282728702,0.00031013066781338655,-0.001246652823211633,0.00036544194125759003,-0.0015495581926611738,0.00038504524245074816,-0.0016800972636241507,0.000374166720689878,-0.0015950569560455252,0.0003457245402860499,-0.0012924986748694522,0.00031583950522312814,-0.0008118989492964912,0.00029864673851389605,-0.00022640046112391133,0.0003015534945890366,0.00037133646454482025,0.00032236148294270044,0.0008870575189798258,0.0003495020962352073,0.001243218433098138,0.00036579225125301805,0.001394063722028661,0.0003548025214821064,0.0013343970428304744,0.00030772597792690006,0.0011002266806700704,0.00022819799746617666,0.0007612000250642437,0.00013316014789023988,0.0004064811593265117,4.932634467737724e-05,0.00012695803812888174,5.174543114135517e-06,-1.0813061875261604e-06
8,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,61.86495135572606,-2.561049172007543e-06,-5.968797596481021e-07,5.3126823186220245e-05,-0.00018555321726307133,0.0001678772374769166,-0.0005949511175214439,0.00029941464434469144,-0.0011287251600551613,0.00041325792049399916,-0.00166166241392829,0.00048719956523049653,-0.002067595903564184,0.0005139255907054357,-0.002244478967380946,0.000500013690842361,-0.0021342376853385513,0.0004622044854909268,-0.0017337278578487784,0.00042173032967895985,-0.0010950319374044113,0.00039758909142181256,-0.0003152565982660013,0.0004001521236210988,0.00048221469736008555,0.000427036096745179,0.0011715675968612034,0.00046309410283421407,0.0016490106395669404,0.0004852818958589159,0.00185301146500771,0.00047127396542443335,0.0017761377968331167,0.0004089147776233547,0.0014660166898100204,0.00030289687016571204,0.0010152889881728819,0.00017595777387681094,0.0005428044856884274,6.399789782957345e-05,0.0001699489390687677,5.577271976298281e-06,-1.1951455539317512e-06
9,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,64.93608664818292,-2.6975270848647906e-06,-6.044972513853065e-07,6.721619957760294e-05,-0.00023136701268744767,0.00021030333527974335,-0.0007431664269076073,0.00037427092254936314,-0.0014115623657667234,0.0005163932815861718,-0.0020803244935959655,0.000609181699782064,-0.00259161791391076,0.0006433967328456974,-0.002817443406411026,0.0006267760674624139,-0.0026845534582315175,0.000579644264125071,-0.0021882576210191084,0.0005282158244455759,-0.0013929262329299712,0.0004964322826049286,-0.0004193955551298875,0.0004978925870997286,0.0005783191938371474,0.0005303303451402085,0.0014427600345323587,0.0005751925606322143,0.002043647966093702,0.0006035328534372448,0.0023033418604145686,0.000586926702574796,0.002211830016541195,0.0005096473542336523,0.001828061862179859,0.00037733231024733544,0.0012674514791620167,0.00021854513185409606,0.0006784102692277139,7.84704818660808e-05,0.00021282438385981489,5.84709243891886e-06,-1.2839508539836408e-06
10,0.10300688184530966,4021691.389798832,-41.049934915976905,0.5882084966820368,0.6506411635116076,0.05551247029536002,0.020608157700125654,0.0013489418659156694,0.6630593418702256,1733.7685554582065,7.921010732680483,9.628451851408727,908.1348665443622,3.5839996410680217,6.557327461505334,850.0139065480241,67.13696620728112,-2.798905599030815e-06,-6.021206093483114e-07,8.135219272458223e-05,-0.0002772535746792897,0.00025269304525480773,-0.0008919485156903274,0.0004489831752236062,-0.0016960870738561352,0.0006193789903310177,-0.0025024718502651426,0.0007312116412469856,-0.0031214940708937664,0.0007732806401468245,-0.0033989732943254984,0.0007542923649188051,-0.003246174434469738,0.00069790911498469,-0.0026565035505306056,0.0006351846780247572,-0.0017062705840475863,0.0005950723342610624,-0.0005397667371890503,0.0005946572893226964,0.000658495714289247,0.0006320990560236695,0.0016993680039611154,0.0006856269557592974,0.002425863123634428,0.0007203688988533784,0.0027438976250999353,0.0007016082239958152,0.0026405149013412244,0.000609821792986726,0.0021856536479377977,0.0004514663959267317,0.0015172368275271492,0.0002609434988584323,0.0008130698036365995,9.280439424491666e-05,0.00025550702229106415,6.038645473071228e-06,-1.3578512579931788e-06
