时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,13.396014748840939,-6.674103766451583e-07,-3.3994252963750034e-06,5.6104471450868945e-06,-1.5480573954172568e-05,1.9872650690420425e-05,-4.326166468291198e-05,3.6818298674698464e-05,-8.009045128974894e-05,5.1721282937113234e-05,-0.00011717710026450188,6.136855700024383e-05,-0.00014550802661433707,6.464836301500499e-05,-0.00015771102137692125,6.253575454901216e-05,-0.00014956292168161658,5.750387703834669e-05,-0.00012083407430479522,5.255463850343452e-05,-7.533733723930647e-05,5.014795350056948e-05,-2.0172017214015277e-05,5.134384665783074e-05,3.5691395880198266e-05,5.5424535407101605e-05,8.321248389053723e-05,6.013234387570768e-05,0.00011510415951489289,6.246993900659916e-05,0.00012729572650559476,5.98203639463261e-05,0.00011972220650092593,5.102455982279175e-05,9.627638120461719e-05,3.7046304588467855e-05,6.393624716103275e-05,2.098390631514674e-05,3.1275991917116594e-05,7.34487563519945e-06,6.65557474415234e-06,6.44584982331766e-07,-3.4279499154600403e-06
3,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,30.37997734995885,-1.5233540019498928e-06,-7.697050403427425e-06,1.8049342449989792e-05,-4.4262401692615434e-05,6.194633276099009e-05,-0.00012923449588107838,0.00011415656676512231,-0.00024226604962840435,0.00016016455956684877,-0.00035626812826191186,0.00019003834931046801,-0.0004433165208560333,0.00020029375288482346,-0.0004804969345002915,0.0001938790376747231,-0.0004546323364911881,0.0001783946049154201,-0.00036495121150870895,0.0001631232447725389,-0.00022327062814491528,0.00015571676341433256,-5.1666352126460636e-05,0.00015950762699833745,0.00012192594283021544,0.00017229186841054883,0.0002693328097686327,0.00018703563582413705,0.00036785013526217486,0.00019436333042782323,0.0004048275940299822,0.00018607490968247396,0.00038013543708895935,0.00015854228102593027,0.00030599560687555663,0.00011480393508899543,0.00020423507925546323,6.458623095540113e-05,0.00010161924329401731,2.202936806930089e-05,2.4216394435316596e-05,1.4528074894802747e-06,-7.787608871484525e-06
4,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,49.80261476011737,-2.5402212968425153e-06,-1.256103920477679e-05,5.3397791918752136e-05,-0.00011358883978012835,0.0001768771138962775,-0.00035138456303977365,0.0003238583027737059,-0.0006691389458895224,0.00045375802135106985,-0.000990502626607128,0.0005386159480342387,-0.0012362515215057072,0.0005683757631839267,-0.0013410935685703735,0.0005509318945569447,-0.0012672508818783678,0.0005073606506099252,-0.001012182058843776,0.00046379327609278345,-0.0006092177275573422,0.0004421371411618111,-0.00012104983279098878,0.0004523012561419319,0.00037272220828142745,0.0004884200101287808,0.0007916446440262418,0.0005305787141813615,0.0010708230492362776,0.0005518353354099257,0.0011741638734536664,0.0005284364871339367,0.001101479895604114,0.0004498006395083477,0.0008879137601704555,0.00032467833536346216,0.0005959319150081,0.00018113114368861514,0.00030187066685947404,5.98482724791819e-05,7.990416712639965e-05,2.3411092822203293e-06,-1.2824456295160987e-05
5,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,58.517710426884044,-3.043390502188835e-06,-1.4679716472119551e-05,9.53455519499227e-05,-0.00018987674097909515,0.0003108305600191715,-0.0006050460070596428,0.0005673807711479517,-0.0011615074733535588,0.0007946373285054704,-0.0017257596418208294,0.000943997512311085,-0.0021587288360629523,0.0009975805300565456,-0.002345497557083618,0.0009683580990275429,-0.0022192481726518083,0.0008922993315730565,-0.0017748772714426893,0.0008147566381623236,-0.001070211166516606,0.0007745288322633996,-0.00021478090695908425,0.0007900151331402395,0.0006518315678984113,0.0008519633428346636,0.0013881259790336066,0.0009258707115836003,0.0018796849703180093,0.000964100187516945,0.0020627237034587555,0.0009241470630622031,0.001936748913682641,0.0007867710033581687,0.0015634627021125554,0.0005672357363045023,0.001052466090770658,0.0003151988161195881,0.0005374720832862119,0.0001025645301075473,0.0001482914218870045,2.695594754390362e-06,-1.514602950072804e-05
6,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,62.89852649518697,-3.334832917647231e-06,-1.569216646391526e-05,0.00013768049041304543,-0.00026525936099117733,0.00044516400130169026,-0.0008591986216639262,0.0008112625867364449,-0.0016572214339807341,0.0011362086918077097,-0.0024684517466864162,0.001351021264683273,-0.0030934679015340964,0.0014297966237367473,-0.0033671636391513385,0.0013898950541657612,-0.0031931229626699347,0.0012813844466841714,-0.0025631128321043847,0.001168478036799019,-0.0015589020822367777,0.0011072485100011285,-0.00033645692678304175,0.001125553055368705,0.0009047269397051267,0.0012117633106891242,0.0019617508834974397,0.0013172656978377854,0.0026700235504112466,0.001373446763467219,0.002937386245685838,0.0013182748572512053,0.002762543453691044,0.0011231243611578752,0.002233461685783816,0.0008095179430737722,0.0015066465005252106,0.0004489441900030588,0.000772939044932199,0.00014490998996767666,0.00021764180293312916,2.838338934653931e-06,-1.6362322569396643e-05
7,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,65.51483932717515,-3.5403387288960796e-06,-1.6254050646561706e-05,0.00018012844628783112,-0.0003403946325635519,0.0005794232181086213,-0.0011143398373438021,0.0010548256023155797,-0.0021565373641651807,0.001477576063561871,-0.00321861988375991,0.0017586396121057443,-0.004040439094732513,0.0018639308387238857,-0.004406236926082001,0.0018145078129833852,-0.004189495760216981,0.0016736952100467031,-0.0033782762425805294,0.0015241317281297973,-0.002077651244389038,0.0014394805912717626,-0.0004894598556716957,0.0014580055157907943,0.0011271563506469306,0.0015667557188284247,0.002507729953847253,0.0017035718836969122,0.003436949554547643,0.001778671873473463,0.00379360009922816,0.0017097677524702236,0.003574992773381249,0.0014581031150246585,0.002894908123747545,0.00105112810678291,0.001956350023106663,0.0005822953185894166,0.0010068832256771934,0.00018701325834915206,0.0002870572249608478,2.8953644542552045e-06,-1.712810583526367e-05
8,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,67.23929684106872,-3.702635273877548e-06,-1.6588048694859635e-05,0.00022259556374073754,-0.00041550585495269034,0.0007134474843346714,-0.001370641818433353,0.001297815433415688,-0.002659556891803283,0.0018183817288347959,-0.003976312768146604,0.002166413163242125,-0.004999691513195669,0.002299512818372053,-0.005462843981852819,0.002241755296923581,-0.005208657776402617,0.00206886090910179,-0.0042209067920195645,0.0018814168784077729,-0.0026273060516096027,0.0017709507498000078,-0.0006749552405155322,0.0017870629306707244,0.0013176955544094114,0.0019165538815349528,0.00302450287198159,0.0020843321136858562,0.0041789177253158515,0.002179303713224937,0.004629970669273968,0.0020982177366666807,0.004372942519360583,0.0017914268124429673,0.0035469221796566304,0.0012919340787355652,0.0024009549898229596,0.0007152407387509035,0.0012388865516332905,0.00022892544469480124,0.0003562491280455708,2.909462637381912e-06,-1.7665769797756597e-05
9,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,68.44826614885353,-3.840140631480269e-06,-1.6790228693553193e-05,0.0002650338107601487,-0.0004906771405761303,0.0008471391680293178,-0.0016281384924724152,0.001540058853343985,-0.0031662488893008495,0.002158363420321362,-0.004741446183895676,0.002574004017336357,-0.005971122468783776,0.0027361705996719055,-0.006536909989483414,0.002671285922292966,-0.006250611966467723,0.0024665919723793326,-0.005091134911999339,0.002240112405469618,-0.003208166115074456,0.0021014730079927137,-0.0008934282642314653,0.0021125202141544183,0.0014756996182358592,0.002260891992832287,0.0035113322123451304,0.002459217651921208,0.004895183991776741,0.0025749906292679456,0.005445822058212208,0.0024833111496150436,0.005155831413041108,0.0021228707570387184,0.0041890745055979785,0.0015318180460706886,0.0028401583955732193,0.0008477503225315635,0.0014687494932098379,0.0002706630462113951,0.0004250870053707748,2.899099541385496e-06,-1.8071223722664045e-05
10,0.34532953917369524,7292392.44032689,233.0186718906997,4.584961429573959,1.1260380116217934,0.17453790893735927,0.020768987115046877,0.0027507174432046173,1.1945046365140437,1506.4510089718801,9.089742418296211,1.0907567334699788,656.9841707170615,9.089742418296211,1.0907567334699788,656.9841707170615,69.33066585139994,-3.962087687360613e-06,-1.690883602625151e-05,0.0003074116103489935,-0.0005659382671374529,0.000980421736990313,-0.001886804785077841,0.0017814080826073133,-0.003676517450445934,0.0024972868784198876,-0.00551386194792273,0.0029811016349818925,-0.006954539909325421,0.0031735558982554763,-0.007628246540752302,0.0031027669699219443,-0.007315213344214532,0.002866614603214318,-0.005988900391444295,0.0026000139761425426,-0.0038202951796527653,0.002430883554854932,-0.0011450894016023926,0.0024342021020155643,0.001600821696961933,0.0025995401437622413,0.003967780648416613,0.0028279366410196953,0.0055852841278824505,0.0029654121582246996,0.006240719699239946,0.0028647541140291474,0.005923290373154342,0.002452216036180029,0.004821077671852875,0.001770655536464618,0.003273756775676447,0.0009797797676411556,0.0016963433465837948,0.0003122271380708279,0.0004934962773691882,2.8735556713194535e-06,-1.839259568845189e-05
