时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,2.570907739127083,-1.078560857767804e-06,-4.270782743393126e-07,-1.3215864348285306e-05,2.360984255374495e-05,-2.1687445580606687e-05,4.625415775307374e-05,-2.7693161013507107e-05,6.379033983905066e-05,-3.099837953569117e-05,7.38963185346529e-05,-3.186943820859329e-05,7.504941931177879e-05,-3.095002958022948e-05,6.669237245980897e-05,-2.9103897394719376e-05,4.92941653880865e-05,-2.723180487740393e-05,2.430607296023129e-05,-2.6093901026382908e-05,-5.983954441064756e-06,-2.61661295981479e-05,-3.868245128284004e-05,-2.755215590341452e-05,-7.05827310230105e-05,-2.996235208406279e-05,-9.848762942090524e-05,-3.276041014537133e-05,-0.00011952979553448121,-3.506810677242286e-05,-0.00013145785714406566,-3.591108646678507e-05,-0.0001328611230255471,-3.438391869739128e-05,-0.00012331156203949052,-2.9811355872716613e-05,-0.00010341028890481401,-2.188430993066142e-05,-7.473221589351012e-05,-1.0730923455655503e-05,-3.96801119590741e-05,1.0788909429950684e-06,-4.265428742231734e-07
3,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,5.911620969505867,-2.4813074955278096e-06,-9.82281395260087e-07,-3.611308135938143e-05,6.901473884559705e-05,-6.027768712847641e-05,0.0001345064887949134,-7.739484824592018e-05,0.00018555364205112963,-8.683499152154662e-05,0.0002156820373920095,-8.93589701158991e-05,0.00022063552251842548,-8.678334076138467e-05,0.00019884108417723317,-8.153984801270454e-05,0.00015158367189478504,-7.61625937513557e-05,8.288712684696154e-05,-7.279094927665367e-05,-8.897012143255817e-07,-7.276902937886995e-05,-9.169688536711687e-05,-7.640183638517092e-05,-0.00018060862482198922,-8.289961167035154e-05,-0.000258723483670672,-9.051076471259102e-05,-0.0003180573963073135,-9.681563853031685e-05,-0.0003523409734553037,-9.91324226016941e-05,-0.00035764500836654007,-9.497444806982249e-05,-0.00033277532669530405,-8.249515133061521e-05,-0.00027940132681246736,-6.0861911892507765e-05,-0.0002019012067548169,-3.0459649532043325e-05,-0.0001069514347313683,2.4822207398603895e-06,-9.806396238252524e-07
4,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,9.534385921338064,-4.004201382241718e-06,-1.58487328568327e-06,-7.391827573236434e-05,0.0001514603923013106,-0.00012571499518109478,0.00029366905821968096,-0.000162358825893032,0.00040518992399923604,-0.0001825893153971594,0.0004724757598945352,-0.00018804918926246508,0.0004865975009620333,-0.00018260285601125637,0.00044422388777745896,-0.00017140507839104603,0.00034799987194743904,-0.0001598171347264184,0.00020630517640029907,-0.00015235945409177313,3.241232238988615e-05,-0.00015187314777507583,-0.00015686195689471196,-0.00015901674544479942,-0.0003428655240361293,-0.00017216155451230166,-0.0005069970536079212,-0.00018768181350788192,-0.0006325749532280587,-0.00020057671972870065,-0.0007065036234798354,-0.000205319120122478,-0.0007205785957445293,-0.00019680322656482518,-0.000672308920016586,-0.00017126037192268163,-0.0005651825005419367,-0.0001270239961297578,-0.00040834034747381777,-6.496398692840298e-05,-0.00021570855080924262,4.006096306371671e-06,-1.5811015227484754e-06
5,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,13.6248674835164,-5.726728664261234e-06,-2.266676092767835e-06,-0.00015462202281501034,0.0003408388876157174,-0.00026868517750264817,0.0006573011174305352,-0.00034917144119481225,0.0009068168207640951,-0.00039352124733802623,0.0010603252244707098,-0.00040543653833334243,0.0010986217201443221,-0.0003934431831341064,0.0010144836312705194,-0.0003688380482389964,0.0008135183123227852,-0.00034330688686337607,0.0005136622454391421,-0.00032664148923909023,0.0001433728576153239,-0.0003249409643811783,-0.0002612813034752349,-0.00033956916390791563,-0.0006603065307604773,-0.0003669907080394693,-0.0010138434746894633,-0.0003994546344260737,-0.0012861767591825794,-0.00042636729840329733,-0.0014492979262262452,-0.0004361134005039534,-0.0014856873409565257,-0.00041804959765258983,-0.0013900617477740037,-0.00036440179285838836,-0.0011699311210663266,-0.0002718325095729349,-0.0008448952627126004,-0.0001423705532523829,-0.0004447609595725463,5.7307556278407475e-06,-2.2577734110685093e-06
6,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,15.929207812632178,-6.700465612695076e-06,-2.652489483728507e-06,-0.0002480275645079024,0.0005670278186056269,-0.00043627384735793213,0.0010902584096449605,-0.0005687229777776937,0.001503545942558343,-0.0006413556752928403,0.001759597979741255,-0.0006604714540144281,0.0018271210645423596,-0.0006403286745877936,0.001694322860681928,-0.0005996880668968888,0.0013703387398381352,-0.0005578205992301447,0.0008844291815582239,-0.0005307220267278513,0.0002830161225058038,-0.0005281883770567644,-0.00037509530178135353,-0.0005521950297200451,-0.0010247579602747226,-0.0005967506880190667,-0.0016011131985076204,-0.0006491309206258182,-0.002046113538947326,-0.0006921885795982919,-0.002314296900929079,-0.000707320065590517,-0.0023772814367278646,-0.0006776370726124614,-0.002226583551210044,-0.0005909310620330205,-0.0018745112971189546,-0.000442092881571113,-0.0013530216244246815,-0.00023458198468084585,-0.0007106450223474625,6.706986716836607e-06,-2.6372542746315974e-06
7,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,17.217377192072433,-7.248347058456681e-06,-2.8696074179173046e-06,-0.000340869972924386,0.0007927519031678763,-0.000603645036632604,0.0015216274079427365,-0.0007880069395932429,0.0020974132005107276,-0.00088851745304777,0.0024545716096947114,-0.0009142512839988572,0.002549708496717031,-0.000885459938129954,0.00236648538445984,-0.0008286156572295766,0.0019176486182425551,-0.0007707156266474747,0.0012439232808517877,-0.0007339386022560666,0.0004098670684941851,-0.0007315987982244547,-0.0005028163389982384,-0.0007660087956450065,-0.0014037091382567873,-0.0008284482608524084,-0.0022028984326265223,-0.0009010429668480825,-0.0028200084016909966,-0.0009600722817248174,-0.0031921675556120395,-0.000980082961988803,-0.003280195587120512,-0.0009381838105556012,-0.0030724791957729017,-0.0008179852431286872,-0.002586202179408275,-0.0006127763468780485,-0.0018657737940775464,-0.00032747966491203265,-0.0009785695930835778,7.257361973146346e-06,-2.8479080759697393e-06
8,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,18.032023762613207,-7.598647880576047e-06,-3.008093400298099e-06,-0.0004330472966253235,0.0010156485207381918,-0.0007701117611057779,0.0019471291476671434,-0.0010059238711716259,0.002682487386652468,-0.0011336649568520342,0.0031379963932720726,-0.001165347069682417,0.0032581988030027037,-0.0011274451259967494,0.003022258098823559,-0.0010543502047885088,0.0024466107117976465,-0.0009808830266149037,0.0015835536525019612,-0.0009353444313442025,0.0005158912538454602,-0.000934358123595066,-0.0006516933914520221,-0.0009802835494205071,-0.0018034863294174234,-0.001061396887227294,-0.002824555954419416,-0.0011545085753666734,-0.0036122795597363397,-0.001229322408179899,-0.004086476731889458,-0.0012536930401472537,-0.0041972625963563,-0.0011989825678280712,-0.0039299678828758275,-0.0010448786873716183,-0.003306707978025725,-0.0007832320543357803,-0.0023843969450276343,-0.00042043832238210433,-0.0012493206715899618,7.610149483213176e-06,-2.9798903208227926e-06
9,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,18.58782811664604,-7.841742830292291e-06,-3.1035801774671656e-06,-0.0005245063437033253,0.0012348580455720049,-0.0009353768691837622,0.0023652140765767654,-0.0012220040814198416,0.003256620303568857,-0.0013762280227526363,0.003807238954178125,-0.0014131543143584165,0.003949602907077748,-0.0013656984074624703,0.0036584345311148074,-0.0012763594885652836,0.002953939614516556,-0.0011878593263177054,0.00190008486582757,-0.0011345419748546453,0.0005980128344996222,-0.0011361190515750154,-0.0008245602135018802,-0.0011947007037072636,-0.0022266296639837147,-0.0012952865238226477,-0.003468310497360092,-0.00140921288605838,-0.004424838570264439,-0.0014996153003196577,-0.004998840511352937,-0.0015278226837659732,-0.005129827243213366,-0.0014597122728933914,-0.004800145758788466,-0.0012713082605583799,-0.004036890963346136,-0.0009531818258657933,-0.0029095212106480476,-0.0005132009709592838,-0.0015232817490901604,7.855721359677988e-06,-3.0688706328453653e-06
10,5.256528683922639,146139756.23971313,10724.973912444431,700.7647334128269,1.3784862427643971,0.13742944021952064,0.09854963590896866,0.007721359500331304,1.4141970925550462,645.8148255556358,10.0,10.0,0.0,10.0,10.0,0.0,18.986080884104073,-8.020290570875306e-06,-3.1728795880831602e-06,-0.0006151846446559203,0.0014499730587597998,-0.0010992305376878017,0.002775146999414445,-0.0014359331257979924,0.0038187923349214266,-0.0016158323917775121,0.004461049662594939,-0.0016572804275088282,0.004622503811727949,-0.0015998415865695146,0.004273497997529328,-0.0014942999779052487,0.003438087574906004,-0.0013913422360207497,0.0021920024736632017,-0.0013312646155211026,0.0006548050840482981,-0.0013366370069521122,-0.0010227161754974687,-0.0014090215650471667,-0.002674288620720237,-0.0015298711032808029,-0.004135155170952639,-0.001664896005653783,-0.005258527821236855,-0.001770679087870358,-0.005929963100303833,-0.0018021972836699794,-0.00607847013750002,-0.001720109452734291,-0.005683482919697147,-0.0014970364172055663,-0.004777119855675579,-0.0011224258643997486,-0.0034414170005432035,-0.0006056102422862756,-0.0018006199770200214,8.036734303276303e-06,-3.1316806091769213e-06
