时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,2.570106871983488,-2.4020785705908433e-05,-1.6047839576932012e-06,-2.0682917625801763e-05,-2.2359150831558903e-05,-8.551481380696113e-06,-5.3739161254155606e-05,4.5956863120597525e-06,-9.184073450260933e-05,1.6096176011683072e-05,-0.00013046132258581286,2.423761569780424e-05,-0.00016373052558809288,2.8425854233697104e-05,-0.00018689911275494777,2.909028807268831e-05,-0.00019697771190401597,2.7400159862944197e-05,-0.00019307743182488105,2.4860287006085475e-05,-0.00017640852797024572,2.2877928756802617e-05,-0.00014994510312915478,2.2399434665381688e-05,-0.00011781975660533907,2.3701849956873772e-05,-8.455548442877337e-05,2.638893324082412e-05,-5.427212171885738e-05,2.9587457165619607e-05,-3.0011922794414312e-05,3.2281407144245704e-05,-1.3309270365390141e-05,3.367728845922677e-05,-4.082427623777467e-06,3.3478840331671124e-05,-8.648052196491954e-07,3.19731326108716e-05,-1.3203645225965002e-06,2.993117941990023e-05,-2.9629391959200756e-06,2.3984250565564343e-05,-1.6538668483781714e-06
3,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,6.123224731042519,-5.7364636340779123e-05,-3.841244331039499e-06,-4.782909298736363e-05,-5.669485337361811e-05,-1.6213695783469477e-05,-0.00013790889504218483,1.8210469914787658e-05,-0.00023704648999535238,4.836568026341294e-05,-0.0003376057600511628,6.963080821300661e-05,-0.0004236748243186519,8.037346746521446e-05,-0.0004822550123363515,8.174450781770603e-05,-0.0005051420176339464,7.692559525525511e-05,-0.0004899568133388398,7.002177586332741e-05,-0.0004401958985426073,6.485660828062058e-05,-0.00036432090160797286,6.395000420017731e-05,-0.00027406533217718093,6.792561225495521e-05,-0.00018226089608025387,7.549711547494399e-05,-0.00010057290917015023,8.403144818015504e-05,-3.755779843075825e-05,9.051863029162838e-05,2.598258396456154e-06,9.264671443070415e-05,2.0433636830838774e-05,8.963369952348986e-05,2.0606991867831384e-05,8.253388592516751e-05,1.0488839710756507e-05,7.400572162727314e-05,-1.807408793819661e-06,5.726119784586054e-05,-3.9806058451842665e-06
4,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,9.31292063883348,-8.744284612064292e-05,-5.860880298042867e-06,-6.963650445681407e-05,-9.331827051859344e-05,-1.6064844185235327e-05,-0.00022988492020471768,4.24340508466732e-05,-0.00039723363517949107,9.366537597770575e-05,-0.0005668386556798244,0.00012958251044710352,-0.0007107688690093206,0.0001473198514360253,-0.0008060401896962391,0.00014890438709538157,-0.0008381493413611708,0.00013995985672145308,-0.0008030533636819614,0.00012774537173941577,-0.0007073417131998366,0.00011899063950440687,-0.0005666294743554462,0.0001180384607619417,-0.0004024884801828702,0.00012575579455441908,-0.0002384652654912386,0.00013950517587691413,-9.590000376017059e-05,0.00015419209343088132,9.68925458345179e-06,0.00016408763231620077,7.09867910224414e-05,0.00016487214996395848,8.959654038948792e-05,0.0001552493687646776,7.499497016479569e-05,0.00013759692588092133,4.199618365388404e-05,0.00011758678447559652,7.200991313211333e-06,8.725332179060293e-05,-6.116877247882419e-06
5,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,11.595318829168006,-0.0001090592468027142,-7.306429433326611e-06,-8.252313355425368e-05,-0.0001255166638984277,-8.726457304677569e-06,-0.0003124353590430989,7.192497397795e-05,-0.0005419096519072972,0.00014244955787776978,-0.0007740323573858839,0.00019158734271527777,-0.0009693552744706059,0.00021533170563132142,-0.0010952955711003825,0.00021658273867772415,-0.0011313494637527712,0.0002033401777165498,-0.0010720513846905909,0.00018591836819308917,-0.0009272933551014682,0.0001738400788126069,-0.0007200358130505705,0.00017314662268368356,-0.0004818601389385264,0.0001848062714953615,-0.0002471559518117307,0.00020466887505053786,-4.698484354383265e-05,0.00022501353279134285,9.625448200730342e-05,0.00023726334316038678,0.0001723649087735397,0.00023505256991699974,0.00018445200339771675,0.0002166756065003555,0.00014742995934770138,0.0001861133738835522,8.433025695663331e-05,0.00015249045688391368,2.1130006345135584e-05,0.00010878265087153388,-7.68071458922252e-06
6,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,14.354501530527607,-0.0001353148827439014,-9.039671888304392e-06,-9.23624870549207e-05,-0.00017691371623733187,1.5119722777474236e-05,-0.00044675009069038645,0.00013246971611745968,-0.0007782567151730084,0.0002346778534826337,-0.0011121009356506388,0.00030513696421874143,-0.001389112604495445,0.000338004907952622,-0.001560326482036006,0.00033776159282223456,-0.0015951695854360005,0.0003165367676349359,-0.0014861602216225686,0.00028991837238392395,-0.0012494908752627204,0.0002722161607872893,-0.0009215255431369429,0.00027230528960412245,-0.0005518896496071037,0.0002911312423936816,-0.00019437252177271808,0.000321627395392292,0.00010273240665144309,0.0003511753461322482,0.0003050696969201405,0.00036596938985579056,0.0003978523712887062,0.0003559900128102771,0.0003876381036274019,0.00031900903058218043,0.00029998790073372197,0.00026230312516247253,0.00017362674185188154,0.00020174724467405587,5.229234139492773e-05,0.00013488236917290824,-9.62621403789801e-06
7,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,17.24439234735969,-0.0001630137324618533,-1.0795142230951937e-05,-8.805106568385636e-05,-0.00026230465314983775,7.771870490347378e-05,-0.0006742422111569686,0.00025790340051238213,-0.0011793961261029773,0.000413631587741409,-0.0016839271053455467,0.0005192528750984602,-0.0020938277511808835,0.0005660005485830632,-0.0023315201337527915,0.0005613212440001911,-0.002349357300280513,0.0005247042840806956,-0.0021373889456600065,0.00048106857429139734,-0.001724334785069779,0.0004531685393806725,-0.0011718032354285429,0.0004547908285266058,-0.0005628363253672768,0.0004865636940507267,1.3240354626789567e-05,0.0005357566127891712,0.0004769780754701345,0.0005804337672229451,0.0007729747639388706,0.0005969641408928196,0.0008793186951306623,0.0005686640050812196,0.0008104914306953844,0.0004927780603426831,0.0006132773375535809,0.0003834283752593434,0.00035674652758924737,0.0002698057758591972,0.00011844266002658192,0.00016229492472874147,-1.1772171720449734e-05
8,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,19.346095516795422,-0.00018338769560763117,-1.1954309398738681e-05,-6.126312508223377e-05,-0.0003755264901869888,0.0001836068180597075,-0.0009799250576081435,0.00044809256698431446,-0.0017185253085038501,0.0006747405314676133,-0.002449622667620579,0.0008260841615810488,-0.003031388260088398,0.0008897303088818921,-0.0033475334299242765,0.0008772548229147244,-0.0033280314881099704,0.0008180889364354696,-0.002960927522203657,0.0007498053592027994,-0.00229365037821857,0.0007067472954090901,-0.0014239195562122035,0.0007095459214884293,-0.00048188133341242113,0.0007584021665664522,0.0003935302973205889,0.0008325349439357014,0.001079873445668515,0.0008966585040837074,0.001493388349955764,0.0009130601234080325,0.0016036987123720812,0.0008556618763426199,0.0014380771767405955,0.0007213692426120322,0.001074584945993511,0.000534692929850693,0.0006258821148913,0.00034430242237467766,0.0002173036221223759,0.00018226829326765034,-1.3478562015116778e-05
9,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,20.525333596058534,-0.00019501189030027603,-1.2485517329671561e-05,-2.3943296981352373e-05,-0.00048755576266806225,0.0002996494398345891,-0.0012845255614069833,0.0006474033343718162,-0.002255862785212463,0.0009436752148012658,-0.0032115081656877817,0.0011396410276073709,-0.003961665705371283,0.0012194513912867425,-0.004351586921309175,0.0011986054055217936,-0.004289425843307808,0.0011160872155340288,-0.003761929609013274,0.0010218667351506686,-0.0028359304766692535,0.000961959122197046,-0.0016458433092586234,0.0009642163111375181,-0.00036935185932454064,0.0010288140503820656,0.0008047531963002444,0.0011270507695555756,0.001711040579297973,0.001210037338163271,0.0022377268760392357,0.0012255104415515538,0.002346643385721231,0.0011376573105038885,0.0020787314575668892,0.000943113524859075,0.0015441613824216137,0.0006772674657529567,0.0008997189344892413,0.0004088622763598024,0.0003186577939964538,0.00019348979175137887,-1.4560608456956141e-05
10,20.501275057086204,587486002.9815547,91020.67726202769,13757.686913534963,2.6774718882901234,0.33748767628827453,0.19811808577609719,0.016799938561125032,2.786934935689691,575.907694071071,0.9199635942846641,6.708051620738906,808.7634351881683,0.9199635942846641,6.708051620738906,808.7634351881683,21.271471408336176,-0.00020253293798683697,-1.2718676434412297e-05,1.833774013687652e-05,-0.0005994491235776075,0.00042038278385971424,-0.0015899863404449089,0.0008507736133975145,-0.002795165358151436,0.0012160443257913686,-0.0039762345535739995,0.0014563605736045277,-0.004895229311243368,0.0015524360422705366,-0.005358934682965892,0.001523336799372826,-0.005253822962497692,0.0014170993633886482,-0.004565518438263071,0.001295792128139373,-0.003380381395209305,0.0012172297840307006,-0.0018695770587382585,0.0012169900986779704,-0.0002583536011715624,0.0012958138207074482,0.0012146001621233854,0.00141740921184543,0.002340822307687832,0.00151918362320661,0.002980532749545139,0.0015339060453295858,0.0030879130884766634,0.0014156068636211132,0.0027177823288077343,0.0011605121849009535,0.002012555966807897,0.0008150888203380072,0.001173081930369755,0.000468473130461955,0.00042027001103597437,0.00020060847030310482,-1.5344927482694037e-05
