时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,3.524150326101824,-7.658150078725454e-07,-2.5339177847664303e-07,5.305141627317141e-07,-7.335926139615183e-06,4.460369738148341e-06,-2.2721764608205565e-05,9.075337057350511e-06,-4.2821843364502775e-05,1.3103726060661361e-05,-6.319040570575574e-05,1.572562913443681e-05,-7.944564672121725e-05,1.6669968786459843e-05,-8.806370954066655e-05,1.6175574380812847e-05,-8.70037551460206e-05,1.4838916919271366e-05,-7.60465560045729e-05,1.3391477539845442e-05,-5.678947635794588e-05,1.2459971771277637e-05,-3.230333026433463e-05,1.236850543889898e-05,-6.518436760822378e-06,1.3037485151373432e-05,1.6543292321545917e-05,1.4014155584071205e-05,3.3542872992836005e-05,1.4633503353494336e-05,4.2454123768438576e-05,1.4264944152921002e-05,4.292370256777608e-05,1.2566095501803187e-05,3.628941856592871e-05,9.655631597535082e-06,2.5253390763772614e-05,6.140751431557537e-06,1.3277689653061587e-05,2.977626830132332e-06,3.821981171045338e-06,7.618619341096967e-07,-2.6405157285630105e-07
3,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,7.604155453245832,-1.6537248036024215e-06,-5.453926308195888e-07,1.6074297734579265e-06,-1.731849710941844e-05,1.1053852406004547e-05,-5.3963101316400146e-05,2.215269038382295e-05,-0.00010194471708866541,3.185386779392819e-05,-0.00015058338452215818,3.81794216058125e-05,-0.00018928250446400557,4.0469452828679266e-05,-0.00020948793272560756,3.9295233036621774e-05,-0.00020623327089772372,3.6096030439661765e-05,-0.00017898317962381925,3.264276506324353e-05,-0.0001316340405373546,3.045605539614579e-05,-7.168491032996108e-05,3.0321744514769435e-05,-8.74249752989873e-06,3.203923090358396e-05,4.735489894685947e-05,3.449133195302145e-05,8.843435136817185e-05,3.6036275273885844e-05,0.00010953557995472866,3.5114555998773426e-05,0.0001098010985704864,3.087723133394605e-05,9.2532192837446e-05,2.361782625093146e-05,6.440202317151692e-05,1.4847699489520016e-05,3.399107893972567e-05,6.962474705440052e-06,9.937676479115554e-06,1.6440698714655466e-06,-5.714586629838301e-07
4,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,12.059859602292688,-2.625384685228554e-06,-8.617599082814236e-07,3.629665211224126e-06,-3.094357730703463e-05,2.0851879770161904e-05,-9.705763308398198e-05,4.108538636140347e-05,-0.00018381161445441498,5.879058375740259e-05,-0.0002717572473767388,7.035569330085883e-05,-0.00034146736432682986,7.4565103095548e-05,-0.0003771989753422907,7.245299506212852e-05,-0.0003697907163897197,6.664927724744106e-05,-0.00031825718328924935,6.0403317521887544e-05,-0.0002298161473951253,5.651463290287814e-05,-0.00011837076230488512,5.64318831223361e-05,-1.74789796087992e-06,5.9774279808436086e-05,0.00010178086931246242,6.444898705912548e-05,0.0001770277989333738,6.737510469527243e-05,0.00021477716908258654,6.561938617601198e-05,0.00021345854696674618,5.758137263256631e-05,0.00017927270288077405,4.3815760119630236e-05,0.0001247524819382403,2.7187380777401745e-05,6.606458893299075e-05,1.2261753546251134e-05,1.9596113399555476e-05,2.607485178293798e-06,-9.101465620567463e-07
5,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,16.74520238748459,-3.65022447228275e-06,-1.1896819130716725e-06,7.328368078959686e-06,-5.033364319348767e-05,3.595319408018834e-05,-0.00015898897891111028,6.955310737970702e-05,-0.00030182361112979304,9.89752803623861e-05,-0.00044656879104580465,0.00011822695690004624,-0.0005607850380863892,0.0001252746607222212,-0.0006180902371697926,0.00012181822492016079,-0.0006031027849205943,0.00011222427973190257,-0.00051418477156375,0.00010191757425725672,-0.0003635324773303241,9.559726811440602e-05,-0.00017464679356222487,9.570832223167271e-05,2.231394738557872e-05,0.00010160406790559312,0.00019641423804103887,0.00010971499807682988,0.00032192699101322737,0.00011476470222844597,0.000383252434233842,0.0001117129651848026,0.0003777883972940438,9.780350986823915e-05,0.00031617978003322837,7.39978240873728e-05,0.0002199132605444356,4.526057851730114e-05,0.00011677397757094641,1.9531707023221524e-05,3.508596903147209e-05,3.6199774229855183e-06,-1.2715577393235648e-06
6,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,21.50053167624858,-4.695620056599674e-06,-1.5131579741019648e-06,1.4140481188596115e-05,-7.987714252967341e-05,6.056797880777521e-05,-0.00025412583911415393,0.0001149596655889574,-0.0004835013474421635,0.00016259897577460816,-0.0007157760962660684,0.00019382892960778265,-0.0008981541749967941,0.00020534614973770286,-0.0009875658876425534,0.00019985270292515443,-0.0009588668305636403,0.000184378885953015,-0.0008094241593965458,0.0001677294393729,-0.0005593345205314287,0.0001576032827252793,-0.0002473184800410408,0.00015806206630348478,7.689570505749339e-05,0.0001680795378103122,0.00036225656681617574,0.00018174391050190515,0.0005662892217142438,0.0001902380882139311,0.0006632674968615747,0.00018509322044819515,0.0006490158536677636,0.00016166258427127234,0.0005413746695939583,0.00012157456782352924,0.00037626496571602767,7.323485832496717e-05,0.0002002072764486508,3.010381395812633e-05,6.082219968876366e-05,4.645808852936755e-06,-1.6481776497658585e-06
7,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,25.789164430002394,-5.647419437627067e-06,-1.7874561348983383e-06,2.5937717327386505e-05,-0.000124817458527634,9.987205369797338e-05,-0.00039974993918274435,0.00018624638414620076,-0.000762035703402841,0.0002618935317980466,-0.0011286629060656523,0.0003116187862905403,-0.001415350489850551,0.0003301711371326946,-0.001553174469328424,0.0003216926509319048,-0.0015018456455360477,0.0002971762773163386,-0.0012571834802569326,0.00027056795187027367,-0.0008515614627068954,0.00025426064665026455,-0.00034738567861440016,0.0002549804846917006,0.00017511183460943924,0.00027127236459758837,0.0006334745786737729,0.0002936347046839507,0.0009590476072176134,0.00030764452535928,0.0011102734751448349,0.0002993143807293454,0.0010805562404819107,0.0002609146768987756,0.0008990844788306843,0.00019511773462650098,0.0006244982898132416,0.00011584660887874502,0.0003327984493361202,4.5383721347398225e-05,0.00010198863748268362,5.567141720059631e-06,-2.005333078266698e-06
8,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,28.331088023108137,-6.22046559709743e-06,-1.9326497298617377e-06,3.853138126434413e-05,-0.0001696680578368435,0.00014006875912558076,-0.0005456823001395321,0.0002584260552194321,-0.0010415820664033061,0.0003620975738558567,-0.001543467687725083,0.0004304600190803337,-0.0019353901353296905,0.0004563068145071591,-0.002122363588361983,0.0004450713151259953,-0.0020487667768640484,0.00041151244593556235,-0.0017087379956748979,0.00037461705895410516,-0.0011468757444467097,0.000351558039258105,-0.0004493264169521905,0.00035196268929351944,0.00027300052285838373,0.0003741918466263177,0.0009059705992462391,0.0004052522268087799,0.0013544389727619948,0.0004250067618786004,0.0015607601506125765,0.00041371280104016654,0.001515791790706091,0.00036035421505167163,0.0012601043069282022,0.00026860950619316275,0.0008752261987416437,0.0001580622286138328,0.00046689422356089043,6.003526671322402e-05,0.0001437930924156145,6.109534626059579e-06,-2.2339531637708e-06
9,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,29.998247878070092,-6.604136343480399e-06,-2.013149564381498e-06,5.1510906830136285e-05,-0.000214519150357179,0.00018064423751451117,-0.0006920344002782316,0.00033090695413328974,-0.00132239192079233,0.0004625787463968706,-0.0019607893506980944,0.0005497206287475496,-0.0024594978495080374,0.0005831553598520283,-0.0026972939253420403,0.0005694399616539981,-0.0026030124050179537,0.0005268751744703521,-0.002168888330960915,0.00047936085511032724,-0.0014515448619067195,0.000448919709137273,-0.0005607325137086642,0.0004483232199454542,0.0003619908531444264,0.00047602501860565785,0.0011707143490563177,0.0005156888745030518,0.0017436001171088852,0.0005414079937479697,0.0020066680816183823,0.0005274820517485888,0.0019480068454445592,0.0004594041626926228,0.00161940856642781,0.0003417798388473495,0.0011251971351296283,0.00019992065844145663,0.0006008141438160379,7.431602347657619e-05,0.00018566511965292042,6.462534818236033e-06,-2.3979631324019856e-06
10,1.2399980443037681,33037709.220284466,-2892.3132897948544,67.9295285379975,1.3698089712904293,0.11544335560792374,0.033591154986038395,0.005121969114318426,1.395328309464368,973.0878917923786,10.0,10.0,1000.0,10.0,10.0,1000.0,31.16783369991939,-6.88046490185951e-06,-2.056835865985234e-06,6.469701556304083e-05,-0.00025940580929517643,0.00022137573625582004,-0.0008388614265728259,0.0004034376752485804,-0.00160462275774103,0.0005630750119667409,-0.002381008419833538,0.0006691461376400774,-0.00298841501214695,0.0007104849964306036,-0.003279196861901649,0.0006945969684864092,-0.003166398344518058,0.0006430880073981826,-0.002640072038654546,0.0005846292098673812,-0.0017685923394144393,0.0005461541968696015,-0.0006850978207217542,0.0005438243381511518,0.00043830817496778277,0.0005764793363574808,0.001423892395246449,0.0006246142035612804,0.002122938216760669,0.0006565209177834513,0.0024448601020012574,0.0006403508144634198,0.0023746916886530954,0.0005578951101628986,0.0019751953003846498,0.000414582605200588,0.0013732931039228677,0.0002414862843613793,0.0007340023607161139,8.835577912813529e-05,0.00022741699769447674,6.708229648069478e-06,-2.5250860290548045e-06
