时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,7.8721417877536055,-6.708114876839239e-07,-1.0995133124364693e-06,4.384640207213905e-06,-1.2882777506553216e-05,1.5714327754596943e-05,-3.8225931045203717e-05,2.8870128864956876e-05,-7.120014947827104e-05,4.029025602492323e-05,-0.00010407690659353872,4.760242747464312e-05,-0.00012906560442841973,5.003745592423456e-05,-0.00013986461401077133,4.837876417363485e-05,-0.00013290612532703748,4.450601566169557e-05,-0.00010804062739639516,4.067710157018722e-05,-6.855369152293727e-05,3.87466986287729e-05,-2.0516492729031043e-05,3.9539745237444274e-05,2.8404096414382945e-05,4.2566384628257126e-05,7.045024032398496e-05,4.6178023185377796e-05,9.929880436037228e-05,4.813552135409852e-05,0.00011130021458849572,4.642597818079086e-05,0.00010617381835869814,4.0071594312147146e-05,8.701670684486318e-05,2.965821335771922e-05,5.9623491983298646e-05,1.7393491076724127e-05,3.127076652862671e-05,6.642371781233498e-06,9.195243874257395e-06,6.166455328066941e-07,-5.940222297607795e-07
3,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,17.46626847803146,-1.4928447525836595e-06,-2.4318842514953344e-06,1.3249207310756394e-05,-3.548532247656124e-05,4.5559442509244086e-05,-0.00010732282251918666,8.31191454950499e-05,-0.00020104153793092672,0.00011577482329452865,-0.00029457599142455193,0.0001367356300454575,-0.00036557131031386204,0.00014377268013119213,-0.00039589278333461555,0.00013909318167400648,-0.0003752426363438119,0.0001280562381145409,-0.0003031614844284302,0.00011713178052547407,-0.00018909779774681904,0.00011166006529096046,-5.055047773884204e-05,0.00011403495606005159,9.035748979488472e-05,0.0001228569874911074,0.00021122645956178344,0.00013336134813802795,0.000293798760681946,0.00013905322028469214,0.0003275520019520927,0.00013408232119200468,0.00031171615821290883,0.0001156050330694612,0.00025529577187300437,8.533075464422037e-05,0.0001750975406970921,4.9689970617597314e-05,9.221159343179085e-05,1.847615118330386e-05,2.7630165739789838e-05,1.3655194527189623e-06,-1.3231784631864862e-06
4,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,29.46926079787319,-2.5380602682837346e-06,-4.068911634136669e-06,3.787506752448586e-05,-9.035927639212519e-05,0.0001239116396305536,-0.00028046412478984075,0.00022401136146380147,-0.0005293538348174617,0.00031123612427367067,-0.0007781822265951954,0.00036749111588206356,-0.0009669506745072372,0.00038670735705680906,-0.0010467980430406707,0.00037456169770588485,-0.0009898458581853948,0.00034518345477673384,-0.0007946877278997376,0.0003158351093064114,-0.00048665609556300935,0.0003009597843133904,-0.00011288623416703914,0.00030721898921815796,0.00026688728624302515,0.0003310371861968197,0.0005920842517451986,0.00035959445232148384,0.0008132907733928898,0.0003751983849120061,0.0009020645801156599,0.0003618020236813156,0.0008564411291859585,0.000311562903257708,0.0007009694160582575,0.0002291495621158258,0.00048131228814924347,0.00013218172392090362,0.0002546686203927259,4.742124491747865e-05,7.796629184154772e-05,2.2919805379635998e-06,-2.254864361983303e-06
5,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,36.3183522297187,-3.160818821528427e-06,-4.955447886549444e-06,7.325280937745188e-05,-0.00016375668978360885,0.00023311729835757267,-0.0005166274804567723,0.00041914468415571817,-0.0009799093458078094,0.0005815842051765521,-0.0014440791813142935,0.000686959866380087,-0.0017969874343390993,0.0007237740572309431,-0.001947041143585502,0.0007020298693235841,-0.0018417274204299498,0.0006474360249287058,-0.001477967331475118,0.0005919131046068503,-0.0009027149185768995,0.0005627036901188967,-0.00020386798619280411,0.0005729502373580841,0.0005068243156402657,0.000616664328152818,0.0011157414339481994,0.0006701406602351551,0.0015300122933236291,0.0006999865300087879,0.0016960869532142988,0.0006755554405029358,0.001610191658660197,0.000581667315778427,0.001318370353937374,0.0004270029007303137,0.0009062337251225568,0.00024491342554737385,0.0004809040444173688,8.595981192171513e-05,0.0001489791415921013,2.8042963032738638e-06,-2.8165422467066404e-06
6,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,39.683501620547354,-3.490108199711727e-06,-5.349044661224494e-06,0.00010928991754304738,-0.0002368553102890799,0.0003430999112584762,-0.0007538861782987593,0.0006151745901012683,-0.0014342238437601259,0.0008532008788020199,-0.0021174226685671885,0.0010085021012745513,-0.0026386931980061897,0.0010639877478238568,-0.0028631550743805417,0.0010334634517325698,-0.0027131222753732855,0.0009536273465307985,-0.0021833494307320262,0.0008708066414339194,-0.0013420056832327359,0.0008253576415433989,-0.0003175310626828675,0.0008376562531113346,0.0007262321816158633,0.000900073576774905,0.0016222161552416944,0.0009783702737038767,0.002233474216335236,0.0010232116994017245,0.0024807362197042035,0.000988723181957983,0.0023579925178129507,0.0008518000824320545,0.001932572447505799,0.0006249365925254451,0.0013299498120277493,0.00035743798204104587,0.0007071273232045125,0.00012403915304498667,0.00022041754830680077,3.0420507847393203e-06,-3.118426221200808e-06
7,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,41.66699743585848,-3.703273663183085e-06,-5.547003538696925e-06,0.0001455358075668215,-0.0003099298271682552,0.0004531588050988499,-0.0009922196197242085,0.0008111126423038031,-0.0018918925238859269,0.0011248448583521876,-0.0027975012131156523,0.0013307204553149484,-0.0034913037555976633,0.0014059210841088237,-0.0037947146950501557,0.0013675137855477598,-0.0036043993332837226,0.001262534749500953,-0.002912416787631374,0.0011513844201735733,-0.0018076047877756865,0.0010877814328139929,-0.0004584962051623698,0.0011000728605891981,0.0009191682083492728,0.0011798115462620209,0.002104715601545109,0.0012826724675220602,0.002916664053771065,0.0013432399002996302,0.0032494390204158862,0.0012998446009055565,0.0030942649558061597,0.00112086344622909,0.0025393418208005665,0.0008223277079146825,0.001749661321420946,0.0004695974067546789,0.0009318050042376696,0.00016183392587581596,0.0002916421207757294,3.1712855209857825e-06,-3.3169909396782295e-06
8,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,42.965061485268606,-3.859069640634491e-06,-5.647784758567021e-06,0.00018184620052022946,-0.00038308170866022356,0.0005630755174807052,-0.0012316617878200134,0.0010066485800798634,-0.0023528723264900782,0.001396115851138724,-0.003484232820831978,0.001653151353533752,-0.004354779712634191,0.0017490943366879677,-0.004741831394208676,0.0017037353782429004,-0.004515934507426194,0.0015737774319394332,-0.00366590696061183,0.001433324023593045,-0.0023006675965334326,0.001349669114351819,-0.0006283270695100563,0.001359855232275326,0.0010837494007613256,0.0014554587211611377,0.002561195315129568,0.0015825615568931266,0.0035775668376359206,0.001659573577318344,0.004000387901804185,0.0016084876494095153,0.003817537177606823,0.0013885572137976264,0.0031376020804712653,0.0010190349324813843,0.002164676573912491,0.0005813879054264105,0.0011545603657052103,0.00019942200072113262,0.00036248436447503354,3.246988161755701e-06,-3.464092005816391e-06
9,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,43.871293108876344,-3.982269944721768e-06,-5.69292731817611e-06,0.0002181535590819643,-0.00045634197711645863,0.000672734269757029,-0.0014721917574660522,0.0012016001757849532,-0.0028170846470207942,0.0016667595837032783,-0.004177505057728351,0.0019754841397147966,-0.0052290223191779365,0.002093176865110287,-0.005704478876478111,0.0020418214609357857,-0.0054478325738525875,0.0018871030655388695,-0.004444105822406589,0.0017164280178531492,-0.0028216925525593167,0.001610846777899897,-0.0008277335373189266,0.001616806919149824,0.001219098838815665,0.0017267629868390419,0.0029906944526007432,0.0018777309717721625,0.004215237536939721,0.0019718889244385533,0.004732742124941634,0.0019143661785548534,0.004527131153365133,0.0016546788892150951,0.003726861337215166,0.0012149563042613803,0.002574681654053513,0.0006927917123320731,0.0013752241917092231,0.00023683313927411106,0.0004328704045792173,3.292354014632118e-06,-3.5815959257195508e-06
10,0.6283342285849434,28167810.852523655,1503.308719860277,38.557725277072464,1.594900157982278,0.21670942571949142,0.048548244124776145,0.004245531028468275,1.6702646518173276,1427.598673325067,9.18912507257776,2.9831624244234187,829.2427143016682,9.789058971777767,5.609120675639988,385.57679406942117,44.53203798458144,-4.085214546996981e-06,-5.703154665378193e-06,0.00025441753130723914,-0.0005297125157401756,0.0007820543721315351,-0.0017137539365653666,0.0013958272739908757,-0.0032844032416341415,0.0019365665284706336,-0.004877132753407113,0.0022974493520228263,-0.006113819509904051,0.0024378706701955067,-0.0066824603054259635,0.0023814886916923043,-0.006399955940228939,0.002202278356305103,-0.005246976879500825,0.002000522137424341,-0.0033707784633206506,0.0018711759800888064,-0.0010569647732569713,0.0018707827189507237,0.0013248328747010399,0.00199353588356629,0.0033927421327824368,0.0021679411010669418,0.004829181652380347,0.002279921186428596,0.0054460424935503845,0.002217235968778894,0.005222663464070726,0.0019190464085400059,0.004306831678572142,0.0014099900787027007,0.0029794863791447576,0.00080377684254391,0.001593691650161799,0.0002740762759353237,0.0005027561451921163,3.3189490218454168e-06,-3.6803971819563406e-06
