时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,6.702586592899132,-1.686972077276459e-06,-9.84125109914661e-07,7.880791898230453e-07,-9.048992054998578e-06,5.719307906626582e-06,-2.5561556157104363e-05,1.1316367848366033e-05,-4.6550927520505685e-05,1.608459692901335e-05,-6.72187465929248e-05,1.908553453306469e-05,-8.286383328752596e-05,2.005102544005171e-05,-8.977727069231888e-05,1.9329923901828012e-05,-8.593443457676636e-05,1.7692536638459096e-05,-7.135468783989402e-05,1.6047110028255215e-05,-4.806957948960988e-05,1.513899310396448e-05,-1.9710128951003117e-05,1.530974776929865e-05,9.206567741214475e-06,1.6385138616946815e-05,3.415608851382139e-05,1.7732369203727255e-05,5.1481957260849504e-05,1.8479506185384966e-05,5.909569321898086e-05,1.783613898931115e-05,5.6861380414343794e-05,1.5414147626403508e-05,4.6587160867113494e-05,1.1438834454880917e-05,3.162499790978515e-05,6.770590312076971e-06,1.6162206415479285e-05,2.710324331459377e-06,4.345492188930894e-06,6.20383442534093e-07,-5.815254917476534e-07
3,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,15.09695598673519,-3.801244944872936e-06,-2.216886567638916e-06,2.667421848481559e-06,-2.294345126844459e-05,1.5474803836975083e-05,-6.557620796095118e-05,3.0017906842516218e-05,-0.00011987735069220216,4.241990055352711e-05,-0.00017336354454503594,5.02343628709632e-05,-0.00021374913353257525,5.275458326980687e-05,-0.00023131542951508762,5.088177428303675e-05,-0.0002207454477306433,4.6621004332364376e-05,-0.00018208328841426484,4.234492548413571e-05,-0.00012066130128095966,4.00070094758913e-05,-4.602264705034735e-05,4.050556461144024e-05,2.9950739534851607e-05,4.338194215452982e-05,9.53496910631333e-05,4.696423772120031e-05,0.00014054469306005673,4.8942899381761096e-05,0.00016003490206312193,4.721959373479189e-05,0.0001534682379829697,4.076081018413652e-05,0.0001256268325122718,3.016300851768337e-05,8.538173055242488e-05,1.7716360759617835e-05,4.38368352436072e-05,6.899429219514281e-06,1.2033569113826544e-05,1.3973883798575106e-06,-1.3103769200395445e-06
4,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,23.722511798671633,-5.975872946578937e-06,-3.48393691980813e-06,6.238929319325876e-06,-4.193275808765793e-05,3.0249450809779814e-05,-0.00012138044024511838,5.7515789680058703e-05,-0.00022276630000655673,8.078842637491991e-05,-0.00032265229481631815,9.547198832223482e-05,-0.00039787166772089133,0.00010022353609870013,-0.0004300494251933724,9.671745402782329e-05,-0.00040911021080866774,8.871238792546359e-05,-0.0003351243499814802,8.06774927827097e-05,-0.00021819134458464802,7.631087519455689e-05,-7.641206174850782e-05,7.732615842691265e-05,6.765498211575205e-05,8.286048059280839e-05,0.00019138201388841636,8.972886895252443e-05,0.00027646215153894014,9.351254572128313e-05,0.0003124371551819296,9.018427203263566e-05,0.0002986524126880097,7.775361544221797e-05,0.0002442439218912148,5.7362407289070604e-05,0.00016616491341374577,3.341701420404669e-05,8.567091443893871e-05,1.2634056013054653e-05,2.3971258378727818e-05,2.195643105069076e-06,-2.06024703058277e-06
5,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,32.98769322818418,-8.315227749965362e-06,-4.845481753809625e-06,1.3474735324409557e-05,-7.211159828848684e-05,5.593508440670132e-05,-0.00021176797574269838,0.00010413174829513371,-0.0003903310783112942,0.00014530407038208557,-0.0005662924568429333,0.00017133182308234603,-0.0006984472082286174,0.00017980755998428798,-0.0007540230099508361,0.00017364081614885629,-0.000715003785170809,0.000159446285787378,-0.0005814806899618778,0.00014514927508831705,-0.0003714866690209316,0.00013736667388652342,-0.00011740316095309607,0.00013921637368703775,0.00014036239346421078,0.00014920135724361198,0.00036123564452305147,0.00016161069280088973,0.0005123636542263871,0.00016845416580026117,0.0005749749335123005,0.00016241097299718232,0.000547921819198216,0.00013984364154050722,0.00044768359812824863,0.00010281644315345143,0.0003048442548235234,5.934935701687685e-05,0.00015780051797709163,2.169684999516938e-05,4.4976651112970877e-05,3.0524768818412925e-06,-2.8675802578206785e-06
6,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,42.42970081934373,-1.0706386040458838e-05,-6.234000574893567e-06,2.889690063240099e-05,-0.00012610230297415865,0.00010528880275800497,-0.0003762003193642183,0.00019190774491556953,-0.000696654181787786,0.0002659837908143072,-0.0010126627430999346,0.000312990087484341,-0.001249651878754229,0.00032852383563519065,-0.0013481283917053573,0.00031762206083610025,-0.00127526194096703,0.0002919952541632904,-0.0010310655884075443,0.0002658739475417294,-0.0006481828155278963,0.0002513526830152542,-0.0001854373491362815,0.0002543456514318096,0.0002836099582689182,0.00027236956566331275,0.0006849598689245079,0.0002950871544344102,0.000958598483818689,0.0003077716172486718,0.0010701845331770156,0.0002967872327415202,0.0010176000462800842,0.0002552826928483125,0.0008310078267926118,0.00018702951577591144,0.0005664425140090926,0.00010690806679058817,0.0002943382611684872,3.768084735628343e-05,8.53466057166891e-05,3.9238968361940245e-06,-3.6945166100383205e-06
7,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,47.68481294047635,-1.2044935054104056e-05,-7.0076769186124355e-06,4.592049472159052e-05,-0.00018064095365560772,0.00015701584557954913,-0.0005440528820486071,0.0002828714856148437,-0.0010104882120034059,0.000390628363739143,-0.001471027687853049,0.0004593109663503539,-0.0018167712003232413,0.00048242240282016404,-0.001960634874697849,0.00046696214738130244,-0.001854364668453854,0.0004296063938694241,-0.0014976544054422854,0.00039092893572140137,-0.0009379273906092143,0.0003687559399032123,-0.0002610106736840107,0.0003721669599430006,0.00042551261312807545,0.00039797205427257853,0.0010131974214767836,0.0004312188938220397,0.001413910499803408,0.0004501600099057958,0.0015770679880507783,0.00043442197995920747,0.0014993516238268395,0.000373627823049817,0.001224856564940032,0.00027324393652463437,0.0008357120881822577,0.0001553132207865587,0.00043527549755366705,5.357142458569012e-05,0.00012738720380794518,4.407172305382792e-06,-4.159026134291725e-06
8,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,50.951244352276476,-1.288419289028039e-05,-7.4892276511481595e-06,6.351833049622923e-05,-0.00023502394112926152,0.0002093015111579271,-0.0007123961298886682,0.00037434378676162955,-0.0013260967679852812,0.0005158380149952986,-0.0019330372486761717,0.0006064629336215598,-0.0023898039954487367,0.0006375690892872002,-0.0025814523661307036,0.0006178902243553051,-0.0024439951856086374,0.00056879974557275,-0.00197649578133629,0.0005170881859354878,-0.0012408888401105515,0.0004864351156759156,-0.0003498362524061221,0.0004894055742849476,0.000555070920260886,0.0005224414723525463,0.0013307826739084952,0.0005661391883574677,0.0018607527509595405,0.0005916406140581981,0.002077812328605652,0.0005715741087275429,0.0019771392713900443,0.0004917861525651447,0.0016165433046955962,0.0003593447945348332,0.0011041209981083428,0.0002035381977723664,0.0005761121311053531,6.922775467488262e-05,0.00016960873271985863,4.706457543695464e-06,-4.4512291051872585e-06
9,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,53.16314380487648,-1.3459588297760104e-05,-7.815841198741161e-06,8.139795746262499e-05,-0.00028936684166853515,0.0002617936574068346,-0.0008812876066509965,0.0004659176663423207,-0.001643503936326327,0.0006411667884564467,-0.0023987658891193543,0.0007539863872081198,-0.0029690052136273374,0.0007935192594097143,-0.0032111685103932835,0.000769998603982848,-0.003045217444581638,0.0007092098315263126,-0.0024692330114893224,0.0006440123208837693,-0.0015593237932157377,0.0006040446561969878,-0.00045472945169223317,0.0006056762324077687,0.000669057824225666,0.0006453366617507967,0.0016342995859304143,0.0006993650870455794,0.002295782549978659,0.0007317330789161874,0.0025694036243990703,0.0007078267188576682,0.0024484807446737483,0.0006094596629024416,0.002004232795283226,0.00044518203515483696,0.0013704897045126614,0.00025157146896087807,0.0007162275757624345,8.4728199225546e-05,0.00021177008950180572,4.908527824186189e-06,-4.65201728897047e-06
10,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,54.74886135689542,-1.3879132559259214e-05,-8.05043431723634e-06,9.942348863759705e-05,-0.0003437181726292002,0.00031432588789769266,-0.00105074518831532,0.0005573965046043026,-0.0019627150586785215,0.0007663933188674315,-0.0028682542807374886,0.0009016475032744537,-0.003554518077461337,0.0009500442329109791,-0.00385010095962142,0.0009230807408977735,-0.003658584774893919,0.0008506603603109663,-0.0029766924276940954,0.0007715488448342459,-0.001894334489391922,0.000721436312755704,-0.0005770301562560946,0.000720811880481497,0.0007659750601960163,0.0007664585354912122,0.0019222014220469641,0.0008306715727648144,0.0027175255156609473,0.0008702116876209743,0.0030505483904225434,0.000842987611365233,0.002912340250100981,0.0007265181865591152,0.002387180455272717,0.0005306984525265016,0.0016343521508897236,0.0002994183270855356,0.0008553809095703707,0.00010011331657237935,0.0002537752159892125,5.053191680812569e-06,-4.798490155906776e-06
11,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,55.93138990172437,-1.4199073203968666e-05,-8.225764333914882e-06,0.00011752113333939869,-0.00039809470509937216,0.00036680216460855303,-0.0012207538612383298,0.0006486589810686996,-0.0022836915643211675,0.0008913718758784337,-0.003341469585666883,0.0010492838963816601,-0.004146358289398394,0.0011069797590492134,-0.004498359869754044,0.0010769875320074034,-0.004284340827968219,0.0009930284355970625,-0.00349927568117917,0.0008995994344737606,-0.00224648473702139,0.00083852165291067,-0.0007174438824683704,0.0008347138041107442,0.0008450210316208558,0.0008856842688351442,0.0021936551238767514,0.0009599133014693172,0.0031251878511392517,0.0010069261684215742,0.0035205539419470916,0.0009769268956494818,0.0033681677597596155,0.0008428730832900483,0.002764994887357196,0.0006158538179888148,0.0018954660940791663,0.0003470785147919046,0.000993448348931374,0.00011540407519788204,0.00029557503186746176,5.1611797875192535e-06,-4.909962632150264e-06
12,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,56.838051670575865,-1.4451531513041524e-05,-8.36053647608036e-06,0.00013564589123017686,-0.0004524978111601977,0.0004191585834603167,-0.0013912803338859158,0.0007396172848224048,-0.002606366918769164,0.0010159891174011117,-0.0038183309289144016,0.0011967621816367981,-0.004744461525491604,0.0012641860512939286,-0.005155932308947999,0.0012315903077346588,-0.004922555298489169,0.0011362096207671903,-0.004037157257936105,0.0010280851067106015,-0.0026160626932926366,0.000955234961763518,-0.0008763641684591914,0.0009473104300203842,0.0009057240461430427,0.0010029216287254456,0.0024481534852257287,0.0010869761622399514,0.0035182755615557576,0.0011417542916068635,0.003978982921686759,0.0011095357964626053,0.003815612276755901,0.0009584473734003088,0.003137424091154446,0.0007006096177776778,0.0021536744887744584,0.00039454541609865775,0.0011303497073797976,0.0001306110138593764,0.0003371387436132193,5.244331679363605e-06,-4.997462777804995e-06
13,0.13679678587118788,1987588.6857153506,44.741673123171665,0.8721552887657469,0.8839226243931199,0.08245107885826024,0.009769730440903403,0.002415546385647976,0.9040234343880721,1364.7277960771964,2.6298400683848735,1.6845447186624884,106.92390132298851,7.0842594127476275,2.846060793026547,310.07218469748886,57.546787615983526,-1.4656171305166705e-05,-8.466202236520089e-06,0.00015376768671324678,-0.0005069209314157155,0.0004713479495725024,-0.0015622814379328837,0.0008302009654505749,-0.0029306584002761755,0.001140148187589143,-0.004298728697995761,0.0013439631526066245,-0.0053487155106961585,0.001421534468646117,-0.005822732515103512,0.0013867688828742076,-0.005573196796672256,0.0012801067261302348,-0.004590382273455683,0.001156934813008039,-0.0030032028114178556,0.001071520742706079,-0.0010540144221538085,0.0010585431995348469,0.0009477880729211093,0.0011180933278377649,0.002685358401486875,0.0012117609807437328,0.003896445978765913,0.0012745864555822317,0.004425523048385562,0.0012407139782874207,0.004254417150643953,0.001073167441860533,0.0035042797745121076,0.0007849259606089785,0.002408857745970614,0.00044180772131000923,0.0012660234233316484,0.00014573879988909137,0.0003784436930505101,5.309896254647614e-06,-5.067740739947121e-06
