时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,6.365540609743499,-9.871697643052151e-06,-2.050763877881641e-06,-9.505803105414827e-06,-1.574955242316357e-05,-3.037980159484168e-06,-3.805514427420532e-05,4.374279582712418e-06,-6.611362296162065e-05,1.1052886205931926e-05,-9.556434001567578e-05,1.5890878158166385e-05,-0.0001222428336671317,1.843871915735183e-05,-0.00014271930988450242,1.884799535138209e-05,-0.0001547247600824554,1.771349110303684e-05,-0.00015738353970018443,1.5851529906612132e-05,-0.00015122253289732773,1.4062101966351097e-05,-0.00013796200112977335,1.292560690728982e-05,-0.00012012958845986709,1.2679237395687537e-05,-0.00010056755499163409,1.3200821863297559e-05,-8.19223049860224e-05,1.4100333078453216e-05,-6.620966716105415e-05,1.4887563037674137e-05,-5.4536665419365064e-05,1.5158996595266889e-05,-4.7030718382890205e-05,1.47374644475463e-05,-4.298777847501165e-05,1.3710640238919803e-05,-4.120524378090813e-05,1.2363021102117615e-05,-4.0443016610819645e-05,7.954947900233182e-06,-3.8603136470087424e-05
3,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,17.458712040355245,-2.713483552572239e-05,-5.620894689937378e-06,-2.562823140196694e-05,-4.45307347684381e-05,-6.843985987552952e-06,-0.0001086981963292476,1.4808535901498722e-05,-0.00018994584187913743,3.4393964713076575e-05,-0.0002754583550215046,4.8597436385717135e-05,-0.00035273443758804105,5.604544413600524e-05,-0.00041134901508917533,5.71752347843642e-05,-0.00044435689837979197,5.377500155772069e-05,-0.0004490828759077071,4.8313507873225046e-05,-0.00042720000178240195,4.320778441797188e-05,-0.00038410980599688836,4.018921389068926e-05,-0.0003277526045040381,3.991268590641965e-05,-0.0002670668509351333,4.1901828083947066e-05,-0.00021037732658212366,4.483732433486247e-05,-0.00016400733307553078,4.7094306348480905e-05,-0.00013137127558331696,4.735190570229657e-05,-0.00011271089704937319,4.506560338974196e-05,-0.00010551353450604432,4.0630648974043215e-05,-0.00010550752419076743,3.5210264842499944e-05,-0.00010805375377434647,2.187889162586536e-05,-0.0001059958843055441
4,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,27.252130216857367,-4.244322348588095e-05,-8.765392051540744e-06,-3.907634722182073e-05,-7.215655253721746e-05,-7.769681688680294e-06,-0.00017797408772631332,2.8465054935673546e-05,-0.0003126787127474266,6.132394144772508e-05,-0.00045468863452152784,8.514857145500195e-05,-0.000582562727368173,9.756171302101798e-05,-0.0006782346651112572,9.929871685831027e-05,-0.0007296097057974693,9.34403208735504e-05,-0.0007320636622324636,8.425557716330951e-05,-0.0006886577306792904,7.591720775380966e-05,-0.0006090870887165106,7.137565072084181e-05,-0.0005075869791991213,7.165572608615869e-05,-0.0004001847652994653,7.575244421213076e-05,-0.0003017984555630164,8.115005955880074e-05,-0.00022371357784646328,8.480443357703461e-05,-0.00017190397014587612,8.427396934264383e-05,-0.00014649675802423586,7.862012462505535e-05,-0.00014245655724628515,6.876245925536094e-05,-0.00015130745796121625,5.722245922775427e-05,-0.00016356587470822158,3.42351799250487e-05,-0.000165614914581106
5,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,35.61664703078593,-5.557390921612647e-05,-1.1440972776965312e-05,-4.9548678914184976e-05,-9.84913296073596e-05,-5.59253603234114e-06,-0.00024542454415677,4.539944686275528e-05,-0.0004332176362031407,9.169339963927274e-05,-0.0006312959996841527,0.0001252092643911249,-0.00080883366976681,0.00014252621367864717,-0.0009396503948286618,0.00014470237550772094,-0.001006174355859524,0.0001361969235098887,-0.0010017748535904507,0.0001231982769793951,-0.0009311703672223122,0.0001117417251879536,-0.0008089274955955703,0.0001060406282010122,-0.0006563752215180124,0.00010743136994177132,-0.0004975087799648711,0.0001142101574475727,-0.00035463000311151147,0.00012241451989186106,-0.0002445245772608612,0.00012732191418086483,-0.00017588301520487062,0.00012519573362453713,-0.00014842755361588108,0.00011470274000685653,-0.00015386793231226935,9.751636004368525e-05,-0.0001784245321711743,7.79798466440835e-05,-0.00020642712733251968,4.483450751524348e-05,-0.00021662021643509537
6,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,42.457614315669574,-6.635609234695736e-05,-1.36173395244627e-05,-5.696927677766309e-05,-0.00012304815964938462,-5.750690470941395e-07,-0.0003095372190596897,6.489167807102007e-05,-0.0005485129861332376,0.00012432189246498952,-0.0008004533352654074,0.0001672411252730455,-0.0010250715197396263,0.000189204292563017,-0.001187966218953948,0.00019161769305220551,-0.0012660378078057602,0.00018035495641937762,-0.0012507222668184377,0.00016356474967817178,-0.0011486258104885742,0.000149173951266027,-0.0009795671283700015,0.00014265178391672191,-0.0007724526056709472,0.00014558101479209877,-0.0005597515991180018,0.000155429411952354,-0.00037157878324752674,0.00016661397751679594,-0.00023047200223432927,0.00017256401959955635,-0.00014783511016260714,0.00016814701844833357,-0.0001226879328667189,0.00015166369439070858,-0.00014290322627243826,0.0001257347488720067,-0.0001885880743552734,9.68753096083071e-05,-0.00023694055745967715,5.3532640179346764e-05,-0.0002583863599830927
7,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,50.24106387863895,-7.86791217410402e-05,-1.6071475080727564e-05,-6.333914874519656e-05,-0.00015637619571264697,1.0861044505327505e-05,-0.00039823178571168265,9.691568813971843e-05,-0.0007087611366472212,0.00017490850943357867,-0.0010354937299131828,0.00023096741501707615,-0.0013243718517149082,0.000259223852937771,-0.0015290293076762288,0.0002616423411584448,-0.0016184001417616195,0.00024619637308961233,-0.001581322469769089,0.00022392011566211252,-0.001427526985860722,0.0002055072503156924,-0.0011849971366729654,0.00019822675865110355,-0.0008942720311174372,0.00020392452168340068,-0.0006007459055549887,0.00021869080551490416,-0.00034636473557673076,0.00023436166283701833,-0.00016225122066124015,0.00024146753821391274,-6.36378132694368e-05,0.00023273463735234257,-4.803572368722225e-05,0.00020599745553189584,-9.691381993965109e-05,0.00016553328348174376,-0.00018042370528402232,0.00012147669885763153,-0.00026422411576894545,6.345720600420423e-05,-0.0003059490701240972
8,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,58.4005261332,-9.167834945447226e-05,-1.8598399062748088e-05,-6.580367042996703e-05,-0.00020216496191999232,3.4287289774659616e-05,-0.0005225998786793752,0.00014993467061594172,-0.000934152199101479,0.00025431694184634493,-0.0013653025263952847,0.0003287513509829378,-0.0017417748647684413,0.00036543246221364757,-0.001999749413887363,0.00036725076051531783,-0.0020967541593461068,0.0003453261170267674,-0.0020183160457548123,0.0003149640929074688,-0.0017794630105509013,0.00029092814610793004,-0.001421029359599401,0.0002830842668561618,-0.001001548783900852,0.00029352649202438126,-0.0005862166096905092,0.00031607230868331386,-0.0002349185963535474,0.0003384420030647339,8.458628851241416e-06,0.0003466085895621879,0.0001234113049761348,0.00033001499538751834,0.00011551301404921497,0.00028594770147454397,1.399513819047643e-05,0.000221562193821315,-0.0001351315807658993,0.00015297910854713883,-0.0002790208417809204,7.388418703088946e-05,-0.00035582735930874575
9,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,66.64963871583065,-0.00010494813568513762,-2.1053286933733717e-05,-5.926843346157294e-05,-0.00027161245148915716,8.21524548662736e-05,-0.0007148279379586756,0.0002442900020867106,-0.0012827885873918062,0.0003895171883215994,-0.0018731762874116401,0.0004918215617025897,-0.0023793758051793663,0.0005406152516113111,-0.0027100289005484086,0.0005404484339652637,-0.0028051725948274593,0.0005075265550435011,-0.002646109265933416,0.00046398282457531194,-0.002257629025189102,0.0004310783545995584,-0.0017024926475434484,0.0004227935129653853,-0.0010693048107705634,0.00044147471836444624,-0.00045594652893585105,0.0004769915457867923,4.846511846805968e-05,0.0005100333400256459,0.0003797387194120616,0.0005188582328070836,0.0005097750252859402,0.0004874806957167607,0.0004505750857221342,0.0004125582802663449,0.00025041834041562627,0.00030653683708445573,-1.6782964480475844e-05,0.00019603994817054066,-0.00026676325973417714,8.442712278840298e-05,-0.00040619317049951035
10,1.2799118060880685,24768274.505235955,-837.782821234241,62.32263007304458,0.6570379496269969,0.07050748318959202,0.027650147322429687,0.005641969960597363,0.6766906674004665,426.5944261989827,2.8349300272233107,5.705740675938629,535.6429774680421,3.5056769152407252,0.3147145001133751,163.46201019437285,72.51489023754058,-0.00011452641000196086,-2.266166523556274e-05,-4.2399503619512364e-05,-0.00035239478937677967,0.00014865770829611198,-0.0009413822841475074,0.00036579587649589705,-0.0016933945721011327,0.0005587052479291719,-0.0024686815454347776,0.0006930246068092341,-0.003121845882345758,0.0007551614094691987,-0.0035290028431658113,0.0007517520279043499,-0.0036101156205173377,0.0007050124150227738,-0.0033425691985069592,0.0006451470475652781,-0.0027640808087293356,0.0006011892802866742,-0.001964837738234584,0.0005921274685727204,-0.0010704164857394532,0.0006206541676109863,-0.00021846510805012044,0.0006717774207307023,0.0004667270849304535,0.0007174308406719509,0.000897035539330901,0.0007262435910740564,0.0010362007141599269,0.0006755361259489492,0.0009052772067748723,0.0005614116126507953,0.0005768740069814487,0.0004032363383373667,0.00015968742823302835,0.00024093310187736134,-0.00022342698988080069,9.189453605026758e-05,-0.00044185044142685517
