时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,1.5431486804737542,-1.3067766570763213e-06,-4.2457534867916115e-07,-1.0547416363277842e-05,1.586799007451032e-05,-1.524717600533267e-05,3.0169192204983783e-05,-1.835305532219239e-05,3.966759712603742e-05,-1.9809783594576927e-05,4.296028176290798e-05,-1.9884005250496647e-05,3.9236901844996205e-05,-1.903718684307448e-05,2.8400620895609293e-05,-1.7825870434442392e-05,1.1107118160824003e-05,-1.6792242814257742e-05,-1.1278079329342357e-05,-1.6360719460149323e-05,-3.6798966475354604e-05,-1.6758202175180112e-05,-6.309233979137872e-05,-1.7970296527891372e-05,-8.761615317850544e-05,-1.9739265386116425e-05,-0.00010789973926675626,-2.160278436470931e-05,-0.00012179104603503661,-2.296679970326368e-05,-0.00012767686746488916,-2.3201719149212494e-05,-0.00012465507996327671,-2.1749045133760588e-05,-0.0001126424292185854,-1.8225534951153435e-05,-9.240766640322435e-05,-1.2508763498345075e-05,-6.552656454057983e-05,-4.737887954447696e-06,-3.426641344510624e-05,1.307631054743063e-06,-4.237196966761059e-07
3,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,3.3068765134095,-2.80261705133452e-06,-9.100894242435303e-07,-2.4885725802126336e-05,4.124057571031175e-05,-3.679725244363375e-05,7.840745330950295e-05,-4.472770233237632e-05,0.00010387151120186007,-4.853540979118394e-05,0.00011409185963137628,-4.8864049335069096e-05,0.000107001687063044,-4.684532687801558e-05,8.229682056979202e-05,-4.385150773211229e-05,4.152651895374224e-05,-4.122424173502893e-05,-1.2014356790403763e-05,-4.001952034118307e-05,-7.357976497985619e-05,-4.0811885198396096e-05,-0.00013742217340502417,-4.3587623209466795e-05,-0.0001973512412489264,-4.774043176467224e-05,-0.0002473446088918328,-5.2166458943783674e-05,-0.0002821500399828254,-5.544158934196003e-05,-0.00029782035322011284,-5.6054175769214825e-05,-0.0002921301092652796,-5.266162643372305e-05,-0.0002648341559847888,-4.4339451737050283e-05,-0.00021774323543992077,-3.078498778535228e-05,-0.0001546081407844938,-1.2331048641783937e-05,-8.082966015848119e-05,2.8046959349901335e-06,-9.079337924678486e-07
4,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,5.305844963159847,-4.500971078464521e-06,-1.4607838718424176e-06,-4.548029056934209e-05,8.37274955488757e-05,-6.907438108409631e-05,0.00015919836618723778,-8.490672251931229e-05,0.00021248619812759483,-9.269076120575905e-05,0.00023660189301145875,-9.36339437404681e-05,0.00022741286897038558,-8.990051865238224e-05,0.00018418224490081774,-8.413163642767708e-05,0.0001097353104325135,-7.891971302707316e-05,1.0248556815903861e-05,-7.631673528289377e-05,-0.00010531593841514838,-7.745898773201928e-05,-0.00022607070583918035,-8.236430558801722e-05,-0.0003402686552818906,-8.992596403000139e-05,-0.00043646547056870475,-9.809516421833685e-05,-0.0005046627067677032,-0.0001042174734363453,-0.0005373203655919396,-0.00010547093048512461,-0.0005301424197396771,-9.934554187150903e-05,-0.000482560174284225,-8.410510956162458e-05,-0.000397866709830714,-5.91634858912007e-05,-0.0002829862946079105,-2.5136674390630275e-05,-0.0001479088920069011,4.504912613234459e-06,-1.4565384330338958e-06
5,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,7.225273975792498,-6.134933745118142e-06,-1.990185773490601e-06,-7.229709108829022e-05,0.00014667598242118021,-0.00011280669960449318,0.00027893543559051273,-0.00014018038683860247,0.00037467490484080794,-0.0001539125554652259,0.0004219219510937039,-0.00015597335345519424,0.00041350083116885187,-0.00014996513437676552,0.00034791774967616804,-0.00014031184849420947,0.00022963294760009988,-0.0001313707883296797,6.87065865890745e-05,-0.00012660627241955631,-0.00012014390743865054,-0.0001279634734061515,-0.0003189744115382569,-0.00013553468092173722,-0.000508383129072382,-0.0001475548284498873,-0.0006694360403371454,-0.00016070848697827557,-0.0007855561300606596,-0.00017068666470520198,-0.0008441926732891096,-0.00017290422786425493,-0.0008381119823714019,-0.00016327808539132565,-0.0007661869220588229,-0.0001389703803873939,-0.000633608729874745,-9.899200486037652e-05,-0.0004514946977332855,-4.43312393909335e-05,-0.00023593730709757426,6.141438825005194e-06,-1.9829280622279696e-06
6,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,9.51128429912962,-8.085838851379719e-06,-2.6220805735669988e-06,-0.00012144943806897669,0.0002753241769218096,-0.0001960457233109426,0.0005237262348050494,-0.00024682647233490633,0.0007081757838714583,-0.0002728231411248547,0.000806657855815465,-0.000277465094493731,0.0008057416818617202,-0.0002671822656401115,0.000702152544313878,-0.0002499278620137161,0.0005032638081174948,-0.00023355753450964587,0.0002264730476763406,-0.00022433386425445496,-0.00010247159292062876,-0.00022580776399389987,-0.00045201309352904467,-0.00023823903546043486,-0.0007879245569642942,-0.00025861175411289177,-0.001076718447284429,-0.0002811986991503251,-0.0012889831957826775,-0.00029855202036387107,-0.001402323657454191,-0.00030275429347726346,-0.0014036287362151128,-0.0002867538141761663,-0.001290453806818974,-0.00024562277310976834,-0.0010713851984943724,-0.0001775750762281483,-0.0007653399663127826,-8.428213801084521e-05,-0.00039987130855371935,8.097305718459238e-06,-2.608759843859254e-06
7,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,11.246247659076433,-9.572240613130957e-06,-3.103730029909632e-06,-0.0001860919865251042,0.0004570287807563175,-0.00030868681992861417,0.000869512949457612,-0.0003925063918172676,0.0011808791733746158,-0.0004359068083914862,0.0013549491380126458,-0.000444338483386681,0.0013693255429353022,-0.00042821425910963214,0.0012179433538389024,-0.000400465941451625,0.0009118966700088173,-0.0003738617964568821,0.0004784625110503339,-0.0003585553522625707,-4.157442878790242e-05,-0.00036028475551896406,-0.0005979981847997971,-0.0003794806798433413,-0.001136194032009715,-0.0004113519856559607,-0.0016026046065632648,-0.0004468456512909157,-0.00195005820489916,-0.00047425557021393817,-0.002142455790451898,-0.000481198234046658,-0.00215838235835595,-0.0004566754319038299,-0.001993311474633974,-0.00039298483078415076,-0.001660194488161649,-0.00028725796934072094,-0.0011883576974219998,-0.00014206045329723547,-0.0006208034896266752,9.590527106998884e-06,-3.0818490734070327e-06
8,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,12.266473692797343,-1.045176218502851e-05,-3.388820917360171e-06,-0.0002494106897779285,0.0006403088851970426,-0.00042067699095563887,0.0012182167698101005,-0.0005379415697060994,0.0016580636551413064,-0.0005988679544959125,0.0019092750055150626,-0.0006109974910066816,0.0019402562558712773,-0.0005888732891822944,0.0017419612319741205,-0.0005505678864677714,0.0013290840960319358,-0.0005138739581826094,0.0007387431737753804,-0.0004928560322965407,2.6797943236157713e-05,-0.0004953644681390367,-0.0007377804632195297,-0.0005218649224700961,-0.0014798565248029185,-0.0005656511429878916,-0.002125650107807346,-0.0006142567917783422,-0.0026100663768652108,-0.0006517159341023957,-0.002883134889713113,-0.0006612608807816295,-0.002914970733730712,-0.0006280746116547216,-0.0026988118772008386,-0.000541795195840871,-0.0022518492332431698,-0.0003985191592487556,-0.0016137397829863347,-0.00020168350560543174,-0.0008429168190443206,1.0476906487847546e-05,-3.3582166885569333e-06
9,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,12.930710912875266,-1.1029922116490941e-05,-3.5759697418152357e-06,-0.0003117389185034336,0.0008221632535740735,-0.0005316996791328342,0.0015640508990697483,-0.0006822988557721899,0.0021312357095379605,-0.0007605107547671528,0.0024586975905048756,-0.0007760479061301801,0.0025055733916723847,-0.0007477183876855232,0.002259767788571726,-0.0006988661697848452,0.0017395308811563297,-0.000652377161863375,0.0009918093473173517,-0.0006262004632214609,8.754955993214496e-05,-0.0006301811981504447,-0.0008854980776368678,-0.0006646516968736534,-0.0018316525571020208,-0.000720831868724851,-0.0026568896592289093,-0.0007827503442082025,-0.0032781695499814953,-0.0008301889758261664,-0.0036316205446346632,-0.0008420974677533844,-0.0036788451910473247,-0.000799993921884107,-0.0034107928379126236,-0.000691000308897218,-0.002848841132333054,-0.0005102515198938291,-0.0020429409027337736,-0.00026203861020160406,-0.0010669500431629588,1.1061923389399184e-05,-3.5365880971694833e-06
10,4.378066672271377,121247776.97852606,-22117.515949395907,1071.1816356190393,1.5385765695835008,0.12392063329298786,0.14418094710876136,0.010575859316728045,1.5647924570724745,526.4559968640916,10.0,10.0,0.0,10.0,10.0,0.0,13.392895900362744,-1.1438067519086718e-05,-3.707505415619029e-06,-0.00037324647561202506,0.0010014705739168318,-0.0006416634767992445,0.0019048417658615183,-0.0008252742105339425,0.002597161517608968,-0.0009203775444001862,0.0029989827224626902,-0.0009389444267611902,0.0030601676069751983,-0.0009041796689313601,0.0027655605557878413,-0.0008448177068878675,0.002136966492677147,-0.0007888889630310597,0.00123117243218135,-0.0007581808252395831,0.00013422833392076782,-0.0007643971629094244,-0.0010473276023659991,-0.0008075543218251895,-0.0021972772760828277,-0.0008766313036241765,-0.0032013771333148297,-0.0009520581375962757,-0.003958674239718213,-0.0010093761220847704,-0.0043914221211445725,-0.0010233625132688438,-0.004452722482143984,-0.000972035863285035,-0.004131231527103186,-0.0008401579194743563,-0.00345250002060274,-0.000621986516507288,-0.0024767627915189203,-0.0003226515264077763,-0.0012933091699421657,1.147691141576237e-05,-3.659334770295707e-06
