时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,1.4819387360513496,-3.001407714224228e-06,-4.1497378613352123e-07,-1.641872342351301e-06,-8.594959867643867e-06,2.4790580954661187e-06,-2.515689116612225e-05,7.224582293589898e-06,-4.649343984786312e-05,1.1373174736618625e-05,-6.820413209652498e-05,1.4140055905700754e-05,-8.6000751067862e-05,1.5263965458957663e-05,-9.6434856860802e-05,1.4963809222966396e-05,-9.746905265009213e-05,1.3796217395296373e-05,-8.878432556510489e-05,1.2451633049780612e-05,-7.177332160762134e-05,1.1535587187807548e-05,-4.9225548807045426e-05,1.1386827991000288e-05,-2.476584529936357e-05,1.1980578840514971e-05,-2.1517393228226013e-06,1.2948240779466378e-05,1.5437335990104176e-05,1.3713581523218487e-05,2.598232255989852e-05,1.3707425977329734e-05,2.896457555761945e-05,1.2592295067055212e-05,2.5397141943527652e-05,1.0419174342425572e-05,1.754181295915701e-05,7.657381844957173e-06,8.370535531432486e-06,5.0857406698280496e-06,8.744080979593217e-07,2.9038500158047964e-06,-2.3962052086383175e-06
3,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,3.2524455391054325,-6.593739247605544e-06,-9.078300408989819e-07,-3.178769900672606e-06,-2.027351413729614e-05,6.727262166086597e-06,-5.978001703964503e-05,1.8156352248163567e-05,-0.00011083518112059489,2.816162532100216e-05,-0.00016281310991124733,3.48356920711452e-05,-0.00020526463053531816,3.753619449362288e-05,-0.00022974345744983756,3.6790041001420167e-05,-0.00023124384581472288,3.395165366094027e-05,-0.0002089826479393304,3.07070049931599e-05,-0.00016640024982315484,2.8536878579927448e-05,-0.00011039445136138512,2.8266262639778883e-05,-4.993818770330196e-05,2.9820736722382822e-05,5.658116777784694e-06,3.227074064758161e-05,4.8510489173069355e-05,3.416749213061953e-05,7.361253135564315e-05,3.407853372257055e-05,7.969071242167274e-05,3.1152705015227685e-05,6.929767454712123e-05,2.551970872753689e-05,4.8129295120436904e-05,1.837595622602322e-05,2.370996676928748e-05,1.1724842701032915e-05,3.702474110000066e-06,6.375761688376769e-06,-5.267342719811206e-06
4,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,5.278162629448659,-1.071391072840589e-05,-1.4655166813537168e-06,-4.078581756005105e-06,-3.647405195020335e-05,1.4156742847208569e-05,-0.0001085084992903214,3.522485789954295e-05,-0.00020189181086506953,5.368705309692594e-05,-0.0002969692781806156,6.599775826966747e-05,-0.000374224701841128,7.094983851621694e-05,-0.00041779688149143514,6.951487220725629e-05,-0.0004182590058201853,6.42176095039117e-05,-0.00037414976266497577,5.821426464880583e-05,-0.0002920126890371741,5.4283544652500884e-05,-0.00018496739539329918,5.3968224065592424e-05,-7.009646411987358e-05,5.7100497143896944e-05,3.4858174969704446e-05,6.187418828279712e-05,0.00011486357988511032,6.548099562886964e-05,0.0001603809794973635,6.514076473084621e-05,0.0001690245310898942,5.9199526991327896e-05,0.0001457724619042763,4.791706861668145e-05,0.0001017004886517529,3.3654349159699065e-05,5.151026942647169e-05,2.039294940621902e-05,1.034188208312612e-05,1.0350599855847925e-05,-8.567127874378883e-06
5,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,7.282762418995503,-1.4804252730025995e-05,-2.0061539157610436e-06,-3.4763794479207273e-06,-5.742682094531411e-05,2.5926606663533058e-05,-0.00017241212479256473,5.9907386636879e-05,-0.00032184195049875995,8.969209645368764e-05,-0.0004738839628004871,0.00010953172316653769,-0.0005966596590293517,0.000117453384586437,-0.0006641413541417833,0.00011502499113589568,-0.0006608342696454115,0.00010635758899587902,-0.0005843864580533356,9.661487624243367e-05,-0.0004457120272359798,9.035979781162326e-05,-0.0002666598983296818,9.01238103965237e-05,-7.569260486236799e-05,9.559295346184049e-05,9.760905220772806e-05,0.000103701967129261,0.0002281752147806831,0.00010968686671442753,0.0003001260677729239,0.0001088233328431627,0.00030958562934854075,9.830063234714312e-05,0.00026508398844150036,7.858240478730934e-05,0.00018549096335861685,5.375370124169371e-05,9.59313350488999e-05,3.072744120928475e-05,2.2497888016479006e-05,1.4284420134766518e-05,-1.1855141950246909e-05
6,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,9.345812185903236,-1.9033280977703055e-05,-2.540315004778933e-06,1.369240679308044e-08,-8.844717290012517e-05,4.646185510198952e-05,-0.00026815238772754974,0.00010008199569955387,-0.0005020890503449558,0.00014704682609659544,-0.0007397488424030023,0.00017827477396931422,-0.0009301813600010819,0.0001906331031168365,-0.0010316367285496337,0.0001865902429822657,-0.0010192569671245892,0.0001726721791915814,-0.0008894092647956255,0.00015712858900264983,-0.0006599705540104843,0.0001472984802726618,-0.0003666025324558773,0.00014727424326063147,-5.575699095822179e-05,0.00015651775821649873,0.0002242742049145414,0.0001699499664613186,0.0004325741789911633,0.00017964834615543222,0.0005433030296896189,0.00017773127744837733,0.0005503705296948465,0.00015951155487579373,0.00046816342386723234,0.00012581164246005584,0.00032822083350385366,8.357843594624837e-05,0.00017258802863300357,4.456499056520041e-05,4.518735174326755e-05,1.8328666459908732e-05,-1.527788618334601e-05
7,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,11.385926527204758,-2.3249981888936457e-05,-3.019512871657219e-06,9.663265254911396e-06,-0.00013958553835240146,8.483745013855092e-05,-0.00042749991001962717,0.00017136604001262697,-0.000802630789827643,0.00024702299945174777,-0.0011828504463209427,0.0002972369726590839,-0.001484859216443537,0.0003169601079645223,-0.0016402433748907437,0.00031011156944885565,-0.0016083294469102533,0.00028718139387524835,-0.0013834849679748398,0.0002615781396977254,-0.0009957002141391912,0.0002453967180749931,-0.0005044973351534457,0.0002455133559164113,1.2635800526394289e-05,0.00026111998359435004,0.00047513652593741897,0.00028369107411253634,0.0008147862190579509,0.00029974856443004634,0.0009886730263023863,0.0002957847779675465,0.0009871159496301857,0.00026375242566651784,0.0008349659302371802,0.00020513497672588926,0.0005860840684472389,0.00013203635898500376,0.0003122242129253628,6.485721895778796e-05,8.858253948177598e-05,2.231275348996062e-05,-1.873908535310848e-05
8,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,12.566574399142374,-2.572365234750065e-05,-3.245826441601831e-06,2.16121984563273e-05,-0.00019028821394145626,0.00012552268194119967,-0.0005864245533560367,0.00024480321825395536,-0.0011027576148316923,0.00034896384178832577,-0.0016254030387080364,0.00041809082515751684,-0.002038554463320248,0.0004452467360874097,-0.002247007408743869,0.0004356725863146727,-0.002194211741252354,0.0004036304543736518,-0.0018725595232411505,0.0003675811075321549,-0.001324273935600718,0.0003444491893340413,-0.0006329566863347701,0.00034411658927501105,9.255957609276691e-05,0.00036573132887235074,0.0007390837702167708,0.00039739463088080346,0.001210768727924043,0.0004199350100555485,0.0014474350070736392,0.00041395621467758776,0.0014358241769240959,0.0003678397927504646,0.0012114889615500793,0.0002837174074505341,0.0008510216741853316,0.0001790538232847268,0.0004563754266767363,8.31924623110079e-05,0.00013450408848266087,2.4601379717363896e-05,-2.0816181396685787e-05
9,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,13.327066164896817,-2.7345957703708472e-05,-3.3481942738326735e-06,3.467597011821535e-05,-0.0002408581073219824,0.00016726892596320635,-0.0007454995338077025,0.0003191332181271239,-0.0014035848256344194,0.0004516562905080797,-0.0020694346471156312,0.000539721623805873,-0.0025946453259055153,0.0005745069189274497,-0.002857104073106106,0.0005624136785542465,-0.002784254494461016,0.0005212457905310842,-0.002366382094582064,0.0004743766494894171,-0.0016578273372842773,0.0004436207885726038,-0.0007662007156827135,0.0004421048101734519,0.0001683127431203418,0.0004692100362263365,0.0009997922082232741,0.0005098129182550863,0.001604589945194593,0.000538988104292844,0.0019050736327995423,0.0005312402722072697,0.0018842683336126823,0.0004711713907714378,0.001588362067834812,0.0003614901012128541,0.001116672069394455,0.00022511210564838291,0.0006013802020482254,0.0001004756091732917,0.0001812567478512634,2.60622860695702e-05,-2.2214445284597082e-05
10,4.297420682669826,96688285.23047596,10136.742030031528,1083.6232702090315,2.9781093382738995,0.24409723156675733,0.08944194985025283,0.01197123004575375,3.030632895802774,905.276195523064,2.810449037697495,6.303669061304488,884.4611322667827,2.8937053635465526,1.1614953040455198,639.2279271445036,13.853301300027084,-2.8495152137046743e-05,-3.381316038242646e-06,4.8346389718995533e-05,-0.00029140603053726626,0.0002095385642352109,-0.0009049506425031439,0.0003938196549053229,-0.0017056202221945294,0.0005545967178135145,-0.0025159497318719536,0.000661683178332865,-0.0031548565983419486,0.0007043652437389953,-0.0034731700127190418,0.0006900283484038683,-0.003382127387359636,0.0006397704587761959,-0.002869676034633491,0.0005817226536196494,-0.002002038938633928,0.0005426431938666435,-0.0009106417291359988,0.0005391514567447031,0.00023307853453630612,0.0005711649002033746,0.0012504419700852187,0.0006205194392186644,0.0019898463694882984,0.0006565084194950909,0.0023559768257650645,0.0006473432365605241,0.002327899901068739,0.0005736286193879783,0.001962226431779854,0.00043854448890558975,0.0013808267923121533,0.0002704974729155688,0.0007459850609341797,0.00011712349162670116,0.00022823067333236575,2.706346957585648e-05,-2.323307922316224e-05
