时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,4.833443389994586,-2.3433752448605137e-05,-1.629766526851243e-06,-1.63117402086174e-05,-2.3841255353467745e-05,5.821069249221963e-07,-6.066022622547347e-05,1.922522297250446e-05,-0.00010596850083333518,3.5292797537427335e-05,-0.00015101576073927355,4.597886547317242e-05,-0.00018723240571782266,5.037783417719854e-05,-0.0002077045867348583,4.938889226558354e-05,-0.00020834907603729713,4.5200547021078216e-05,-0.00018855410959624255,4.050304644251464e-05,-0.00015120130357546905,3.763062054165818e-05,-0.00010206943124770594,3.7856641053829653e-05,-4.8729636424080354e-05,4.103361349941138e-05,8.704865463616586e-07,4.5684510610085204e-05,3.987203138027858e-05,4.952639334703786e-05,6.373932651578353e-05,5.027586022189499e-05,7.102283762047024e-05,4.649192220093377e-05,6.350539675645081e-05,3.81866635423991e-05,4.570613111959539e-05,2.7000928181319265e-05,2.3861372162395286e-05,1.5860292636777302e-05,4.565593051472551e-06,5.533915176573925e-06,-4.783412152393442e-06
3,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,11.039545445150262,-5.361645576578703e-05,-3.7227680949469823e-06,-3.132003684666839e-05,-6.546301175973352e-05,1.74984715463372e-05,-0.00017035355984709293,7.146617333060301e-05,-0.00029996060977072187,0.00011794613621667818,-0.0004285583675395006,0.00014865402502607682,-0.0005306223399624278,0.00016089751523409938,-0.0005854412428094434,0.00015735716465566552,-0.000580796447736723,0.00014458174279041356,-0.000515003253753879,0.00013063334021822656,-0.00039703652297507706,0.00012248827532180967,-0.00024474076079223045,0.00012387500099909484,-8.145292346577694e-05,0.00013415122401517387,6.835889183603837e-05,0.00014857107842265884,0.00018363225535976405,0.0001599058308014478,0.00025054989562107587,0.00016096400302189186,0.00026492531969913257,0.00014724958835072603,0.00023267682009259864,0.00011890941018694251,0.0001683161644204119,8.132405963693174e-05,9.181888753983655e-05,4.407807429405803e-05,2.447027143336282e-05,1.263255514200123e-05,-1.0962730188499926e-05
4,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,17.597122376295264,-8.566802321815045e-05,-5.890694955550227e-06,-2.7856030520617503e-05,-0.00014503351917200566,8.722129042283292e-05,-0.00038828274058763787,0.00021424949484887364,-0.0006895003972566974,0.00032326724422284265,-0.0009868677723687247,0.000394543171882618,-0.0012184548881290084,0.00042169074137706505,-0.001333881189506645,0.00041124837934449214,-0.0013036260840180271,0.00037914273662710866,-0.0011242582289310043,0.0003450263349622856,-0.0008188535850300948,0.00032590759963778117,-0.00043259627257051443,0.00033073209982886526,-2.4347413744368684e-05,0.0003574672233978798,0.0003443362105668682,0.00039367953644771646,0.0006207040565120368,0.000420622274170936,0.0007705942641590314,0.0004197317594443916,0.0007845233825791103,0.0003795604128888039,0.0006788762616746192,0.0003008938262381958,0.0004920263170412989,0.00019831200751824205,0.000276337180616591,9.750696425620144e-05,8.765420084595666e-05,2.0088940503757476e-05,-1.7595468457436904e-05
5,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,21.767500407624517,-0.0001062343639209598,-7.152577561762611e-06,1.0043594732381317e-05,-0.00026148670311396983,0.00022656986382865922,-0.0007150894499267508,0.0004647297723393567,-0.0012768023144092968,0.0006683114873227039,-0.0018285991710484109,0.000800393046778082,-0.0022519117284070344,0.0008490771274494738,-0.002450440221262373,0.0008267223386559289,-0.002368276109253823,0.0007634858921754332,-0.002000064705890899,0.0006968429450648896,-0.0013918208932160575,0.0006595192303330217,-0.0006324196948563594,0.0006688830858318345,0.00016278126911321804,0.0007209044553794432,0.0008734039790713424,0.000790907825202322,0.001396681098996739,0.0008414717382907204,0.0016667948684944373,0.0008354474089916254,0.0016668930586767473,0.0007500753789059949,0.0014312846288458863,0.0005874476657604117,0.0010375263258850418,0.0003775977698698797,0.000590407438155041,0.00017282998725706242,0.00020123442832268592,2.4734478525788948e-05,-2.1985484089696233e-05
6,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,23.70021980960069,-0.00011591308136318824,-7.619979991592711e-06,6.031814294501894e-05,-0.00037622280917490065,0.0003778875211133663,-0.0010403962011441097,0.0007262905633432112,-0.0018629474247214505,0.0010235699631266275,-0.0026692518958471986,0.0012160664124183853,-0.003283797381704061,0.0012863842741146162,-0.0035642781822606217,0.0012522245785689938,-0.00342850105326696,0.0011573307170031392,-0.002869371126723962,0.001056652859195691,-0.0019560237355301393,0.00099886218378103,-0.0008212187155061349,0.0010104492577544012,0.00036291380636192176,0.0010861285853077907,0.0014167999218662752,0.001189295687625603,0.002187295798444703,0.0012635447354916686,0.0025767817519064553,0.0012524317261148274,0.002561236945300317,0.0011212659691396218,0.0021933752323961817,0.0008733398876826368,0.0015904584405585338,0.0005546059931163119,0.0009100202221059891,0.0002446701924785285,0.00031888819452235593,2.6798149194330115e-05,-2.4169054464779897e-05
7,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,24.80473356512313,-0.00012156812411496483,-7.790679620797407e-06,0.00011516455108218042,-0.0004907641983924097,0.0005334636609428104,-0.0013667734077078893,0.0009915642776530161,-0.00245226948465015,0.0013822382314626026,-0.0035157482277275802,0.0016354608094676691,-0.004324432306726169,0.0017282340849363968,-0.004689769042821488,0.0016829927011470448,-0.004503098213018757,0.0015563042958486773,-0.0037553719923453578,0.0014201772321753873,-0.002538557406521775,0.00133946849020201,-0.001029002421758833,0.001350601480706325,0.000544547548764592,0.0014479743680854405,0.0019432319360156364,0.0015836005658725787,0.0029632267569135147,0.0016819765835909297,0.003474759178525686,0.0016667393463798577,0.003446398744993496,0.0014905795564783672,0.0029491431105846074,0.0011576637158394766,0.002139822571371906,0.0007300101244629181,0.0012284389068083702,0.0003148933633991796,0.00043698124981503007,2.790861419509055e-05,-2.5532177595678796e-05
8,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,25.512908108113447,-0.00012530695952378868,-7.818522708984773e-06,0.0001721476928687366,-0.000605512717604081,0.0006908408772969531,-0.0016948730790429488,0.0012581585197423018,-0.003045948378062925,0.0017420773703608978,-0.004370138252564298,0.0020565597138403786,-0.005377067985930371,0.002172866087458036,-0.00583161152586608,0.0021175092022619603,-0.005598318462761312,0.0019590690946093992,-0.0046658031610677456,0.0017861569703369671,-0.003148394225301874,0.001680046959820322,-0.0012655604810314957,0.0016879400837076922,0.0006976276570750973,0.0018049326012590304,0.0024429935990479116,0.001972295883382491,0.0037156927772229805,0.002095389147874009,0.004353312706707634,0.0020773267369318784,0.004316568673794788,0.0018574470090534903,0.003694395869221595,0.0014403644363464847,0.0026828550482733103,0.0009041929858722786,0.0015439991866037412,0.0003841563171523615,0.0005545650453574818,2.8565557293561798e-05,-2.6500209057021928e-05
9,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,26.000047273192187,-0.00012798594875726923,-7.766325102436962e-06,0.00023024903233617177,-0.000720581859439197,0.0008489421200172114,-0.002024830727966766,0.0015249632599072462,-0.0036442572739325873,0.002101982611115114,-0.005233001036891125,0.0024783089179573506,-0.006442766392840448,0.002619320305589319,-0.006991491396768273,0.002554936509144362,-0.006716544232002562,0.0023649081621587645,-0.0056037337679656395,0.002153957869862758,-0.003789193359953742,0.0020199824532713814,-0.0015349605921298473,0.0020218070873422637,0.0008179309726193888,0.002156276505366807,0.0029119967026591093,0.0023546179390467425,0.004441014523940587,0.002503066307975379,0.0052093740706476875,0.002483630410345578,0.0051693856869503285,0.002221539334669137,0.004427466326347066,0.0017213713499831208,0.0032184807736340237,0.0010772984048319782,0.001856062944044705,0.00045272816656626843,0.0006712716551557366,2.8972014093897957e-05,-2.7245919836822946e-05
10,6.677404726630858,239488778.37580487,37157.19673658343,3302.177723870912,2.6855379130916623,0.3910536224828422,0.13951136700193265,0.013011915114342349,2.8304655088123747,762.2549086081,0.9055488758706538,7.341792567761567,231.1671263089039,3.788932431029968,2.5661827873882492,89.98782923177305,26.35059415764118,-0.00013001780393232833,-7.664502421226249e-06,0.00028895725311831554,-0.0008359903796678446,0.001007189979496221,-0.0023566124473619592,0.0017913347276009403,-0.004247157853793043,0.0024612586189412876,-0.006104386850413935,0.0028999937336338733,-0.007521776664989771,0.0030669082206910073,-0.008169953621314723,0.002994657076722392,-0.007858678975820352,0.002773299551528522,-0.006570445626165551,0.0025231434131908234,-0.004462588924274988,0.002358879789065029,-0.0018391130187249208,0.002351791041848231,0.0009033974085075115,0.002501539177084942,0.0033481921421709138,0.0027300491898209537,0.005137315226871435,0.0029044917455250665,0.006041362215102387,0.002885212138382957,0.006003626049781731,0.00258256328589932,0.005147486733555816,0.002000563181396614,0.003746138634322633,0.00124935389600977,0.0021642986523449778,0.000520726758119585,0.0007869148858257718,2.9225884877006896e-05,-2.7852538593518895e-05
