时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,7.039869536311895,-1.9334994483688785e-06,-1.1953189206441478e-06,8.049937006737973e-06,-2.1479526408220364e-05,2.7019561378412807e-05,-5.783637683137677e-05,4.7892310391044134e-05,-0.00010258814458909923,6.55154520378574e-05,-0.00014590576884275828,7.657160594691687e-05,-0.00017814862520622218,8.012491989510873e-05,-0.00019171382171871186,7.750677407178333e-05,-0.0001824881719014653,7.161793784524023e-05,-0.00015060338830635378,6.585876509056777e-05,-0.0001003900199596616,6.29807933046485e-05,-3.953625793699973e-05,6.418417492763781e-05,2.239405612736596e-05,6.87311020719961e-05,7.580929034601286e-05,7.420655375673512e-05,0.00011294286427541619,7.736342994649476e-05,0.00012933576392550993,7.529971881294672e-05,0.00012464319276800446,6.65979780375054e-05,0.00010260740185713434,5.2050220649969634e-05,7.020756150790979e-05,3.471975483062951e-05,3.61888166629118e-05,1.927144634653625e-05,9.23427573208218e-06,9.754586912270342e-06,-3.0286180111064563e-06
3,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,15.691208235591763,-4.318444607950894e-06,-2.6542186624957206e-06,2.702927876607632e-05,-6.31601776072493e-05,8.488909179677359e-05,-0.00017324547939551063,0.0001486344363945096,-0.0003091376807157834,0.00020247771331700725,-0.00044059762383692015,0.00023618579280679043,-0.0005377394813849543,0.0002468276555296945,-0.0005769060223421304,0.00023847286526781366,-0.0005452751760940385,0.00022007844875548868,-0.0004432870955625169,0.00020219460166433662,-0.0002845438325606329,0.00019338608803011413,-9.320121311185925e-05,0.00019738112034914238,0.00010067525302477441,0.0002118161302252837,0.00026693229794985484,0.00022902336833254667,0.0003811880661564409,0.00023869107583270906,0.0004295285184394734,0.00023160645628786776,0.0004110593598663645,0.00020329589135564724,0.0003378063646827411,0.0001563468084667666,0.00023201805183132993,0.00010060343556386858,0.000121514126102834,5.103407943082109e-05,3.396296686096119e-05,2.1730157699166426e-05,-6.788556240134402e-06
4,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,24.925721412694042,-6.893929530860664e-06,-4.172455873731661e-06,8.160682739841265e-05,-0.00016559247740205227,0.00023945899068434902,-0.0004642178708128914,0.00041337819748044167,-0.0008338537198855049,0.000560317962299354,-0.0011911601095098265,0.0006522296987635817,-0.0014531956760569606,0.0006808799910735998,-0.0015541052614895328,0.0006571608086604237,-0.0014581522559075596,0.0006055344367612202,-0.0011666502303483777,0.0005551650538076657,-0.0007177980370618448,0.0005300434869562766,-0.00017948521708171456,0.0005408567342870945,0.0003636817865599896,0.0005811478629752101,0.0008267920425043598,0.0006292554025299998,0.001141275568877275,0.0006557601259352006,0.0012683047178707974,0.0006342577442789266,0.0012060502024714285,0.0005519627315148355,0.000989287242366408,0.0004164826826228739,0.0006815928692612645,0.00025630758205475156,0.00036205393291520856,0.00011450182270543056,0.00010920119813461908,3.444458864559197e-05,-1.0930480900340497e-05
5,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,28.914635490804024,-8.041032437182321e-06,-4.78074115529015e-06,0.00014627823282220502,-0.00027967570654762705,0.0004170800886339317,-0.0007923449717289258,0.0007153091635911567,-0.0014280317847468295,0.0009674937925783067,-0.002042867398931732,0.0011256800134172395,-0.0024932551330918828,0.00117541780793064,-0.0026650586964906994,0.00113468435393568,-0.002496254305607292,0.0010448417149393518,-0.0019889592302275174,0.0009559355130698323,-0.0012092050084752588,0.0009098934741831919,-0.00027462835191370945,0.0009261792053714331,0.0006678655772508499,0.0009944819447253654,0.001470576090690354,0.0010774669758903915,0.0020141197967926236,0.0011235374694977941,0.0022310125763755143,0.001085932985995946,0.0021184343432816624,0.0009418122898458706,0.0017374066609998592,0.000704489764164343,0.001198918798962153,0.0004242150993059467,0.0006405819333586253,0.00017667864688986857,0.00019882362255175225,3.9849063292764466e-05,-1.2865551765483312e-05
6,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,30.91021816904833,-8.643277048530322e-06,-5.046080180337266e-06,0.0002118677199624074,-0.00039371926578544395,0.0005954179809879393,-0.0011220917992569546,0.001017682433137043,-0.002026736558295171,0.001375239517322922,-0.0029029208030457326,0.0016005265551284598,-0.0035459107871018076,0.0016726221851138061,-0.0037928452602314575,0.0016158160496981381,-0.0035550168784732445,0.001487529899511817,-0.0028349297574505284,0.0013583477462751153,-0.0017260037996035997,0.0012885779165150006,-0.00039527731456528363,0.0013074944361876047,0.0009481055002138088,0.0014019831102909672,0.0020933409215494977,0.0015195172921164308,0.0028696646386159536,0.001586016512234805,0.003180372635314664,0.0015335506597453903,0.0030212925178528414,0.0013284650302385606,0.0024795167951027998,0.000989522865178892,0.0017132839127225327,0.0005890026964240937,0.000918461674965316,0.0002356529286941116,0.0002891207831938436,4.2485167165452525e-05,-1.3948916470990256e-05
7,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,32.09747215392377,-9.025106123530811e-06,-5.1720275146892005e-06,0.0002777689993615897,-0.0005080628890247529,0.0007737540578475882,-0.0014538394549034072,0.0013196915777892698,-0.002630497549085678,0.0017827197906387692,-0.003772196117800055,0.002075990239858703,-0.004612650271455347,0.002171857729012782,-0.004939851296649353,0.002100119470489397,-0.004637978258707476,0.0019333542215457845,-0.0037094123621310743,0.0017622707428654083,-0.0022743655686105107,0.0016659574106558971,-0.000548733639414183,0.0016845449082081236,0.0011963669415437626,0.0018032416484968382,0.0026868724967529264,0.0019549223029687508,0.0037001223827351722,0.002042815555125246,0.004109558094455003,0.0019770472108281726,0.003909120921410024,0.0017123493461037513,0.00321157174812014,0.001272565053276102,0.002222003663545974,0.0007521328088564735,0.00119408655336015,0.000293181990413336,0.0003791758205405345,4.400297284973059e-05,-1.4685497723909999e-05
8,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,32.87679152406062,-9.296172122732197e-06,-5.227394206616329e-06,0.00034376007884286694,-0.0006227961847510903,0.0009517955264130443,-0.0017876542747022254,0.0016209685617844228,-0.0032394023722816506,0.0021895074177466015,-0.004650891595372218,0.002551625454693734,-0.005693896890735144,0.002672717475845082,-0.006106837852444015,0.00258727845924294,-0.005746326804718074,0.0023821111565469457,-0.004614073829829923,0.002167589700461958,-0.0028564317348036433,0.002041943233193518,-0.0007375359536297373,0.002057197921266155,0.0014098721138419102,0.0021980447416607724,0.0032483708773086545,0.0023834139461198006,0.0045028973912933585,0.002493692540450416,0.005016358433067136,0.002416309764073735,0.004780193912782044,0.0020935607857246836,0.003932342391416979,0.0015539406617906784,0.0027242822746067507,0.000914112999035074,0.0014669813082106725,0.0003498703815991467,0.0004687032896319691,4.4960296044049304e-05,-1.524606112230334e-05
9,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,33.420409953510365,-9.50363610515924e-06,-5.241806902549752e-06,0.00040972716200927744,-0.0007379293388996439,0.0011293608660293444,-0.0021234855985728094,0.0019212464258416288,-0.0038533529314977466,0.002595251263908541,-0.005538910950515352,0.0030270258125279373,-0.006789626294111076,0.003174792357780017,-0.007293923788364496,0.0030769386534853288,-0.0068803843672470165,0.0028335371230771367,-0.005549482017212156,0.0025741268871955856,-0.0034730346525644255,0.002416397586343113,-0.0009627597907366202,0.0024252927297415037,0.001587375109529625,0.0025861657686664955,0.0037765353108923506,0.002804704438040185,0.005276760712495627,0.002938351868453386,0.005899717507936101,0.002851111311373622,0.005633682541927066,0.0024720038703239934,0.004641234875394994,0.0018337068482203464,0.003219733625359721,0.0010751259607865893,0.0017369176269105356,0.00040596969287233904,0.0005575724582704139,4.559718800578288e-05,-1.5704061373143832e-05
10,2.4062507392860804,64430300.32272135,1514.7455736077027,265.29389588963187,2.3211225660609367,0.3672342480366273,0.0995284449158994,0.0070798547062692905,2.4678719364866524,1216.197394062523,5.040577396767215,5.0684366199151,118.87761809163396,1.004709760927227,2.0677898679198004,723.4853439651909,33.81466205736922,-9.671125458943332e-06,-5.2301386768576634e-06,0.00047559770676223827,-0.0008534426542562682,0.0013063114161036096,-0.0024612366844996097,0.0022202967242033185,-0.004472173716695196,0.002999627184569617,-0.006436030858231005,0.003501794442373324,-0.007899619071351366,0.003677663152415411,-0.008500949502919457,0.0035687188007521584,-0.00804010178501846,0.0032873324656482123,-0.006515741991891436,0.0029816689384666887,-0.0041244658832512,0.0027891552706721923,-0.0012248894013606754,0.00278865170130312,0.0017282337273933895,0.0029673669530065707,0.004270639297043538,0.0032184901989189742,0.006020990587879598,0.003376465289279165,0.006758992839785906,0.0032811656639042037,0.006469066887385618,0.0028474937642634732,0.005337865053796346,0.0021118050768332897,0.0037081014712775718,0.0012352222782514985,0.0020037448840228857,0.0004615949011583383,0.0006457051612108603,4.603402933686241e-05,-1.6096288146315103e-05
