时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,1.236441819365357,-1.2733538243878275e-06,-4.894919895618977e-07,-1.8126862016108338e-06,-1.0990693763591204e-05,1.7279932563899368e-06,-2.6803646196694123e-05,5.422231390860967e-06,-4.5545728001952855e-05,8.4990724214188e-06,-6.402628314655152e-05,1.0476675985591819e-05,-7.931905211986394e-05,1.1224721346156897e-05,-8.914696928987258e-05,1.091831072429074e-05,-9.217910275289559e-05,9.94204544858491e-06,-8.817651180349206e-05,8.76497136303899e-06,-7.796373355612383e-05,7.810642302078347e-06,-6.323319658158438e-05,7.349042866247656e-06,-4.6217704953538315e-05,7.435198303756313e-06,-2.92878178072138e-05,7.91080508998173e-06,-1.4544211524334457e-05,8.469774679446595e-06,-3.476903142830109e-06,8.769598016579516e-06,3.2477822151588195e-06,8.55440410971951e-06,5.834519496737994e-06,7.74887863483173e-06,5.232649641854476e-06,6.490148227247014e-06,2.8607290327781512e-06,5.129998495867556e-06,2.296623293914974e-07,1.2700250438348408e-06,-5.002931894120299e-07
3,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,3.1798185645435546,-3.2793882623776817e-06,-1.2578613624198286e-06,-4.287763809204558e-06,-2.960433095737529e-05,5.4390012825438105e-06,-7.267283070772933e-05,1.5621306281352844e-05,-0.00012387413118504856,2.4120687567328572e-05,-0.00017438181673795546,2.959166696891431e-05,-0.000216011003479167,3.166264858691386e-05,-0.0002423506665920265,3.0816685733597236e-05,-0.0002496393025225369,2.8127457350108957e-05,-0.00023720476948797947,2.490906309116774e-05,-0.00020740110007279685,2.234829335571343e-05,-0.00016506258222002862,2.1195695042500272e-05,-0.00011657497359341095,2.158754884817165e-05,-6.872594609886672e-05,2.304770438962444e-05,-2.753516784304249e-05,2.4674336931059914e-05,2.7299042732418174e-06,2.546164710500881e-05,2.0177485841746798e-05,2.4659329958040676e-05,2.5444503679098516e-05,2.205240052162505e-05,2.135587962322418e-05,1.8066070953401235e-05,1.2159973685575555e-05,1.377465673653194e-05,2.479113095184279e-06,3.269870378523321e-06,-1.2888049603488158e-06
4,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,5.044606498218496,-5.210017455190606e-06,-1.9934570341687436e-06,-6.061661354872399e-06,-4.95944823150108e-05,1.0573194620702231e-05,-0.0001225748059514091,2.803396768336276e-05,-0.0002095607184785707,4.263311150404256e-05,-0.00029535995281413334,5.203861924819404e-05,-0.0003657399859208521,5.5595854553141695e-05,-0.0004094868297136643,5.413564674277839e-05,-0.00042000238262411197,4.9522720643866404e-05,-0.00039612317127628955,4.404673046293037e-05,-0.0003420387812736665,3.977586173140344e-05,-0.000266344116451283,3.800790342272917e-05,-0.00018040121951438782,3.894900677596306e-05,-9.62977157939964e-05,4.1711583409201484e-05,-2.4758127481858382e-05,4.464533498796083e-05,2.66242370645974e-05,4.591583836235154e-05,5.4521207585575454e-05,4.415818717571032e-05,6.017164687133857e-05,3.8994757112647214e-05,4.8807633841556385e-05,3.124420079770291e-05,2.8327942437348805e-05,2.293763809575529e-05,7.469215619314473e-06,5.193089187156792e-06,-2.048593747743672e-06
5,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,6.963426232754236,-7.202989366052525e-06,-2.7476265735007997e-06,-6.972563492245844e-06,-7.337463978993974e-05,1.8213648527542846e-05,-0.00018271632105631663,4.4705230283515916e-05,-0.000313325689758139,6.687909422819008e-05,-0.0004420549366124362,8.116683403404639e-05,-0.0005470051376834392,8.655456807330553e-05,-0.000610828295727797,8.431005433104217e-05,-0.0006233001079702864,7.73004859854705e-05,-0.0005826641873535138,6.905720357948907e-05,-0.0004955508994078138,6.277099834010442e-05,-0.00037552007291575846,6.042807567309624e-05,-0.00024050033002077985,6.229519351806888e-05,-0.0001095747072023315,6.690646628474558e-05,3.26360467910196e-07,7.158340154236558e-05,7.724250606422718e-05,7.33592197771423e-05,0.00011601192111137172,7.003518420910449e-05,0.00011879286434117155,6.1030894695802854e-05,9.420431436961391e-05,4.7748062928109776e-05,5.5276423978405915e-05,3.358902764566129e-05,1.660999161579319e-05,7.176294741502869e-06,-2.8347342150609634e-06
6,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,8.893847735190992,-9.215506287963226e-06,-3.501791612244543e-06,-6.4296620552488275e-06,-0.00010239340465573854,2.9617446745884966e-05,-0.00025706746778865995,6.757701637766034e-05,-0.0004421096234600709,9.935783504017086e-05,-0.0006241863354651539,0.00011981952738906792,-0.0007714828426698527,0.00012749214657054264,-0.0008586830637995812,0.00012420813083387198,-0.000870867645953421,0.00011413118002486316,-0.0008055858451494015,0.00010240406861690834,-0.0006727990145612725,9.367688732079361e-05,-0.0004927606535431146,9.082219576147091e-05,-0.00029223131986752163,9.415277510137209e-05,-9.969279463964053e-05,0.0001013842461279201,5.9603591267939325e-05,0.00010840692027788973,0.00016788216494897844,0.000110684912773113,0.00021762769725548034,0.00010487444137915885,0.00021242421149866565,9.014499736848366e-05,0.0001657283873393584,6.876894510765772e-05,9.785610035470291e-05,4.6124938534327804e-05,3.178369910851529e-05,9.175700807501072e-06,-3.6319196259735634e-06
7,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,10.866008362026825,-1.1281067144192237e-05,-4.2640656870503935e-06,-3.3410905423101456e-06,-0.00014085965697946932,4.7659043509527584e-05,-0.0003568504100958269,0.0001013616092604855,-0.0006154179267185635,0.0001462848613368058,-0.0008691080763445563,0.00017515003058187403,-0.0010722862487621667,0.00018587661208490906,-0.0011885248114532042,0.00018108702065301903,-0.0011964116723842781,0.00016674739871500266,-0.0010926828275896582,0.00015024856498057428,-0.0008922200717809331,0.00013828477572945503,-0.0006249956348728636,0.00013496579626528672,-0.0003305361761606374,0.00014063519184894326,-5.087419041578637e-05,0.00015178051178349873,0.00017678578146667186,0.00016216364329620623,0.0003263922476304781,0.0001649216390294776,0.00038723408586553514,0.0001550291871370892,0.0003652533241271434,0.00013133364571208566,0.00028129161927897654,9.74882761763187e-05,0.00016667358917818708,6.189533377753601e-05,5.702615974042003e-05,1.122236119862262e-05,-4.456339787604627e-06
8,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,12.902151438113782,-1.3427705448007187e-05,-5.034435669018463e-06,4.8500561456108285e-06,-0.00019798798088827512,7.88039842504493e-05,-0.0005067051261815046,0.0001565360519397691,-0.0008760762988341188,0.0002214100080799088,-0.001236828368289937,0.00026295184150386717,-0.0015219671413349808,0.0002781932379181748,-0.001677950543512549,0.00027097425354369016,-0.0016735037070598768,0.00025001554197496466,-0.001504423465526489,0.00022616567726141542,-0.001193662977901417,0.0002092957176179132,-0.0007867999314116657,0.00020545670977601695,-0.00034372795253295025,0.00021502768490344788,7.198827701191524e-05,0.00023249892037555735,0.00040424792523437224,0.0002481574605353276,0.0006140695314239282,0.0002513358672392986,0.0006860272408884791,0.00023428272260847871,0.0006303156695762586,0.00019539462944586597,0.00048012903004565524,0.00014071454065947987,0.00028495943564095944,8.369675836421431e-05,0.00010120241992493398,1.3338954814682633e-05,-5.325696764528563e-06
9,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,14.56773462603541,-1.520128564869447e-05,-5.63845376672776e-06,1.924306615119963e-05,-0.0002715985144408459,0.00012341976624287936,-0.0007014247009851508,0.00023257415408350617,-0.0012149434427825162,0.0003233950734881678,-0.0017139648381754573,0.0003813564667328954,-0.0021032776243496737,0.0004023867956525715,-0.0023068579262679172,0.00039188566497846364,-0.002280668793715775,0.00036210720238983966,-0.0020196649879160437,0.0003284007150182577,-0.0015579656169184487,0.0003048621892749225,-0.0009623289781672072,0.00030020696150672354,-0.0003201198332746446,0.0003149412877265617,0.0002761697258421957,0.0003408834688519711,0.00074517717737093,0.00036355677158692447,0.0010308213225704351,0.0003670284344576381,0.0011117678830499106,0.0003397802797085534,0.001004477667975319,0.0002796479200025911,0.0007593536996932649,0.00019609872776785126,0.00045087963803776076,0.00010963563088644244,0.00016382438238069855,1.5072171144973443e-05,-6.062986002719487e-06
10,8.855483678745628,248615447.6270167,5.820766091346741e-11,3446.685409747122,2.1225834732783673,0.16688697380839787,0.18196149953413426,0.012524340611457739,2.1570722415046313,579.3325393215398,9.642736284603789,7.724789934867638,901.109626792275,9.642736284603789,7.724789934867638,901.109626792275,15.624157534370916,-1.6341914996819914e-05,-5.995790600585332e-06,3.5818404999535856e-05,-0.00034448084239216203,0.00017017291481760574,-0.0008952227838652699,0.00031053134919359853,-0.0015523411175892572,0.00042704345322042,-0.0021885998548138146,0.0005012816908841059,-0.002680525613810192,0.0005281049905562634,-0.0029296667364063778,0.0005143704842920535,-0.0028793687527353274,0.00047570649773626583,-0.0025239559048555083,0.0004318652699794149,-0.001908964211276171,0.0004012076843039171,-0.0011225986534107802,0.0003952713569950895,-0.00027995305806036185,0.00041486147670612606,0.0004973349905422536,0.00044919054124826536,0.001102509179975068,0.0004789265117965771,0.0014623934838363945,0.00048267626884827066,0.0015499177266235674,0.00044498543367082333,0.001388134414264623,0.000363105761587361,0.0010450706053934174,0.00025008456220732163,0.0006206176675147879,0.00013370113887836273,0.00022825618638458531,1.6172188696566067e-05,-6.554734307302993e-06
