时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,3.303329360411976,-3.828962254346839e-07,-1.4146977942098782e-07,1.33308011638246e-06,-6.94699580216764e-06,5.410412516360425e-06,-2.1790531004840894e-05,1.0116580374962398e-05,-4.103650683144392e-05,1.4172842062297394e-05,-6.0212213556237526e-05,1.6760546170560152e-05,-7.489970231843112e-05,1.762922600462406e-05,-8.157470285776235e-05,1.7056720557799863e-05,-7.826562547865433e-05,1.568672541449877e-05,-6.490720338827242e-05,1.4290178744625987e-05,-4.332847420187347e-05,1.3508929224263406e-05,-1.6881395081640593e-05,1.3646484358199649e-05,1.0217639673104407e-05,1.456553539521283e-05,3.370831635138013e-05,1.5729577682688972e-05,5.0111396309688376e-05,1.6386127596039344e-05,5.7396677429048326e-05,1.5841818853649607e-05,5.536058387881479e-05,1.3742914064811499e-05,4.563738270822577e-05,1.0265268466891425e-05,3.134139093593069e-05,6.143556298261947e-06,1.641365065500797e-05,2.518353516186497e-06,4.801103114305213e-06,4.165349284731196e-07,-2.6418322403102065e-07
3,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,7.171222881341785,-8.319619359320588e-07,-3.0559567386975594e-07,3.4794330579096037e-06,-1.6917094786246144e-05,1.3518805315025069e-05,-5.3288215350711536e-05,2.51111419151293e-05,-0.00010051782776393686,3.511216952993389e-05,-0.0001475919966350341,4.150220334637429e-05,-0.0001835890891684319,4.365816251290963e-05,-0.00019977637679902095,4.225929986919742e-05,-0.0001912584771410748,3.88906326963037e-05,-0.0001578658448236012,3.545695404112709e-05,-0.0001041328651251441,3.354943622918164e-05,-3.8381085043100204e-05,3.392410449590791e-05,2.8913526959638298e-05,3.6241844454775347e-05,8.715914697907515e-05,3.916642032545485e-05,0.00012770100879077085,4.081809260085605e-05,0.00014548640737047764,3.946070545816249e-05,0.00014000903110846134,3.4205623397724726e-05,0.00011534264841054732,2.5490624258394538e-05,7.925777979853974e-05,1.5156567454246983e-05,4.1604362004502224e-05,6.069216900935406e-06,1.227986094673666e-05,9.036690482183257e-07,-5.759297103911412e-07
4,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,11.517673556386463,-1.3379210165516784e-06,-4.87021768570781e-07,7.041550892750831e-06,-3.173077384094225e-05,2.6104560640241947e-05,-0.0001004257891561398,4.811918131505607e-05,-0.00018976847687130304,6.713016232497539e-05,-0.000278848056364719,7.930009282079726e-05,-0.0003468424218539519,8.343346509049563e-05,-0.0003770597111211863,8.08052723863613e-05,-0.0003601205670383789,7.441855880431215e-05,-0.0002956823473015792,6.789984003663272e-05,-0.00019241501915115699,6.429468510702868e-05,-6.62577197937149e-05,6.50633027599807e-05,6.270332877461402e-05,6.956663525406188e-05,0.00017414304003162586,7.523870013970783e-05,0.0002514415446726183,7.845154348527072e-05,0.0002848902150036782,7.58425727114651e-05,0.00027351721051248367,6.568340748299816e-05,0.00022516468051654755,4.881585334992649e-05,0.0001548053707077212,2.880675958675476e-05,8.145067561849316e-05,1.1221771808461805e-05,2.426568114038801e-05,1.4498322363427344e-06,-9.308780009552669e-07
5,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,16.15757299739882,-1.880595752984576e-06,-6.745523025815547e-07,1.3182906042403218e-05,-5.4896815223419286e-05,4.6585259636057136e-05,-0.0001746313735552743,8.514808157012505e-05,-0.0003305978611405373,0.00011848170374618048,-0.0004861688030041124,0.00013987447345406733,-0.0006047177894063153,0.00014720985524229984,-0.000656802890269737,0.0001426778019994701,-0.0006258334622882502,0.00013150450172751108,-0.000511158652695989,0.00012004843868036893,-0.0003280605564550086,0.00011369718385177829,-0.00010470087855495853,0.00011507834926218201,0.0001233828335077056,0.0001231075315077103,0.0003201900001199584,0.00013324929059933482,0.0004562534246236571,0.0001390331541998102,0.0005143434434934175,0.00013442814447341554,0.0004927310292477214,0.00011631508037868494,0.0004053487127835189,8.618648101254153e-05,0.0002788268915369918,5.043351888322066e-05,0.00014703234174832662,1.904459218846884e-05,4.420540666265147e-05,2.0302315563192986e-06,-1.3189910463015079e-06
6,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,21.27822022958276,-2.485832415508978e-06,-8.657327136865092e-07,2.593464445098549e-05,-9.930228739270099e-05,8.713863904559065e-05,-0.0003177266793818673,0.00015773338743771843,-0.0006027876977291147,0.00021883410229190024,-0.0008873989673103157,0.00025822534960389407,-0.00110416134088413,0.0002719782415763664,-0.001198712790002042,0.00026393560180931226,-0.001140283607787911,0.00024349500428580062,-0.000927489390230342,0.0002222566180507985,-0.0005884019610889141,0.00021022981162640477,-0.00017498335706415675,0.00021248244286726866,0.000247036019138923,0.00022722730314481184,0.0006109349113732081,0.0002461453478903032,0.000861993873435086,0.0002571330703405601,0.0009681390397304182,0.00024877975872544296,0.0009260710037868166,0.00021510935205043736,0.0007616203984228832,0.00015886531452485584,0.0005242859087855581,9.206646635244446e-05,0.0002771331948105626,3.3512992688500906e-05,8.410800985035171e-05,2.6639477680026636e-06,-1.7702991342127133e-06
7,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,24.20603655767263,-2.838925986525681e-06,-9.575607399509255e-07,3.981041273488089e-05,-0.00014555199269987502,0.0001300708177643462,-0.00046741189445020996,0.00023409262639295355,-0.0008881411695308437,0.0003242391910748735,-0.0013088075796424449,0.0003826396180220695,-0.0016296959331427838,0.00040343205452093324,-0.0017701604926922184,0.000392003230507007,-0.0016843428559566377,0.0003618896536780274,-0.001369839803487242,0.00033006512609935914,-0.0008679035795822891,0.0003114703026474069,-0.0002552982202934492,0.0003139864660734014,0.00037061462240889896,0.0003353635782920213,0.0009107860354298518,0.00036344568331461035,0.0012837934316334875,0.0003801423162342482,0.0014417358718573203,0.0003681812689222625,0.0013794420625443894,0.00031838424403404173,0.0011350725298828552,0.00023474121021953005,0.0007820457379792567,0.000135263870025408,0.00041406823940391544,4.8146288956713926e-05,0.00012634835463328655,3.0189299108677127e-06,-2.0532633136777616e-06
8,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,26.026742940217783,-3.064602659286767e-06,-9.999416112116293e-07,5.3957497586887314e-05,-0.000191893469086605,0.00017328678880996923,-0.0006178425905318811,0.00031071943141041547,-0.0011755186630040145,0.000429980724550614,-0.001734100974026514,0.0005076354844102352,-0.002161372323151242,0.0005358447441218661,-0.002350126862891647,0.0005213450941790285,-0.002239099417703713,0.0004815760714440452,-0.0018245532771656778,0.00043876745996614797,-0.0011606584241019974,0.000412890514323142,-0.00034882464411308635,0.0004149186413180735,0.00048195778937858396,0.0004424414285841118,0.0012001469709349351,0.00047961925818102656,0.0016973214857948545,0.0005023024821239084,0.0019094075245762077,0.0004871272423610311,0.0018290510963851821,0.0004214833580184826,0.0015065192264576911,0.00031051443972437834,0.0010390281982313736,0.00017829302436946632,0.0005509054340687751,6.25450220815845e-05,0.00016871464058921368,3.2337820029037926e-06,-2.249890051739743e-06
9,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,27.258791315914277,-3.2227266603218363e-06,-1.0160303287659446e-06,6.822770679267847e-05,-0.00023830296356593477,0.00021656839358530304,-0.0007688767780773084,0.0003873249263500321,-0.0014646652833702747,0.0005357138677368876,-0.002162986680010163,0.0006328389639483808,-0.002698996465032941,0.0006688448111595096,-0.0029386889665603305,0.000651617954157433,-0.0028050771166604578,0.0006022484552877313,-0.0022927416915107953,0.0005480825265082877,-0.0014684387722247504,0.0005142038641492304,-0.00045797341392479415,0.0005149533288229647,0.0005781409331357512,0.000548077395046484,0.0014757934625514073,0.0005942342880341219,0.0020993231656680914,0.0006231727852988949,0.0023681447640487093,0.0006052253682308172,0.0022723682851018057,0.0005241183539988836,0.0018740597987945756,0.00038603374401070833,0.0012940010395064406,0.00022113730798870485,0.0006870038113905574,7.678706221483042e-05,0.00021098016752456672,3.374406463937384e-06,-2.4004131042744137e-06
10,1.0935225585556019,19564233.218621317,-457.0170214920381,24.079066381102713,1.573622434726412,0.13482813296023524,0.03986089630028855,0.003920296140910749,1.603906802267842,1445.7417505900346,9.667848792143717,8.606676039703013,520.218278614912,8.813850942739178,4.93697148809548,827.7634225561907,28.14189482456989,-3.3409894785001704e-06,-1.0165361102308866e-06,8.255209804387615e-05,-0.0002847682419778023,0.0002598138139103154,-0.0009204494468584924,0.00046377268404636446,-0.0017554730258822874,0.0006412721468850702,-0.0025953561386818503,0.0007580651948671145,-0.0032425261077181915,0.0008022463188682382,-0.003535948312621294,0.000782652276247311,-0.0033825933414860275,0.000723763376094272,-0.002774990031572169,0.0006578890110681949,-0.0017921158201499468,0.0006152940816505551,-0.0005838786360927851,0.0006139574949061622,0.0006578340371947332,0.0006521075336616748,0.0017363019319133048,0.0007070990204739985,0.0024884009711515017,0.0007425550465665777,0.002816690384120804,0.0007223023488743246,0.002708364771486717,0.0006261687539936207,0.0022369413722802822,0.0004612444735908787,0.0015464882776195408,0.0002638013513161331,0.0008221206148141472,9.091363241674944e-05,0.0002530579604969563,3.471280963483839e-06,-2.523461201108587e-06
