时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,4.690218905591799,-2.982526096818927e-07,-9.144319401869616e-08,1.1119362284981416e-06,-6.161433153086778e-06,4.488135610928333e-06,-1.924496366197771e-05,8.358311523319773e-06,-3.613475646868632e-05,1.1681761676801416e-05,-5.291828025999126e-05,1.3794815070851356e-05,-6.574349398409481e-05,1.4498264006748733e-05,-7.154382028510783e-05,1.402229042375664e-05,-6.860784368464368e-05,1.2893888269027909e-05,-5.6884545246925266e-05,1.1743500373475546e-05,-3.7971791297188106e-05,1.1097180315481512e-05,-1.4793504058994755e-05,1.1205983535848822e-05,8.972037792712797e-06,1.1961028910352519e-05,2.960459552982378e-05,1.2925398265996278e-05,4.405888015451682e-05,1.3482053289243106e-05,5.0546424708005174e-05,1.3058209443571359e-05,4.886707126831235e-05,1.1355901189607484e-05,4.042381620944656e-05,8.510001434430174e-06,2.7917761614659256e-05,5.115143357068935e-06,1.4785268804021967e-05,2.1072546664375364e-06,4.486352765459048e-06,2.960311840703774e-07,-9.79162605997659e-08
3,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,10.305965740341234,-6.558019913998838e-07,-2.0005479921127753e-07,2.878970330891248e-06,-1.4992677439466438e-05,1.1171269615865863e-05,-4.699651810191494e-05,2.0681874334111863e-05,-8.836858674766919e-05,2.8856335526464637e-05,-0.0001294958333921941,3.406134896628975e-05,-0.00016088112507523905,3.580273601228373e-05,-0.00017494816559632712,3.464211569687762e-05,-0.00016746068510509302,3.187376772533164e-05,-0.00013828575030817882,2.9050927493819362e-05,-9.137133150218448e-05,2.7473761720182087e-05,-3.395150434638545e-05,2.776572406260385e-05,2.4866542836047636e-05,2.9659195329253943e-05,7.586627067908655e-05,3.207036303340252e-05,0.00011149913503589068,3.346415390068533e-05,0.00012732932571150456,3.2412344167564416e-05,0.00012285927466277715,2.816957353015808e-05,0.00010157107609453416,2.106973944288733e-05,7.017586158709015e-05,1.2595822732737756e-05,3.7225171959051e-05,5.0870532146877246e-06,1.135550840693647e-05,6.503056852177017e-07,-2.160814057667381e-07
4,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,16.480107939588567,-1.0496542126731701e-06,-3.1785104172215464e-07,5.6212721207831205e-06,-2.7372520598499214e-05,2.0915955495913187e-05,-8.614221044527121e-05,3.846395231980069e-05,-0.00016222524157533442,5.356064892363995e-05,-0.0002378870597552383,6.31904614412165e-05,-0.0002955425533146808,6.643251120347463e-05,-0.0003211312727352461,6.431226325917289e-05,-0.00030677408512578544,5.9212615275456074e-05,-0.0002522085888935242,5.4005609614304446e-05,-0.00016476048211221423,5.11067329586174e-05,-5.787524680487304e-05,5.168366745353371e-05,5.1504509709552946e-05,5.524680038350421e-05,0.00014621991933679588,5.97776075100255e-05,0.00021220784912442893,6.2404008944758e-05,0.0002411982747240842,6.044527892479593e-05,0.0002322609517342841,5.249677230855781e-05,0.00019189230220706085,3.9179795501716826e-05,0.00013262758049992806,2.3277615597938725e-05,7.04655149053092e-05,9.188752843743936e-06,2.1612389169566096e-05,1.0394372410673595e-06,-3.476648871486593e-07
5,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,23.129600102627144,-1.4751490405977165e-06,-4.416644741525503e-07,1.0079056287512587e-05,-4.5736743329892577e-05,3.590998301321639e-05,-0.00014455053307895225,6.554859701113603e-05,-0.0002726648842096594,9.107134413704775e-05,-0.00040012639139507157,0.00010738900002826471,-0.0004971211173195135,0.00011292992550956356,-0.000539751894864214,0.00010939791720920851,-0.0005145923697550828,0.00010079659195244822,-0.0004211605279503266,9.198185966918008e-05,-0.00027189545900348233,8.706809526630996e-05,-8.967719046330762e-05,8.807237944784603e-05,9.662830045120799e-05,9.418962966658412e-05,0.0002577576673998809,0.00010198328011461135,0.00036970508660977394,0.0001065264337316049,0.00041833924582842304,0.00010319828334048136,0.00040206171566912476,8.956422422462644e-05,0.00033197373136993445,6.668215279180914e-05,0.00022952508466318156,3.934458439005437e-05,0.0001221362569173152,1.513579847891358e-05,3.7662722843955454e-05,1.4577569296307903e-06,-4.924573747464211e-07
6,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,31.351981952844017,-2.004786538129744e-06,-5.862747582479791e-07,1.97559068733894e-05,-8.240965458970315e-05,6.687587736867177e-05,-0.00026186162536618305,0.00012091899533795509,-0.0004949748968638628,0.00016751870939745486,-0.0007271108057490495,0.00019743560906932767,-0.0009036314221982689,0.00020776260413656465,-0.000980596358310382,0.00020149653019339256,-0.0009332129888457749,0.00018583031884605674,-0.0007604587685862133,0.00016959851792793497,-0.00048510401125947164,0.00016040484991990884,-0.00014920357819731353,0.00016209730772617922,0.00019406865477959712,0.00017333251914806397,0.000490709113331148,0.000187821856807318,0.0006963379328283428,0.00019639558070735734,0.0007847697747594086,0.00019036751195693465,0.0007529796550439595,0.0001651103608689184,0.0006214586682687087,0.00012255792546139176,0.0004299076581665147,7.167415292432818e-05,0.0002291829365072392,2.665821533533414e-05,7.111168129031539e-05,1.9727789401412764e-06,-6.798489525250181e-07
7,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,36.80956585872487,-2.361009769281028e-06,-6.708106751521868e-07,3.176703520638661e-05,-0.00012556572799713603,0.00010406694910981998,-0.0004005368321534388,0.00018693740548520347,-0.0007583487898634525,0.0002584898372483332,-0.0011151564266112413,0.00030465072944648933,-0.001386818452574424,0.0003209011669750775,-0.001505470100409715,0.0003116233159261692,-0.001432637032509372,0.0002876116866435653,-0.001166449265033804,0.00026232875832407415,-0.0007417635220246838,0.00024758830847939044,-0.0002232946301182326,0.00024961114500064187,0.0003069183877010193,0.0002666265184431023,0.0007653755758954446,0.00028905573042724617,0.0010833003602465897,0.0003026203160491221,0.0012199685409902247,0.0002936262242829566,0.0011704787062759797,0.0002546759072573852,0.0009663714765269183,0.00018869417817547095,0.0006690110654034314,0.00010968216387839475,0.0003571610182291897,3.983363893004558e-05,0.00011127875628711324,2.311641191376463e-06,-8.152477940731041e-07
8,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,40.1635084091475,-2.584204473256515e-06,-7.125686620473437e-07,4.409941663932101e-05,-0.00016884436371618244,0.00014163669711861562,-0.0005400427519615037,0.0002533738459670554,-0.0010238530710836935,0.0003499822777852866,-0.0015071339862985837,0.00041262185179329416,-0.0018760199879495755,0.0004351211466811061,-0.0020384289396485006,0.0004230877197283066,-0.0019418952000385815,0.0003907281075137848,-0.0015834245697178132,0.00035604495467435923,-0.0010097623080087186,0.0003351548354333508,-0.00030820705379223045,0.00033688918036763456,0.00041026269977232873,0.0003592999598658974,0.0010324297571153197,0.0003896362079484036,0.0014648017000623626,0.000408435477206242,0.0016517791530452231,0.0003967891810083098,0.001586311418458982,0.0003443298479614624,0.0013108273342068738,0.0002548994829944556,0.0009083143118382024,0.00014761047618223457,0.0004855143803500822,5.279311893868863e-05,0.00015169007206705925,2.5174049146243514e-06,-9.081051044806294e-07
9,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,42.41477616737981,-2.7378236574216373e-06,-7.319068976986971e-07,5.6579159160344594e-05,-0.0002121960955016304,0.00017932269117925206,-0.000680141457118295,0.0003198730387800989,-0.001291040999942761,0.00044156584133471093,-0.001902464366639976,0.0005208775114989771,-0.0023706919678467705,0.0005499487973076821,-0.002579194453462694,0.0005354448722396142,-0.002461224246557098,0.0004947750258277834,-0.0020123529477995097,0.0004503693859005528,-0.001290932887518932,0.00042272044479383996,-0.00040664836983271075,0.000423503728936978,0.000500646878488371,0.0004508592966389736,0.001287924319325491,0.0004890122060002318,0.001836743610061642,0.0005132746915190474,0.002076321543973491,0.0004993402639991645,0.0019971466129444196,0.00043367420317498996,0.0016522757011384994,0.0003209404886483683,0.0011461372614522101,0.00018539691035514896,0.0006133635387581222,6.560492677256028e-05,0.00019204988488250117,2.6535955281539632e-06,-9.785611748373291e-07
10,0.18969451611488491,10473208.046138523,101.05685663066606,4.053096508509048,0.9258805083141461,0.07436550602568587,0.02906260417725844,0.002228628532149731,0.941570402828856,1513.5584304677902,10.0,10.0,1000.0,10.0,10.0,1000.0,44.02009788969085,-2.8508379836054716e-06,-7.381117263026273e-07,6.912917008836858e-05,-0.00025560617421297414,0.0002170126298603912,-0.000820755806017084,0.0003862856737540252,-0.0015597795259740315,0.0005330601019867117,-0.002301002972395134,0.0006292191885223093,-0.0028707531946321266,0.00066518516423825,-0.0031278399081198474,0.0006485118923846237,-0.002990940790517991,0.0005995936982949602,-0.0024538623146934586,0.0005451622423039819,-0.0015862448915211953,0.0005101471304806445,-0.0005199111188874281,0.0005092977352543084,0.0005765266927583112,0.0005411154272074903,0.0015301786938077232,0.000586966308488199,0.002197449435593681,0.0006169137968348896,0.0024920627186381435,0.0006010804567920926,0.0024017091707689174,0.0005225648681965807,0.001989768581181516,0.0003867440598046404,0.0013818722880635237,0.0002230357055318681,0.0007403976000750491,7.830897244427232e-05,0.00023225348326997848,2.749209202089401e-06,-1.0358259909498252e-06
