时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,5.403274140506944,-4.112217256290579e-06,-8.381320508166487e-06,9.87369012636458e-07,-2.7140579093486208e-05,1.6416504997917903e-05,-6.0960465990253436e-05,3.419667965808021e-05,-0.00010401302587936921,4.968982680867073e-05,-0.0001473018883965627,5.9778246667562924e-05,-0.00018185501736092926,6.338780302424594e-05,-0.0002003714363603199,6.14252956825539e-05,-0.00019855423449048094,5.622227209375859e-05,-0.00017584542720602096,5.065522190406859e-05,-0.000135459001757249,4.718047443521602e-05,-8.371004877168332e-05,4.704937285272509e-05,-2.8767633098838458e-05,4.993041882969295e-05,2.093563186208137e-05,5.405823603065793e-05,5.832835521758263e-05,5.687405775238667e-05,7.903306314081181e-05,5.596459221534088e-05,8.21334924185453e-05,5.00007608667721e-05,7.022467328347275e-05,3.936145031107862e-05,4.873990106260373e-05,2.6223611040184528e-05,2.4717541921985785e-05,1.407979835327386e-05,5.218539099671757e-06,4.090465112137026e-06,-2.5437797025495532e-06
3,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,12.418186498633675,-9.484041455271312e-06,-1.923981754568013e-05,8.003846382629994e-06,-7.257692476316423e-05,5.4336629830374516e-05,-0.00017162449690742018,0.00010775827936260203,-0.0002983131310380803,0.00015436628340041185,-0.00042559176184156554,0.0001847355989378385,-0.0005261369359706367,0.00019558911191319068,-0.0005775892607827243,0.00018967463551531084,-0.0005667868452932741,0.00017410852368541095,-0.000492133973024708,0.00015769408969798385,-0.000363762288364034,0.00014794145249663376,-0.00020147606167140008,0.00014861309417282773,-3.087034006880074e-05,0.00015851890429622773,0.00012165438782954787,0.0001719637007623187,0.00023401060512553761,0.00018076210885877993,0.0002926388269803307,0.00017722407208840132,0.0002949461780564703,0.00015716239078348684,0.00024948139687698746,0.00012191274075517842,0.0001738371606651369,7.865817480074683e-05,9.079148527250675e-05,3.8912777852861044e-05,2.3397984402815867e-05,9.389742675598242e-06,-5.877638704708882e-06
4,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,19.78917220550249,-1.5217631563876568e-05,-3.055021126960835e-05,3.438720625626964e-05,-0.00015413756182598397,0.00014868362792996,-0.00039167681053538163,0.0002801185901769252,-0.0006964930924482996,0.00039469335622162397,-0.0010018142263016638,0.0004692805648718237,-0.0012395203825554834,0.000495811113108124,-0.0013536966641031249,0.0004810864823022613,-0.0013115642493993637,0.00044280192603405325,-0.0011096631251604635,0.0004029568984485772,-0.0007743739426134105,0.0003803831631004654,-0.00035675520768874516,0.00038443862630733983,7.735550070347245e-05,0.0004117771954971351,0.0004601634530846559,0.00044736842259114856,0.0007351739246205822,0.000469683170760457,0.0008681627025106149,0.00045855162372288386,0.0008535276484642336,0.0004031692465469132,0.0007147080551710457,0.00030750564370117647,0.0004986834928693353,0.0001911674015730142,0.00026591420774087286,8.527790403302519e-05,7.772080008176364e-05,1.49097495668172e-05,-9.47387779107931e-06
5,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,24.13216459141208,-1.8731260029287264e-05,-3.703047150728316e-05,8.16550964380083e-05,-0.0002588506287544145,0.0002946955962066468,-0.0006948289308367307,0.0005387758855719792,-0.0012549424892137552,0.000751239144094325,-0.0018145324751617019,0.0008895625925608151,-0.002245969555171378,0.0009388468701408096,-0.0024445402148119267,0.0009114973183200528,-0.0023491938394131005,0.0008401514581444397,-0.001954259582377488,0.0007657832984442391,-0.0013104532090638852,0.0007238883643349354,-0.0005151744909143837,0.000732422095955913,0.0003061907125565856,0.0007852238424285232,0.0010246518336651563,0.0008535118981754271,0.001533005080993194,0.000895654754735778,0.0017669513503752758,0.0008724927907424112,0.0017172949789617624,0.0007631796518681584,0.0014305785045371328,0.0005759082864105832,0.0009982569086930142,0.0003494907904529074,0.0005371968511956403,0.00014491290232570328,0.00016561673747478542,1.807637799373203e-05,-1.1737764673421879e-05
6,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,26.18481223359473,-2.051137178269101e-05,-3.9922676809413745e-05,0.0001323636178968931,-0.0003593560392361856,0.00044432108297401434,-0.0009945665918299194,0.0008008536619773219,-0.0018113682295623087,0.0011110783881275105,-0.0026268090147020706,0.001313487116022907,-0.003253320640689614,0.0013863118085714941,-0.0035371272688692517,0.001347016916412862,-0.003388814369495778,0.0012424838285975447,-0.0028004893922000253,0.0011323159335080175,-0.0018472105924130424,0.001068975723936317,-0.0006727864420567207,0.0010798296962693233,0.0005376227810218525,0.0011567331040716977,0.0015934208074684399,0.0012574820090940407,0.002336238495423579,0.0013199864073973693,0.0026714371880692572,0.0012853380329609341,0.0025863089100865897,0.0011220338686572767,0.002150851844982884,0.0008424373316573743,0.001501367569749194,0.0005050650982532025,0.0008112983579279811,0.00020138344571510251,0.0002557413132034434,1.949739094270235e-05,-1.2932935743989892e-05
7,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,27.369079400588042,-2.163556723986918e-05,-4.145209079364752e-05,0.00018435918323780182,-0.0004585665630420618,0.0005951309718217895,-0.0012943102848655048,0.0010638125592425112,-0.002370150669664872,0.0014717482483691433,-0.0034445811540102524,0.0017388232752926338,-0.004269723078387652,0.0018362889501724118,-0.004642413998190808,0.0017860189966863124,-0.004444597802735227,0.0016483276800331485,-0.0036658474693863565,0.0015010194709153472,-0.0024051786511095734,0.0014138132594069513,-0.0008524400539118406,0.0014243813878769688,0.0007476102240059644,0.001523594146141519,0.002142633935316357,0.0016563618145208619,0.003122702138157962,0.0017399504451468247,0.0035623886346059495,0.0016950063522377964,0.0034451543382688584,0.0014786699143274791,0.0028642660062183876,0.001107200343354231,0.002000666300515574,0.0006590211865532795,0.001084043286668298,0.0002564311267272794,0.0003460317050046661,2.0258753250566137e-05,-1.3720942161087314e-05
8,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,28.13277991730907,-2.2443619308965586e-05,-4.232025140538301e-05,0.00023693375731964852,-0.0005573513817346905,0.0007462876369682714,-0.0015950261200197045,0.0013267404202767584,-0.0029325327334849194,0.0018323333980613447,-0.004269623313832139,0.0021647220361268537,-0.005297755094531726,0.002288047160211034,-0.0057640077752923,0.0022279073191210593,-0.005521306337061499,0.002057192146260832,-0.004556243086364359,0.0018714345941341502,-0.0029912549912771294,0.001757878422124268,-0.001061709188969513,0.0017654177501493363,0.0009283449601750293,0.0018850024761711463,0.0026647600535637363,0.0020492806644333977,0.0038856300175154047,0.002154758325661443,0.004434175856150979,0.002100955897544115,0.004289527108575811,0.0018329079718887766,0.003567832359436415,0.00137039587580029,0.0024942943658635983,0.0008118424831728615,0.0013543998579034653,0.00031066067319714363,0.0004359433805926576,2.0702711094272677e-05,-1.431050007749623e-05
9,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,28.659588962775928,-2.3074926159689854e-05,-4.2815169672354504e-05,0.00028977425851169336,-0.0006560298488759905,0.0008973812620608157,-0.0018970076333010679,0.0015891407318388614,-0.003498855873965137,0.0021922794426209556,-0.005102453894729148,0.0025906153355842827,-0.0063382616332481306,0.0027410556554077355,-0.006903209895080905,0.0026722290709508393,-0.00662077739336344,0.0024687135932088006,-0.005474064121720802,0.002243258166734598,-0.0036083193632708986,0.0021008684834136833,-0.0013038291181849948,0.002102573989940956,0.001076444529521773,0.0022405036430482527,0.0031565202131325996,0.002435725224806346,0.004622087263869429,0.00256392027028055,0.00528438401110106,0.002502819728930454,0.005117611677991607,0.0021845755147270897,0.004260315850980432,0.0016320572901459124,0.0029815008900737484,0.0009637150390222933,0.0016219595390435616,0.00036432106567714365,0.0005252603842933562,2.0969738194567968e-05,-1.4787258458676982e-05
10,9.437022730422242,241384359.30087924,-13386.20288483135,4234.651783491594,2.6260703751107304,0.3962036156257112,0.09246461505089096,0.015051547761263379,2.7777323018486166,663.1871463721096,7.200286179436279,2.1215589643620385,782.5692836967456,7.1291218781120405,7.0250279237873166,683.664431371415,29.03927088335605,-2.3597578607758343e-05,-4.307775310132678e-05,0.00034271162603409755,-0.0007547295123400178,0.001048162534606902,-0.0022003127244886395,0.001850675310869837,-0.004069132838432179,0.0025511674191172297,-0.0059431107945497295,0.0030160326200226366,-0.0073913997746061985,0.0031948398275744305,-0.008060386003970818,0.0031185566930276945,-0.007743649663798223,0.00288254405196391,-0.006420253781477672,0.0026162178388488507,-0.00425761357133099,0.002442544993665004,-0.0015802887819455138,0.0024355870691821105,0.001190274906847747,0.0025897692928698143,0.003616275248564914,0.002815306357243511,0.00533057364546954,0.0029670383777202457,0.0061117613156988475,0.0029002661198561023,0.005928457181068546,0.002533468348323886,0.004941062727155439,0.0018921267968729093,0.0034618837552823716,0.001114696953150405,0.0018865026557275625,0.00041752596539480834,0.0006138701108144922,2.1128530192876553e-05,-1.5193063391844622e-05
