时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,15.347012083470487,-5.670629923552897e-07,-2.2794863127762191e-07,3.8068309992925703e-06,-1.1140784789453167e-05,1.3473861546731248e-05,-3.431640388267392e-05,2.4594284281549763e-05,-6.424149071012817e-05,3.418262428552956e-05,-9.389284519831567e-05,4.027846110360744e-05,-0.00011624936051728774,4.227258015982664e-05,-0.00012567724986983113,4.084772221383131e-05,-0.00011903187285092657,3.758876637271546e-05,-9.625398722395845e-05,3.4383123821490685e-05,-6.036628723539517e-05,3.277383872720015e-05,-1.6876211742247863e-05,3.34428670080883e-05,2.7299134506720124e-05,3.597651386912445e-05,6.518272734978485e-05,3.89952668570707e-05,9.110068370280899e-05,4.062565066859279e-05,0.00010178681959380425,3.9180514774920425e-05,9.700246408350285e-05,3.3835591581762625e-05,7.954460325507215e-05,2.5075241172981992e-05,5.4639380702362026e-05,1.4746550159943917e-05,2.885437508760783e-05,5.6784239475419286e-06,8.735586546249398e-06,5.570541731861553e-07,-2.467368523302244e-07
3,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,33.433862038414354,-1.2382611742267095e-06,-4.914448285370758e-07,1.0865286156283592e-05,-2.9696374294625355e-05,3.704323032080799e-05,-9.217152237122304e-05,6.718103907587053e-05,-0.0001730012036197895,9.319876301487506e-05,-0.0002531503778151847,0.00010977177054657701,-0.0003135064186577056,0.00011522671413319118,-0.0003386938200158642,0.0001113936186919592,-0.00032010733843562564,0.00010256258501859733,-0.0002575625937290889,9.386546446371846e-05,-0.0001593022504370597,8.951655554299811e-05,-4.037474508443363e-05,9.13928025631918e-05,8.030083220348566e-05,9.837454574373746e-05,0.00018362988032467097,0.00010668425467020333,0.00025408148867112626,0.0001111736286560095,0.00028272274702154007,0.00010719662695128953,0.00026892272276084065,9.248035495327408e-05,0.00022037494153275252,6.836042019290233e-05,0.00015143471451344433,3.993102211528289e-05,8.013913863112989e-05,1.499196337914297e-05,2.4487521977893527e-05,1.2109848795947527e-06,-5.427372237988364e-07
4,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,55.770057097390115,-2.0762474546944286e-06,-8.002225322211502e-07,2.7857484209411774e-05,-7.010296190008994e-05,9.083933485494506e-05,-0.00021971275749019866,0.00016338892211371708,-0.0004137612061050424,0.0002261248109045238,-0.000606405052519426,0.0002662272710561759,-0.0007513659048913109,0.0002795931073151077,-0.0008112892519625897,0.00027051494242977996,-0.0007651835554438076,0.00024924202885873945,-0.0006124968276164303,0.00022814904239211548,-0.0003731839720914019,0.00021750718003689024,-8.380821130143748e-05,0.00022199496892462154,0.0002095765590652243,0.0002389981455004717,0.00046042993479693587,0.0002593425317321147,0.000630873081818721,0.0002704026538301769,0.0006991337710138967,0.0002607213336512168,0.000663731924099518,0.00022466733869713667,0.0005435292977658258,0.00016552028049181142,0.00037365125545376515,9.583508141050803e-05,0.00019819791830090401,3.480374134051544e-05,6.120547466009048e-05,2.0101733765713583e-06,-9.247470664448539e-07
5,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,72.92319315350424,-2.7389693916068093e-06,-1.0018212390704805e-06,5.8507202014040865e-05,-0.00013847572558532757,0.0001845618132091329,-0.00043751542022231655,0.00032977598521099274,-0.0008263655056802191,0.0004555969481792561,-0.0012131511263952378,0.0005364706543071083,-0.0015046913114684442,0.0005640104417774803,-0.0016255314026688374,0.0005464002962688308,-0.0015330497300566467,0.000503760268595803,-0.0012257723635185776,0.0004607654795864467,-0.0007436060575203697,0.00043829787244012116,-0.00016009163095635567,0.0004462986748534638,0.00043186364587386117,0.00048000782322204035,0.0009381514710715079,0.0005211110556876516,0.0012820330552744158,0.0005439027509180108,0.0014193292571614306,0.0005247895034679719,0.0013469829694443916,0.00045202777409426376,0.0011031521083994691,0.00033220598279968486,0.0007588879103484649,0.0001909757770893295,0.0004033375055320557,6.747848200662029e-05,0.00012554507692560382,2.6061671542217843e-06,-1.2525442914559872e-06
6,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,81.17969667657201,-3.07633909260653e-06,-1.064901775794408e-06,8.998888987864199e-05,-0.00020707216810962096,0.0002794069051779961,-0.0006571640392210067,0.0004976001694918278,-0.0012436363446251444,0.0006869989988298419,-0.0018282450692482415,0.0008094215898347337,-0.0022703424292709207,0.0008520433325431858,-0.002455762856812645,0.0008265200292665435,-0.0023197048198730897,0.0007623959520264827,-0.001859340098483059,0.0006964914798563772,-0.001134261923110611,0.0006606010226101521,-0.0002549596507598823,0.0006705627729519573,0.0006385425601060792,0.0007200854661267059,0.0014040355954163563,0.000781954617160519,0.00192525614552121,0.0008171275632499781,0.0021350259337257066,0.0007893127035861895,0.0020283502399558615,0.000680157432445203,0.0016625830910065754,0.0004994217691445909,0.0011447805942474624,0.0002861021145918462,0.0006093030420539182,9.968602460499567e-05,0.00019045027840062687,2.876442434562259e-06,-1.442647082693363e-06
7,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,85.9893424920155,-3.2878096241118755e-06,-1.0742724754986843e-06,0.00012173248826476879,-0.0002758090953434318,0.0003744443777082126,-0.0008779936454897539,0.0006655262358901101,-0.0016641704337230414,0.0009186496067716572,-0.0024496439807384597,0.0010831907559920957,-0.0030460053046554797,0.001141763519175694,-0.003299981817084294,0.001109046976559355,-0.0031241468111533528,0.001023483213200376,-0.002513844721132848,0.0009337823704945467,-0.001547897943043554,0.0008828745001394395,-0.0003733991837735183,0.0008931096977093639,0.0008226252808657004,0.0009573346258313012,0.001849687070429927,0.001039785259762786,0.0025515794415477033,0.001087948293202499,0.0028376126142118326,0.0010523562348841962,0.002700392895134785,0.0009075579911010233,0.0022161147367474147,0.0006662680469745047,0.001527562733910301,0.00038092966473422265,0.000814097243750924,0.00013160704027692,0.00025519592127040957,3.0208590743293266e-06,-1.5790445406164528e-06
8,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,89.11572856356045,-3.4379631239442864e-06,-1.0573477013682075e-06,0.00015356995572218514,-0.00034469538984245,0.0004694223692232502,-0.0010999134705891647,0.0008332052308050105,-0.002087767700980932,0.0011501114141015997,-0.0030770861600617067,0.0013572846565536871,-0.0038314575185513034,0.0014326697047150432,-0.0041581407265134564,0.0013935188927260112,-0.003946647062742788,0.0012866233136621325,-0.003189999188009484,0.0011722918906635032,-0.001985739045033773,0.0011047819796986594,-0.0005171380023596422,0.0011135610318795397,0.0009819823005116264,0.0011913033821871872,0.0022727551102085046,0.0012940885738419068,0.0031586532219132243,0.0013558423896875328,0.003524955959078288,0.001313466275605038,0.0033613589985695617,0.00113391191317271,0.002762464087114954,0.0008325941527208131,0.0019064211927789356,0.000475457202442207,0.0010172993080226392,0.00016333401379685193,0.0003196215025217569,3.1040789589879358e-06,-1.688989339554339e-06
9,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,91.29279003187636,-3.553676827529193e-06,-1.0255440443757456e-06,0.00018542784427928282,-0.00041372806915610953,0.0005642232845839015,-0.0013228669586219464,0.0010004623958836244,-0.0025143152226265956,0.0013811504073869111,-0.0037104285344081002,0.0016314250406348325,-0.004626575621250627,0.0017244706316084893,-0.005030197463440686,0.0016796678176499785,-0.004787306379925762,0.0015515958988562976,-0.0038880981337698736,0.0014118461467682105,-0.0024483025382789595,0.0013261687409801015,-0.0006869102770357987,0.001331742508724333,0.0011157106981754985,0.0014217706967111863,0.0026722525506804626,0.001544598616328787,0.0037455065610079077,0.0016205314132948024,0.004196192178869055,0.0015723995382985899,0.004010554348389709,0.0013590511877416172,0.0033011331059045195,0.000998322152465797,0.00228104601150947,0.0005696823088676314,0.0012187509435857846,0.00019490686098932674,0.0003836660850989962,3.1530157992433504e-06,-1.7838288396888274e-06
10,0.09155437031206318,6385642.816831209,0.0,1.3938505684755598,0.6910035469078575,0.08740668071610622,0.02311473096732231,0.0015952853622426615,0.7194470323526119,1539.9018065315222,8.360392164290504,9.964718678817093,828.2355937531981,8.360392164290504,9.964718678817093,828.2355937531981,92.8796097540107,-3.648096204766542e-06,-9.844581062500906e-07,0.00021726503726887328,-0.0004828951240862962,0.0006587716631189576,-0.0015467933162822787,0.001167173589385583,-0.0029436972716435023,0.001611587567865602,-0.004349516407919112,0.0019053877156353593,-0.005431199166108134,0.002016923790699333,-0.005916027119243018,0.001967267683426367,-0.005646076762512326,0.0018182177003972177,-0.004608206606011535,0.0016523083471590482,-0.0029357912977167806,0.0015469225920878818,-0.0008830608500413931,0.0015475311484329922,0.001223347825525595,0.0016485748925284542,0.003047649302209164,0.0017911118493710975,0.004311604521624568,0.0018817943369257805,0.004850838108656998,0.0018289566225193807,0.004647585883118787,0.0015828319811162978,0.003831835877261942,0.0011633770013125364,0.0026512564024851384,0.0006635879764830216,0.001418358854683365,0.00022634138076131483,0.000447294773985293,3.180843237515969e-06,-1.8691098781203986e-06
