时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,16.36142917808368,-0.00013269841100307006,-4.2550294615922733e-05,-8.291450440561152e-05,-0.00013026168011920212,4.8852427260882875e-06,-0.00022441020448681623,9.400661657586223e-05,-0.0003295113580150796,0.0001693008824800239,-0.00042994318783416127,0.00022065100194992312,-0.000511025435446097,0.00024459704724651355,-0.000560785203630997,0.0002444291671765863,-0.0005715901446701688,0.0002289157965134868,-0.000541242283682384,0.00020975493612667695,-0.00047359941756624433,0.0001980257332307314,-0.0003783961667004863,0.00020053461022942438,-0.0002697665917552082,0.0002175810956872317,-0.00016339344370494514,0.00024329337011774697,-7.317939550564553e-05,0.0002682168994104424,-8.685028470368096e-06,0.0002827936958073669,2.607965390305483e-05,0.00028046889910773545,3.2661655994303465e-05,0.0002596933101976229,1.7277186245028576e-05,0.000224528554585706,-1.0651929263364425e-05,0.00018385117584811158,-4.069744463899044e-05,0.00013248695403157197,-4.2610064056675634e-05
3,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,34.23316104600035,-0.0002789574730056523,-8.929006489724842e-05,-0.000116329687226796,-0.0003254926572387348,0.00014331820200574782,-0.0005973959474393984,0.00040531674156537965,-0.0008998552455880849,0.0006233278288652785,-0.0011842306013910824,0.0007666742339781558,-0.0014043797831318973,0.0008256998708680866,-0.0015231165637993153,0.0008121801023457975,-0.00151776266369111,0.0007551019720942537,-0.0013838638907097609,0.0006920545547175153,-0.0011371068267188643,0.0006573333004673474,-0.0008122911292430912,0.0006700444390516803,-0.00045776710116712165,0.0007274330714681205,-0.0001254294885755534,0.0008069707854012534,0.00014040795020131517,0.000875659472649513,0.00031110604007124646,0.0009018020581043408,0.00037709708563187595,0.0008651633450575688,0.00034734317203566415,0.000763323615858173,0.0002460294970412924,0.000613354341518673,0.0001074799696640326,0.0004487048103256898,-3.0769189892411463e-05,0.00027826567087954325,-8.960138286322937e-05
4,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,49.71695314647406,-0.00040719345082278733,-0.00012974788989396143,7.07747416108193e-05,-0.0006924219851083908,0.0007587130135168395,-0.0013977235298529762,0.0014458983832883624,-0.0021765140513906487,0.0020067163611962985,-0.002892598604744379,0.002359285889861251,-0.003416751074943088,0.002480264407793479,-0.0036468523599284667,0.0024062179449537003,-0.003523921745565348,0.002221678721594836,-0.0030427280706514593,0.002034025957166296,-0.002256948541210562,0.0019384524046512372,-0.0012754077858340685,0.0019832649248201347,-0.00024451937952101033,0.0021514955981587354,0.0006824674367431695,0.002369043463785974,0.0013789325190001684,0.0025339668855952984,0.0017684194644883612,0.002552323425114241,0.0018334510109716776,0.0023684289146496877,0.0016121609018659808,0.0019831377587215264,0.0011867048673384552,0.0014574880854006061,0.0006666551165075312,0.0009011061374873418,0.00016891141501179129,0.0004051893708947241,-0.00013095154776099208
5,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,55.18986423135058,-0.00045337615359860033,-0.0001437194847328429,0.0003841766490735996,-0.0010514180031585142,0.001540463594377987,-0.0022344525983604823,0.0026896226115327763,-0.0035358349808528953,0.0036200990586158313,-0.004719992855385913,0.004194826022061922,-0.005564609291877451,0.00437565290488143,-0.005896446102925311,0.004226066081072093,-0.0056183258198449085,0.0038916211553340295,-0.004726514744707473,0.003557308027122671,-0.0033190640727593047,0.003386882806957277,-0.0015892465207124166,0.0034620423126828647,0.0002049807802760376,0.003749910560102792,0.001795055734344408,0.004117325411837069,0.0029611624755975347,0.0043827850093268355,0.0035741238841271302,0.004380364491438968,0.0036106653791497796,0.004013892210016106,0.0031460881899847727,0.003289497634122027,0.0023317486280658804,0.002321213636173877,0.0013639222358153096,0.0013082961424671876,0.0004486751732854826,0.00044990226104037813,-0.0001459971906352568
6,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,57.727000944815835,-0.0004753765252436072,-0.00014989008850983926,0.0007234236709725634,-0.001401943478383337,0.002344422305728562,-0.0030680693483611013,0.003951279919706568,-0.004897787659157795,0.00524850978193119,-0.006554231412265983,0.006044852036549287,-0.007721252842440125,0.006286535206742915,-0.008155151433431948,0.006061810485577551,-0.007721775895700061,0.005575063382831718,-0.006419605844785413,0.0050880055150450566,-0.004390786984960398,0.004834000479037197,-0.0019122275499765839,0.004930623421124088,0.0006469388212848848,0.005331639550870326,0.0029022045095838476,0.005846008459957229,0.0045393846762226365,0.006211933403902207,0.005375956040392127,0.006189489873905401,0.005383497711211018,0.00564007766396742,0.00467606979614604,0.004574436594615131,0.003475522870843719,0.003160483383726421,0.0020646264435084964,0.0016887221043590816,0.0007368484340568362,0.00047043934774329386,-0.00015325553992548316
7,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,59.1800915552502,-0.0004884749466437567,-0.00015316902694641744,0.0010720316841764744,-0.0017528927044325206,0.0031554862333937153,-0.003910064643493038,0.005217706906376729,-0.006277369967533887,0.006881133476721372,-0.00841462524545177,0.007901042320444878,-0.009910887795472752,0.008206911417402544,-0.010452323452457455,0.00790929947473718,-0.009868664337323859,0.00726900580615331,-0.008160933621491456,0.006623492961233175,-0.005514661931652183,0.006276901659971284,-0.002289103099994795,0.006385543665237016,0.0010362344287023883,0.006892926070677316,0.003960491551836486,0.0075518680502150385,0.0060738277007004494,0.008019894732033182,0.007139291525181791,0.00798108531143649,0.007123290537058824,0.0072521513695724266,0.006179508655227905,0.00584720320458335,0.004600946386992013,0.0039882474776343066,0.0027562075924837805,0.002058090723896859,0.0010241673444328137,0.000482082097132412,-0.0001576232323413952
8,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,60.11244121801259,-0.0004973314792978838,-0.00015505396200910673,0.0014248132243203655,-0.002106913324877534,0.003968640677173297,-0.004763812990649219,0.006484207739954726,-0.007678998598199003,0.008513766196494254,-0.010306932560181685,0.009759826517119485,-0.012140823258897319,0.01013390047727168,-0.012796893001642254,0.009766285433267595,-0.012069486451107787,0.00897167113018398,-0.009962401849891112,0.00816222162802259,-0.006703739706187717,0.007714009531494085,-0.002733656721715209,0.007825030769664378,0.0013589450421219683,0.008431829112626752,0.004956566386757205,0.009233051724043652,0.007552391346176495,0.009805328556699347,0.008853765229927197,0.009754780800796522,0.008821619781768694,0.008851068804864652,0.007649862143282288,0.007110221386109955,0.0057031062926834585,0.004808271489180585,0.003435027907913043,0.0024211473577291373,0.0013078876819615788,0.0004894918340545961,-0.0001605932585719237
9,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,60.75309931439067,-0.000503843397555858,-0.00015615518027726946,0.0017795223814126356,-0.002465028305971269,0.0047814914847728734,-0.005630564121420969,0.0077482637785494775,-0.009104293801858827,0.010143865119052341,-0.012233299372251542,0.01161877621820477,-0.014413839878401452,0.012065310347262369,-0.015192304138436105,0.01163087801103707,-0.014328321124268135,0.010681459062248893,-0.011828679479120467,0.009702787230264116,-0.007963219581474107,0.009143961881880575,-0.0032514916475108262,0.009247617505740425,0.001609307927994521,0.009946724808843184,0.005884852443639802,0.01088787551106789,0.008970035614009482,0.011566715034409179,0.010515115466914611,0.011509497423815396,0.010475080151136167,0.010436434947335486,0.00908451931147875,0.008363914675727252,0.00678004665298711,0.005621770365227671,0.004099626567371915,0.0027797093235196247,0.0015868944675600009,0.0004945673137269173,-0.00016277320168562267
10,6.231935804325742,135104879.10301012,2.9103830456733704e-11,2126.4096977558797,1.4300916902693488,0.42305723606224754,0.12610705741704345,0.013314788152945435,1.715236924310242,432.3506952946133,0.5716382740277091,2.0942251914864123,23.300855642004535,0.5716382740277091,2.0942251914864123,23.300855642004535,61.21286335692033,-0.0005089290477487015,-0.0001567685960754643,0.0021349613845672573,-0.002827679859244273,0.005592585908310963,-0.006510796588038538,0.00900814363360824,-0.010553847448965327,0.01176948768003795,-0.014194533597704744,0.013475869035083651,-0.016731036736375222,0.013999182181086606,-0.017639963538677216,0.013501293092093919,-0.0166468658768753,0.012396809317987487,-0.013761751720611195,0.011243820202439922,-0.009295391443328239,0.01056546840447652,-0.0038451877166103634,0.010651952541135329,0.0017845622563418605,0.011436114237732166,0.006742614911152665,0.012514722461480865,0.010324283070131036,0.013302465259381158,0.012121280908849265,0.013243884916506772,0.01208206507582522,0.012007345576507487,0.010482270744971815,0.009607964749171477,0.007830859364840726,0.006429029060713219,0.004749309527766475,0.0031345435144826002,0.0018606456024767395,0.000498228448788584,-0.00016445696849722803
