时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,4.478115381376742,-8.670838937391067e-07,-4.3363217855853767e-07,-2.1905983394265512e-05,3.884695027718348e-05,-3.8605743323021015e-05,7.566152605365503e-05,-5.061361434623198e-05,0.00010514917660058891,-5.745013033344569e-05,0.0001238032987529046,-5.953897636545456e-05,0.0001292628482499232,-5.8029153894491005e-05,0.00012056405387567182,-5.451328293180195e-05,9.824445269801933e-05,-5.0691815347639366e-05,6.429355410655154e-05,-4.803821885432889e-05,2.194947592037161e-05,-4.752065415426937e-05,-2.4635821821756423e-05,-4.942420485277284e-05,-7.082675376149956e-05,-5.3299849612888e-05,-0.0001119822779646388,-5.8044656638384226e-05,-0.00014393040809780578,-6.20964017473586e-05,-0.00016338964880133235,-6.370884946748708e-05,-0.00016829603397111226,-6.126343690329531e-05,-0.00015800501565944901,-5.357057863300568e-05,-0.00013335242817803762,-4.0116208474765744e-05,-9.65654861995034e-05,-2.1216262016400504e-05,-5.104038778346524e-05,8.668963686254701e-07,-4.339838018039883e-07
3,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,9.971178867912908,-1.9312980992386007e-06,-9.656014723931113e-07,-6.343129653960755e-05,0.0001163244776016306,-0.00011272071352449855,0.00022566058966771546,-0.00014809561203373475,0.0003133593074488257,-0.00016820244890317597,0.0003692442052056388,-0.0001743162345756042,0.0003864429290895608,-0.00016982812326359363,0.00036213628355651994,-0.0001594224311460264,0.00029787894280188085,-0.00014809172372346168,0.00019946594249196714,-0.0001401552750967134,7.634420217853838e-05,-0.00013844575451492944,-5.936562760157812e-05,-0.0001437941677763947,-0.00019412964491469177,-0.00015488868352778933,-0.0003144022888464915,-0.00016851790057806622,-0.0004080160289695236,-0.00018014629286038086,-0.0004654136997734164,-0.00018472058071736545,-0.00048060271304365353,-0.00017757680966744462,-0.00045174256518046134,-0.0001553121776219913,-0.0003813193609093484,-0.00011649542999975885,-0.0002758842242692766,-6.21104927876167e-05,-0.0001453978177126128,1.930749297279099e-06,-9.663307673243625e-07
4,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,16.88431482369919,-3.2722675399939234e-06,-1.6352566135480067e-06,-0.0001742923347582766,0.0003319847294680991,-0.00031293885151080275,0.000640877478891052,-0.0004120832901727265,0.0008888267284685598,-0.00046814487097705695,0.0010478064677189101,-0.0004848685445770194,0.0010988305393481476,-0.00047189843176682927,0.0010340887813290705,-0.0004424530126057128,0.0008579023274258291,-0.000410538809867805,0.0005863865727290624,-0.0003881903654080071,0.00024582223328564073,-0.00038321178795466105,-0.0001300825087167666,-0.0003977854920316586,-0.000503724695346269,-0.00042814666477874737,-0.0008375261683006769,-0.0004653302298766204,-0.0010978038771104442,-0.0004968199921432017,-0.0012581848475222705,-0.0005088001658987144,-0.0013022355507199964,-0.0004886427883851353,-0.0012250701200739584,-0.00042726245761520336,-0.0010338121343316624,-0.0003210125263512216,-0.0007468572406054354,-0.00017285653318930525,-0.00039202877398392393,3.2707404740667766e-06,-1.636247615845068e-06
5,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,20.56709933178048,-3.98901979636391e-06,-1.992194165899501e-06,-0.00031963104753039034,0.0006180771418118754,-0.0005769297875606476,0.0011899992417564044,-0.0007602567340914184,0.0016487543441842806,-0.0008632074502530379,0.001942890689089237,-0.0008930640305322452,0.0020374941231720936,-0.0008680938097177444,0.0019182175422264472,-0.0008131232015157831,0.0015931309239342823,-0.0007542520290591615,0.0010921297580194225,-0.000713672669694911,0.00046390360746583034,-0.0007055095204953014,-0.0002291821573719478,-0.000733356279159738,-0.0009176752935401064,-0.0007898422671107761,-0.0015323107939151381,-0.0008581812630268788,-0.002011148998371518,-0.0009153276531003605,-0.002305834400294466,-0.0009361458330554019,-0.002386387399692234,-0.00089791064948179,-0.002244121344081342,-0.0007844880492316142,-0.0018924658494511662,-0.0005896538760643758,-0.001365608026871743,-0.0003191225680687536,-0.0007150847667239935,3.986201363766262e-06,-1.9930150958680394e-06
6,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,22.381267498864993,-4.344742066540247e-06,-2.1681840381927052e-06,-0.0004648539361115064,0.0009020491122349737,-0.0008410959759418984,0.001734296112853235,-0.0011083243151348817,0.002401059388677788,-0.0012573671217810294,0.0028274568466604673,-0.0012993246163359245,0.002962615740395952,-0.001261499531612435,0.0027856670229174383,-0.0011807191292221404,0.0023085440575437524,-0.0010954004339667625,0.0015751410684604755,-0.0010378580742495147,0.0006568339711501188,-0.001028245301667049,-0.00035509127507122955,-0.0010711164663300347,-0.0013591504419740448,-0.0011550387211223452,-0.002254322642394672,-0.0012550966953703874,-0.002950447106240331,-0.0013376546636824909,-0.0033772868343802135,-0.0013664533472778264,-0.0034914381739988534,-0.0013090413801566984,-0.0032805302322986445,-0.0011426389481735643,-0.002764411862273546,-0.0008587287120751207,-0.0019931981689262175,-0.0004658400117052307,-0.0010423274366149458,4.340630379347257e-06,-2.1686657600998825e-06
7,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,23.4504016768644,-4.55715552956856e-06,-2.2720260724847656e-06,-0.0006094054506596652,0.0011814426229421124,-0.0011040735311571997,0.0022693666433075614,-0.0014543697071454382,0.0031397536818571553,-0.0016484074092825032,0.003694362769875764,-0.0017013563439745244,0.00386638133791199,-0.0016499148962003819,0.0036284490897747555,-0.0015432379031118679,0.002996453317300828,-0.001432214182097802,0.0020284401878697227,-0.001359184780230843,0.0008186461203694292,-0.001350000010555134,-0.0005125895178696081,-0.0014097103298338488,-0.0018317084222570649,-0.0015223771705098594,-0.003005994888035031,-0.001654681114867356,-0.003917203191248109,-0.0017623781239701143,-0.004473374200390472,-0.0017983206658518703,-0.004617813626777359,-0.0017207271279732147,-0.0043345502306874105,-0.001500578056366368,-0.003649897056690239,-0.0011273258311251281,-0.0026299405815421763,-0.0006123344291536399,-0.0013741043798947996,4.551755544863413e-06,-2.2721141351425886e-06
8,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,24.147947294243895,-4.698644717490484e-06,-2.3398820477076457e-06,-0.0007530751923823967,0.0014555497165168827,-0.0013653600670720622,0.0027939573491788097,-0.0017976908202035678,0.0038631398594407987,-0.0020355196099788937,0.004541586274854511,-0.0020983265162865883,0.004746573631525315,-0.0020325459376101082,0.0044442841177266615,-0.0018999611506612397,0.003654643143925581,-0.0017640601644506196,0.0024499846035418234,-0.0016770913041455119,0.0009475506785777878,-0.0016702555042926188,-0.0007031706593113918,-0.0017486315475926935,-0.0023365450944801223,-0.0018913393751328275,-0.003788257841397627,-0.002056395918957343,-0.004912136739189017,-0.0021889481330593062,-0.005594666839583119,-0.0022312101111236385,-0.005765989402074269,-0.0021324734354085007,-0.005406599372409838,-0.0018578837781316742,-0.004549296056726567,-0.0013951158645953976,-0.003276155521156786,-0.0007583703497213401,-0.0017106458728661765,4.6919640497002824e-06,-2.339563007609842e-06
9,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,24.632345265523046,-4.799924397882046e-06,-2.3870932244183673e-06,-0.0008957043432418632,0.001724063928865224,-0.0016246131010515788,0.003307523332376494,-0.002137817300718973,0.004570478309292176,-0.0024181645055177297,0.005368245234330503,-0.0024896804675004383,0.005602225872466258,-0.0024088630683562744,0.005232181538773187,-0.002250407279812086,0.004282158967517307,-0.0020905087658205372,0.002838908845215504,-0.001991187718235848,0.001042810615063507,-0.0019886393505582733,-0.0009274237324426448,-0.0020875016400447666,-0.0028741038160633907,-0.0022615241405172693,-0.004601430057121565,-0.002459812924929945,-0.005935473150749378,-0.002616919185691786,-0.006741330245922396,-0.0026646802243567268,-0.006936098657092178,-0.0025438711309751995,-0.00649679659661548,-0.0022142082777620825,-0.005462721361219683,-0.0016618359922878764,-0.0039319464843513285,-0.0009037828482570029,-0.0020520332643271036,4.791972576438634e-06,-2.3863736784795216e-06
10,1.9252756380637739,70482303.06996739,5067.142172672338,184.88704150939463,1.3073166508915632,0.16474466007549043,0.06388298206577832,0.005696611612563486,1.3607392939200156,840.1594812410337,10.0,10.0,0.0,10.0,10.0,0.0,24.98229906067115,-4.876252143367379e-06,-2.421279055583337e-06,-0.0010371467430006587,0.001986815832291032,-0.0018815376831656679,0.0038097593075415584,-0.002474349354277566,0.005261351740511384,-0.0027958856581507922,0.006173840601761477,-0.0028749492918877535,0.006432792495583062,-0.002778418227368067,0.0059915881618731225,-0.002594167082287587,0.004878480104955279,-0.0024111910817309727,0.003194761710724001,-0.0023011327312828017,0.00110407203134947,-0.002304816910237593,-0.001185592082531238,-0.0024259712040616633,-0.003444520881615322,-0.0026325528675077603,-0.005445558564486833,-0.002864521766234136,-0.006987196125844708,-0.0030458597403072492,-0.007913311890532211,-0.003098300078103101,-0.008128075929819394,-0.0029545187468441275,-0.007605081121368969,-0.0025692102860099737,-0.00639012903999152,-0.0019272324365554334,-0.004597293133364136,-0.0010484245809380497,-0.0023982697180714484,4.867040403090819e-06,-2.420177839808558e-06
