时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,5.474295359380224,-6.843509030017092e-07,-2.2065600794512996e-07,1.546543189332621e-06,-7.249886656071332e-06,6.897523314458878e-06,-2.3999406581636006e-05,1.3298975542802151e-05,-4.63488062847667e-05,1.8965256709872386e-05,-6.915819574190128e-05,2.2724659346839833e-05,-8.726457491774657e-05,2.4176235199567295e-05,-9.647347269537435e-05,2.3648556321898597e-05,-9.434706167221535e-05,2.1985615337831647e-05,-8.063817369609773e-05,2.0222281068024758e-05,-5.729765212326175e-05,1.923278329332596e-05,-2.805948347558808e-05,1.9444218429505158e-05,2.3132697770289943e-06,2.0697323441948346e-05,2.8975848544390087e-05,2.2303213619494862e-05,4.7956982329026654e-05,2.3289198921018695e-05,5.693073150651166e-05,2.2763598226415957e-05,5.564712196629822e-05,2.0282192573708814e-05,4.593300012201918e-05,1.6088416212827084e-05,3.126275381194137e-05,1.1134163025549492e-05,1.599156091053937e-05,6.850141276961585e-06,4.407160219025416e-06,4.709400105367942e-06,-2.0236853403397728e-07
3,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,12.493674232694541,-1.5632434629880426e-06,-5.019633542944964e-07,4.383993642761009e-06,-1.8839340493492973e-05,1.851258827505162e-05,-6.278430734353688e-05,3.542468679195121e-05,-0.00012157764030404604,5.0406468759894384e-05,-0.00018160653171783085,6.0343994175778575e-05,-0.00022910528543518857,6.416172595985785e-05,-0.00025284845515399405,6.27249257702434e-05,-0.00024629588527447905,5.827768953147966e-05,-0.00020878240349826827,5.3581860138874006e-05,-0.0001455544037266917,5.097689557600742e-05,-6.666474755832789e-05,5.160602678950708e-05,1.5051863089117491e-05,5.503280091236315e-05,8.653115895455869e-05,5.938566118840345e-05,0.0001370593175602346,6.201852237241585e-05,0.0001603636803273223,6.0501051810719434e-05,0.00015578585846077613,5.3619667952809894e-05,0.00012829621216652257,4.2039171183117935e-05,8.734899076628435e-05,2.837034560681344e-05,4.482790440086174e-05,1.6563123437384138e-05,1.2503990465133174e-05,1.075173381099166e-05,-4.6422977043475923e-07
4,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,19.580400685684697,-2.4527895407192206e-06,-7.828859120753762e-07,8.848290529796607e-06,-3.483629568652932e-05,3.5399080594036305e-05,-0.00011688646201704449,6.717784317815362e-05,-0.0002269143084719689,9.534121429592357e-05,-0.00033926685139283824,0.00011401422957056614,-0.0004278439175319452,0.00012115005317778062,-0.00047128805066197184,0.00011836536867773778,-0.0004571298166155928,0.00010989598877925204,-0.00038410368102646385,0.00010097945847126987,-0.00026225018685306867,9.60714513672976e-05,-0.0001108241189361814,9.735781246423682e-05,4.557035691764106e-05,0.00010399753388255282,0.0001818706249966868,0.0001123775549768622,0.00027751503381563734,0.0001173737597321453,0.0003204747409307631,0.00011426750090991436,0.00030952875123669985,0.00010069769135904322,0.00025431327992255133,7.796101867273136e-05,0.00017314373926510655,5.116020377184804e-05,8.908880180428174e-05,2.8051839916839028e-05,2.510855239428472e-05,1.6856245896327073e-05,-7.326165397116917e-07
5,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,28.279305178687935,-3.550076428753141e-06,-1.1190570518062438e-06,1.87712853079572e-05,-6.642578100167509e-05,7.038909158478977e-05,-0.00022474648891455297,0.00013209240026692542,-0.0004375472040190166,0.0001867737042952085,-0.0006547936805911017,0.0002230141719300983,-0.0008252489134504054,0.0002367923656174384,-0.0009068326056392669,0.00023119641703596942,-0.0008749254835902807,0.00021444737568481647,-0.000727047585218159,0.0001968001880079399,-0.00048313540622502675,0.0001870656994059215,-0.0001814506103944136,0.00018963322013712276,0.0001290602751404229,0.00020287804931875674,0.00039848815488272677,0.00021957839743533454,0.0005858668667024121,0.00022939907188870208,0.0006672640927860316,0.00022276848544700535,0.0006403771643541874,0.0001948790199786683,0.0005246750723014808,0.00014837392853284738,0.00035708220758894467,9.367501894130275e-05,0.000184166658884871,4.667045097086606e-05,5.246331235636089e-05,2.4355316383530692e-05,-1.0721768649722583e-06
6,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,35.03579086275345,-4.411573642704483e-06,-1.3641338803747272e-06,3.463627931794433e-05,-0.00011297989133931589,0.00012365421808084598,-0.0003848117167592577,0.0002298441611986679,-0.0007508089968745636,0.00032392828079453635,-0.0011244474955219698,0.00038634236436541145,-0.0014167296503120991,0.00041011109795977186,-0.001554372655273127,0.0004003639299069451,-0.001494419101438991,0.00037107705641547644,-0.0012325121760978774,0.00033991967811219606,-0.0008034769440160209,0.00032232934092785945,-0.0002742618762261008,0.0003262462558308156,0.00026935988950678355,0.000349095346897397,0.000739807460362387,0.00037827549934547314,0.0010651232348241793,0.0003954330134991462,0.0012032851298588343,0.0003834012014336931,0.0011503826713275649,0.00033348353417324983,0.0009409164870446468,0.0002503791819744144,0.0006402155858249905,0.000152784355479061,0.00033070040775360704,6.920475369583834e-05,9.489288345282538e-05,3.0185791502882187e-05,-1.3532636719335936e-06
7,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,38.74229293218757,-4.892994564335085e-06,-1.4832730693491553e-06,5.1085429885374635e-05,-0.00015952313391892685,0.00017758250710130674,-0.0005455007433766258,0.00032823410914717665,-0.0010658738250233144,0.00046173314251021563,-0.0015974601637505754,0.0005505024675267879,-0.00201321377714244,0.0005845850164701416,-0.002208330282291347,0.0005709331636012224,-0.002121228810945871,0.0005290025901830234,-0.0017454656787967363,0.0004837480082019022,-0.0011306539368813038,0.00045737412371235327,-0.00037247439105171854,0.0004617228874005168,0.0004062580645355165,0.0004936197666517196,0.0010799287926541111,0.0005352147896652319,0.0015451681929626107,0.0005599690072832357,0.0017415132435014413,0.0005427785697698798,0.0016632683628661756,0.00047077487151824264,0.0013599900459863488,0.00035067056117099046,0.0009255920725151868,0.0002096422826856225,0.0004786152777166407,8.911338329910666e-05,0.00013788182731890215,3.3390143514573445e-05,-1.5233426532640034e-06
8,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,41.06194479949945,-5.2019042584903e-06,-1.545133683642262e-06,6.778029602023921e-05,-0.00020610136983259544,0.00023171023221518763,-0.0007067736747857004,0.0004266979631083886,-0.00138268310394227,0.000599573995850373,-0.0020739631858131924,0.0007148972571148874,-0.002615357323654869,0.0007596979591003945,-0.00287029624654455,0.0007425069980281167,-0.0027582886377277714,0.0006879402923524256,-0.0022705006135839995,0.000628062763625546,-0.0014710510050051208,0.000591957308539339,-0.00048415150222924446,0.0005957237818522722,0.000530395490347522,0.0006359849367054594,0.0014088149742186792,0.0006898471204542531,0.002016050519188835,0.000722496659623168,0.0022728648200410727,0.000700599292630271,0.0021714785702280333,0.0006068279866798089,0.001776284862733799,0.00044980393616199046,0.0012096376552824934,0.00026527995970732966,0.0006261203024459387,0.00010776374874492221,0.00018087098818056875,3.5402626962953983e-05,-1.642683768689893e-06
9,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,42.63861501436224,-5.418740242059697e-06,-1.5763033326049616e-06,8.459047081951056e-05,-0.00025273516529528595,0.000285864665485651,-0.0008686450466720949,0.0005250349708580326,-0.001701309582129324,0.0007372425978675453,-0.0025542025953109474,0.0008793359647468769,-0.0032237238696140994,0.0009353011097032682,-0.003541296614809882,0.0009149942609166599,-0.003407202554796803,0.0008478548889569344,-0.00280985759358143,0.0007728620341368483,-0.0018275265440007985,0.0007260736694776144,-0.0006126616001574941,0.0007282060222987074,0.0006380867271549125,0.0007760977455976326,0.0017227181430211971,0.0008420508935478586,0.0024742351654140956,0.0008829191642225978,0.0027942649248581053,0.0008568585185579098,0.002672574557739689,0.0007417858494828624,0.002188074499895178,0.0005480926849585029,0.0014913043424132526,0.00032016035192865955,0.0007727132343232525,0.00012570831466041088,0.00022370484323029556,3.677906724309373e-05,-1.734719368471969e-06
10,0.19862028765967443,5345395.846033614,90.07974497501641,4.610353866778128,1.2101281065611396,0.12090512212273037,0.013649279148699478,0.0031869065115371913,1.241609938895619,1336.927897880954,7.0691919732713275,8.513986873622265,633.8538869646034,1.0331003062076691,9.676087971836441,992.549461761227,43.77186166211384,-5.580943916071817e-06,-1.5891621434720654e-06,0.00010145149009800129,-0.00029942382076189123,0.0003399541162054002,-0.0010310917323369168,0.0006231303509215779,-0.0020217393304765297,0.0008746090463337506,-0.003038236984171677,0.0010436865967977747,-0.0038385242977890264,0.001111277777038403,-0.0042217721017506205,0.0010883101774484699,-0.0040686990572330155,0.0010087011316939798,-0.003364578354969122,0.0009181324586793536,-0.002201420189465306,0.0008597200503465288,-0.000759582172255334,0.0008591512740017153,0.0007276180199948894,0.0009139105584209193,0.0020199176387815303,0.0009917571585355953,0.0029181282551153714,0.0010411758947081729,0.0033043584091219714,0.0010115430263116802,0.0031655100723438907,0.0008757136424602665,0.0025946406045161247,0.0006456895303094271,0.0017701706878673902,0.0003745075178002615,0.0009181990335653237,0.0001432083348007298,0.0002663235998434124,3.777821456213483e-05,-1.8103756591386163e-06
