时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,9.333050466195392,-8.98545572349214e-06,-3.342958285086235e-06,-1.3459880195543031e-07,-2.415523255853495e-05,2.1618242266385452e-05,-6.470897364908358e-05,4.73675641562539e-05,-0.00011719110550505532,7.01284595141944e-05,-0.0001704551782241305,8.515349842973922e-05,-0.00021307570942935878,9.069069993583697e-05,-0.00023563313226798287,8.799471929399287e-05,-0.0002325273276792844,8.05299146196739e-05,-0.00020300679156746266,7.262308259772431e-05,-0.00015126512952176024,6.794919234893364e-05,-8.557734535054556e-05,6.829609456137224e-05,-1.6633275176762336e-05,7.299299772739424e-05,4.461384058598961e-05,7.919677103303914e-05,8.914133628079944e-05,8.29554082874059e-05,0.00011162372872720598,8.070519889919482e-05,0.00011139155507876217,7.070590488067698e-05,9.23948333872033e-05,5.392235292362174e-05,6.21942377370068e-05,3.404963232717458e-05,3.0237994660458346e-05,1.6488851090721084e-05,5.8099802219474695e-06,5.5160593395505e-06,-3.1430171204038095e-06
3,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,20.18150896172284,-1.9462546039630582e-05,-7.2135275574517095e-06,8.260951218311277e-06,-6.519389741443401e-05,7.244638736358239e-05,-0.00018160358867906536,0.00014837456518945651,-0.0003332199297041779,0.0002155497712569846,-0.0004869930949883696,0.0002598545193316571,-0.0006086945667289846,0.00027604243891263735,-0.0006699650311448544,0.00026785951315239505,-0.0006539553839945915,0.0002457129974168419,-0.0005585700589727281,0.00022263238999689934,-0.0003968273422646498,0.00020967012436618918,-0.0001942523296186832,0.0002121041773393194,1.623175650297007e-05,0.0002276508548995112,0.0002009428738173738,0.0002473271792562579,0.00033223927704963303,0.0002587478331317949,0.0003940037976524036,0.0002508027795960207,0.0003846143779407825,0.00021816073015950196,0.0003168110716992548,0.0001640488079508535,0.0002145607555680967,0.0001003399093293085,0.00010772455156657076,4.448445894913299e-05,2.5719545790170443e-05,1.191802009788114e-05,-6.820989289901383e-06
4,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,31.724651254919202,-3.069949249531616e-05,-1.1263555084010685e-05,5.0468897738082574e-05,-0.0001593753201313957,0.00022563106412044423,-0.0004674760512568681,0.0004319931120794759,-0.0008709823955029552,0.0006143817141124059,-0.0012791870728415921,0.0007344451832022322,-0.001597459971950499,0.0007778601725864704,-0.0017472242955101597,0.0007548208742610319,-0.001682029000337179,0.0006939080245054982,-0.0013968527233387462,0.0006311625706299893,-0.0009292363667525369,0.0005973415399982291,-0.00035203005776405247,0.0006070892882378696,0.00024102469991556794,0.000653572364397849,0.000754220115412445,0.0007106791715755398,0.0011094231301300485,0.0007424282922673729,0.001261898157796085,0.0007166319536897197,0.0012088088679320871,0.0006181817831743861,0.0009886197327871734,0.00045724089839892294,0.0006718244172078776,0.0002693465869000346,0.00034545252682877147,0.00010653592101350439,9.486106886897426e-05,1.8674896509628573e-05,-1.0819327863213452e-05
5,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,36.594869661710206,-3.55362985159303e-05,-1.288503264297443e-05,0.0001087106054209213,-0.00026081843684675686,0.0004101579220821168,-0.0007852991786333115,0.000764167969103143,-0.0014738229953134006,0.0010768443818568005,-0.002169587334170979,0.0012828448426096394,-0.00270873343242147,0.0013575671223542622,-0.002955301881704732,0.0013179946959690873,-0.002829236666632055,0.0012126701895119173,-0.002322498513322177,0.0011035112002430493,-0.0015009959455982624,0.0010440872616627648,-0.0004920739378455001,0.0010605519594001087,0.0005404499935899088,0.0011415884303543787,0.0014293030385253854,0.001241573494128507,0.0020381403294929263,0.0012968713126992673,0.0022895441549496487,0.0012502357257020223,0.002180000421967991,0.00107485186371491,0.0017785348949764601,0.0007891652111396448,0.001209947772675902,0.0004568305106307021,0.0006273044774087545,0.00017061885268653538,0.00018007871667481755,2.1454809597229393e-05,-1.2603355254238303e-05
6,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,38.99343538693887,-3.799718299650539e-05,-1.3611732936585382e-05,0.0001701048539408803,-0.00036108398260031264,0.0005977927113596296,-0.0011030262370392337,0.0010990532276721056,-0.002078772190057864,0.0015418667100446256,-0.0030649700921217327,0.0018344024013560055,-0.0038280130792935955,0.0019416643890118124,-0.004174213309420875,0.0018866234148150346,-0.003989722482289815,0.0017367869075018145,-0.003263293235212217,0.0015794572672353637,-0.002088914806798873,0.0014914373405595922,-0.0006481498185498473,0.001511535832196377,0.0008251489363939169,0.0016251471666867184,0.0020918259722606507,0.0017676667958080262,0.002956791039556059,0.0018474100455482913,0.003309515148433525,0.0017811172782343184,0.003145697397066985,0.0015294534054452935,0.0025650366351319467,0.0011189871551823673,0.0017466584358162402,0.0006419424953440694,0.0009093906293076479,0.00023239346672074854,0.0002664079285061581,2.2768451439689202e-05,-1.3558423085488472e-05
7,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,40.40871037721184,-3.951630089081537e-05,-1.3981981178684537e-05,0.00023272961290245344,-0.00046117894794364423,0.0007864462892050943,-0.0014221287641888467,0.001434528622236299,-0.00268806455129605,0.0020074291283859566,-0.003968736479179437,0.0023873148366473597,-0.004960294608272499,0.002528632758244931,-0.005410914677040312,0.002459461283734856,-0.005172625362294378,0.002265184519225238,-0.0042305691317159515,0.002057924102264364,-0.0027062643269245784,0.0019381188242907964,-0.0008349223903300353,0.0019584439088377813,0.0010798734587815903,0.0021023436161869804,0.002726925961344431,0.0022869355326725987,0.0038518539622047127,0.0023922205407125754,0.004310393764313827,0.0023079930578687752,0.004097019824876063,0.0019814806047918024,0.0033418333430790953,0.001447016194484241,0.002277949558051267,0.000825622058794223,0.0011894332006133783,0.0002930726207967908,0.0003526586416712298,2.3501316618553526e-05,-1.4182792410404597e-05
8,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,41.332812807509555,-4.056819293103199e-05,-1.4173922653790368e-05,0.00029592045058786284,-0.0005613962934440567,0.0009753447852588113,-0.001742986639313671,0.0017697433052352386,-0.0033022778269618737,0.002472650553816901,-0.0048818369618477886,0.002940731505041559,-0.006107093068721079,0.003117712014419828,-0.006667644325949151,0.0030358755401147975,-0.006380995629599725,0.0027973504080740443,-0.005228187822605648,0.002538460329808778,-0.0033576151207824895,0.002383649297949757,-0.0010574569790539879,0.002400681063659183,0.0012993826523600327,0.002572449622015992,0.003329564898901732,0.0027985857838908348,0.00471885088286665,0.002930579353584034,0.005288515920860257,0.002830359291275133,0.005031223350534372,0.0024307463981316684,0.0041070581592669055,0.0017733829237424367,0.0028026754254700903,0.0010082215727914106,0.0014667894197480844,0.00035307939517322673,0.0004384761796719202,2.394636797574303e-05,-1.4641325995610102e-05
9,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,41.97499841412726,-4.135469516082865e-05,-1.4263377496336616e-05,0.0003593739536664324,-0.0006618308568056463,0.001164092518068913,-0.002065672401881054,0.0021042037445282743,-0.0039215020467778345,0.0029369531586065666,-0.005804468642860764,0.003494030334609179,-0.007268823103649413,0.003708295140887836,-0.007945131795959107,0.0036153317012522722,-0.007615940157951953,0.003332851454200849,-0.0062576547990818455,0.003020715817730607,-0.004044847060301064,0.0028276999199618245,-0.001317925749579165,0.0028378661224718804,0.0014813595309359955,0.003034991302007905,0.0038974742479329773,0.0033020744559203088,0.005555751522902004,0.0034619560905892162,0.006242223255110221,0.0033478002879513153,0.005947073030596585,0.002877023484151598,0.004859876001927084,0.0020980597795395195,0.0033203262315260468,0.001189859302511583,0.001741175720410429,0.00041258803959716336,0.0005237069296718329,2.4228240307205205e-05,-1.500412960060197e-05
10,1.4005594400706114,43604990.47545977,5759.221703137227,468.4032356318379,2.0569159575732185,0.36132730288769005,0.040997496370591004,0.011500724808154431,2.2154350379200047,675.9540503866663,3.835452173075855,7.115792113462345,242.58877379140142,6.185186598598537,7.655094465830199,576.779864823499,42.43928635494782,-4.1976132421077385e-05,-1.4288080698485655e-05,0.0004229234043216548,-0.0007625066335436935,0.0013524401672860985,-0.002390149993103956,0.0024375566589882585,-0.00454565035879691,0.003399877701997089,-0.006736545903698142,0.004046675325935811,-0.008445475266583546,0.004299826879566169,-0.00924351538969911,0.004197321188315595,-0.008877797745708947,0.0038712708337021104,-0.007319542409151475,0.003504365575827795,-0.004768777945448175,0.003269989363412807,-0.0016173688175942565,0.0032696903172501008,0.0016246151949321477,0.003489581619467397,0.00442943354212112,0.003796939694515914,0.006361429589967649,0.0039858735422410585,0.007170576308924912,0.0038599086897457505,0.006843855780129165,0.003320043152630507,0.005599793535341752,0.00242093737421417,0.0038305936167305392,0.0013705515715122518,0.002012420334699843,0.000471674762786591,0.0006082643190500142,2.440892142541426e-05,-1.5306034584301876e-05
