时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,26.582064690317154,-5.695495667144595e-06,-5.513315978229575e-06,2.363768461714388e-05,-4.278560923529416e-05,8.830019317152265e-05,-0.00011281797680106565,0.00016448496092636778,-0.0002033948524988877,0.00023229462635057532,-0.00029425099750089766,0.0002771957817927741,-0.0003643468236724151,0.0002932685619718433,-0.0003960005533366119,0.00028398563264892814,-0.0003784344331870195,0.0002603384628693849,-0.00031003084703428677,0.00023671443452239212,-0.00019912320595134994,0.00022547698360904212,-6.287208680965161e-05,0.00023204869694680026,7.607491345610014e-05,0.0002526691904706688,0.00019466001406609655,0.0002759948093988826,0.0002746725141306771,0.00028771838426611243,0.00030648189235559783,0.00027613046613315283,0.000290458992776457,0.00023665752042679024,0.00023624379767062434,0.0001740925037298581,0.00016032587743293141,0.00010203955886239762,8.256773317071983e-05,3.949510671199888e-05,2.203448493971504e-05,2.654971131458516e-06,-3.2937373799499856e-06
3,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,57.786556101990584,-1.2627875361174896e-05,-1.1773611874584954e-05,0.0001345954403820355,-0.00017251244107473532,0.00043770639079544906,-0.0004947553688849023,0.0007954980277679096,-0.0009150383824917591,0.0011151854067436046,-0.0013380111413465673,0.0013280068757063872,-0.0016631702579880613,0.0014050991812504814,-0.001805562325665706,0.0013618215339989334,-0.0017130634421671856,0.0012497326425029236,-0.0013776064592781413,0.0011374330103209437,-0.0008393642123658592,0.0010844939953888364,-0.00018168113572408656,0.0011172085973447101,0.0004850955715820235,0.0012171957494389678,0.0010487383810157624,0.0013290307220063398,0.0014213760318766207,0.0013829965492998927,0.0015579843644537709,0.0013225572914317423,0.0014629477248365248,0.0011266116988100246,0.001185541543037291,0.0008201062678115938,0.000807207206584099,0.00047049910305755916,0.0004240017883690681,0.00017033223739098215,0.00012696846582903212,5.631471718279148e-06,-7.291175990382036e-06
4,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,68.66031424052034,-1.5389553309748853e-05,-1.3648976281555017e-05,0.00029153285496905725,-0.0003316266733088848,0.0009079601915321534,-0.0009862148253265398,0.0016357982506002952,-0.0018435330254325936,0.0022877230605297142,-0.002708270059825216,0.0027241545171485435,-0.0033735761075127974,0.002885096782470735,-0.0036647353477538567,0.0027994735307810643,-0.0034745946232008274,0.002570352026359143,-0.0027862580193694264,0.002337331577098499,-0.0016816108544102162,0.0022236653202723834,-0.00033149133436785215,0.0022856335365214085,0.0010368797934882967,0.002487473335405388,0.0021916525206192926,0.002715781054426979,0.002951339068439099,0.002826237004900702,0.0032239773460874376,0.0027011941216005912,0.0030207683932470435,0.0022967944892732686,0.002445571527116497,0.0016653876038311662,0.0016670172053313572,0.0009474150895818949,0.0008813726861094051,0.0003339526582206406,0.0002731250258833392,6.47123421481633e-06,-8.864354758529444e-06
5,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,73.08949336447182,-1.6794590851357436e-05,-1.4161846345292327e-05,0.00045102565590325133,-0.0004895412801171929,0.001380478213550623,-0.0014806372579248886,0.002477847807938692,-0.002782311839302347,0.003462662314268839,-0.00409767592817388,0.00412545972845399,-0.00511183706934524,0.004374405191931028,-0.005559538107313548,0.004249699505838702,-0.005278535632139533,0.003903403215802817,-0.004242922035820482,0.003545060879844195,-0.0025754759746580767,0.003362897432159304,-0.0005334816947464766,0.003446230350518742,0.0015392836143732584,0.003744977510862409,0.0032904366353368017,0.004089080822649759,0.00444332050979269,0.004258646205509773,0.004858016702449678,0.004072592446975498,0.004552682000643813,0.0034623046727495763,0.0036864765905717,0.0025070331350391887,0.002515260267971841,0.0014210674074641959,0.0013342016257971733,0.0004950568103788771,0.00041938046517878163,6.655577703811099e-06,-9.647010810545666e-06
6,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,75.47597069194596,-1.777076841033238e-05,-1.4239958852142849e-05,0.0006113539806451957,-0.0006480109946386452,0.0018532602194007773,-0.0019801104072036555,0.0033192564088456496,-0.0037337917274428605,0.004637187345529525,-0.00550899811573658,0.005528805466288409,-0.006881196489484289,0.005869853092316593,-0.007493924885990172,0.005709527491120322,-0.007129901714351676,0.0052462332260269405,-0.0057540739277821,0.004758183814756174,-0.003529182921954681,0.004499680335487863,-0.0007975784191486797,0.004596122410583389,0.001981198460971172,0.004986393399332584,0.004333724936667954,0.005445441870973635,0.005886750162875005,0.005677083133853445,0.0064511800505793505,0.005434510924253005,0.006051852166498537,0.004622141201881972,0.004903492262109261,0.00334524832207964,0.0033488697100700414,0.0018924623904482865,0.0017805631639748012,0.0006548654483734881,0.0005644043110588364,6.63352286777964e-06,-1.0176477734596803e-05
7,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,76.95382045620902,-1.855706444905805e-05,-1.412243971150252e-05,0.0007720416636473108,-0.0008074687108030048,0.0023256596611357203,-0.002485122506328809,0.004159110292492905,-0.004698527143755471,0.005810081940377687,-0.006942892847822768,0.006932744214602342,-0.008682465780267318,0.007369912210729567,-0.009468914729895795,0.007177511660970211,-0.00902998269982572,0.006597580452956182,-0.007321369787845695,0.00597560956317734,-0.004544855508815187,0.005632966671535932,-0.0011263901793709986,0.005734143102285821,0.002359681802010471,0.006210354716746589,0.005318545755943366,0.00678337210787108,0.007278963651754419,0.007080133141007412,0.008001339116232426,0.0067858493231318295,0.007516747165083235,0.005775681931392431,0.006095606820304013,0.00417990201525434,0.00416720803822556,0.0023618096030495373,0.002220040090668063,0.0008136954303960259,0.0007078776225433755,6.520791705925527e-06,-1.0591233751142588e-05
8,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,77.94612426187929,-1.924251206052852e-05,-1.3898610899588306e-05,0.0009328703165455996,-0.0009680460146632254,0.002797283950708107,-0.002995765399325177,0.004996739940588931,-0.0056765677877653915,0.0069803633555665335,-0.008399401160347108,0.00833604597085881,-0.010515724787977812,0.008873246759162288,-0.011484657533994096,0.008652367609214536,-0.010979023209121426,0.007956321194030941,-0.008945204113768524,0.007196387207815885,-0.005623125379756668,0.006761884170377913,-0.0015208411259273924,0.006859354160923115,0.002673569879337795,0.007415760016312363,0.00624366155707111,0.008101628021749638,0.008618843905539044,0.00846654503122435,0.00950761944082945,0.00812553139878151,0.008946750563454092,0.006922176482488609,0.007262408720317593,0.005010622238557328,0.004970001923228529,0.0028290421827215782,0.002652446280948602,0.0009716292111164754,0.0008496670983283227,6.360635527128441e-06,-1.0942914389110298e-05
9,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,78.64659015860151,-1.9867762923746972e-05,-1.360946837228329e-05,0.0010937043511751784,-0.0011297756970872993,0.0032678216395153523,-0.0035119958480242237,0.005831552776607807,-0.006667783787103572,0.008147119503549731,-0.009878338436470775,0.009737541649351467,-0.012380782289218911,0.010378568797025242,-0.013540983774094798,0.010132845115224626,-0.012976890389975569,0.00932135734087246,-0.010625524282617984,0.008419594405047859,-0.0067641048214576935,0.00788560506114661,-0.001981280335936536,0.007970882689438399,0.0029222927657772866,0.008601584589755734,0.007108399402978657,0.00939903258173757,0.009905764580137458,0.00983509942775741,0.010969533713366293,0.009452461836828756,0.010341520384722708,0.008060804532982668,0.008403659777135603,0.005836934627000715,0.005757078501711939,0.003293988152643266,0.0030776587104865832,0.0011286677022707239,0.000989694689201727,6.172933052206852e-06,-1.1255131301610407e-05
10,1.6033400354874012,58835218.784043916,-6515.522821755338,185.4075983292123,1.3822773425845436,0.38527833421110336,0.06035543002306935,0.006253365654391953,1.6304187892267208,918.4469870358987,4.76752502333848,5.340334117647688,934.3385804551198,9.739772942629202,9.115811426288476,684.4347306128685,79.1564243634485,-2.0453957656907325e-05,-1.3276521443325899e-05,0.0012544419279242683,-0.0012926499460743882,0.003736995808106764,-0.004033712238634068,0.0066629908688828916,-0.007671963436787962,0.00930947091625928,-0.011379413858351223,0.011136089376113394,-0.014277319078910597,0.011884609695527274,-0.015637575788379876,0.011617705254289042,-0.015023280377261772,0.010691597687235889,-0.012362078548196254,0.009644318426032155,-0.007967677293644516,0.00900332131458243,-0.0025078062460686286,0.009067887683533827,0.0031055353842484416,0.00976684149349692,0.007912324213851471,0.01067444043094402,0.011139302857318983,0.011184590805507672,0.012386754227643687,0.010765534725786154,0.011700828377419967,0.009190712089633762,0.009519194165492392,0.006658317593899198,0.006528306347138564,0.0037564289175245863,0.003495579237762346,0.0012847773324483384,0.0011279039242663932,5.968139414289955e-06,-1.1540194424793163e-05
