时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,11.400249241206051,-4.7022889785646266e-06,-3.682604913476201e-06,1.644993542254568e-05,-4.635058694189044e-05,6.523403079268778e-05,-0.00011140453821662374,0.00011930167295575192,-0.00019097439926643288,0.00016552942575734868,-0.0002683560158587872,0.00019504339671492921,-0.00032702199072504956,0.0002048787778026934,-0.0003535966344108651,0.00019804782931432435,-0.00034037492250835964,0.0001820206854862326,-0.00028678242106027944,0.0001660101435307111,-0.0001996167077010068,0.00015776552076134684,-9.19041815546875e-05,0.00016086577844073456,1.955264077266217e-05,0.000173474030921921,0.00011751745007781293,0.00018904296523718827,0.00018777812681591366,0.0001987076875075793,0.0002218740443948806,0.000194495698909287,0.00021850675614741645,0.00017229172523521214,0.00018346208855060471,0.00013364192404244094,0.00012816652125707524,8.591033172931749e-05,6.729742477590622e-05,4.068886364413483e-05,1.5771828669502103e-05,4.284995568915051e-06,-7.0055249728456655e-06
3,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,25.705504374832735,-1.0699438274301737e-05,-8.20253384346188e-06,9.678015825104975e-05,-0.00017312616975309148,0.00030574928796469746,-0.0004447341844087369,0.000536608166379564,-0.0007776649185716508,0.0007337178923682194,-0.0011003085895777147,0.0008591094532554492,-0.0013408586256113976,0.0008999451519437932,-0.0014409919209914493,0.0008691526448990443,-0.001367200940337697,0.0007991731357010117,-0.0011175094565133285,0.000730256402071328,-0.0007227064952916045,0.0006963112612739673,-0.00024135664737562817,0.0007127407010262924,0.0002511972292390349,0.0007707360732797857,0.0006779831797663374,0.0008404082063526116,0.0009761301097533684,0.0008816484644565205,0.0011091940270435492,0.0008587543385991553,0.0010733236826003915,0.0007539033103211639,0.0008964948038332048,0.0005752607229299525,0.0006316084143927167,0.0003574019667457615,0.000345416766874821,0.0001537354876867715,0.00010529495610755298,9.560612436777341e-06,-1.5946495216591417e-05
4,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,32.255642322162075,-1.3612166105648124e-05,-1.0080320593275233e-05,0.00024331070256838758,-0.00035828016527571845,0.0007064518311715965,-0.0009557611370796181,0.0012166192953172597,-0.0016887729679436383,0.0016519807643169027,-0.0023978872156150952,0.0019291438701119362,-0.002922587253381285,0.0020193828835682287,-0.0031326882256367387,0.0019504161947494828,-0.002953771386510398,0.0017934464748048324,-0.002382166446253369,0.0016379206020712656,-0.0014876985392392047,0.00156014861680428,-0.0004026648712024593,0.0015955417684393165,0.000702755511632745,0.0017249088501798643,0.0016547955315452227,0.0018808220792415915,0.0023120729078037745,0.0019720648308133777,0.002593873648891686,0.0019172645198299464,0.00249403050727844,0.001676171769090638,0.002078445325086516,0.0012684528964390855,0.0014684646097287031,0.0007742273745729791,0.0008150753891233492,0.0003157874490394595,0.00026941927615969945,1.1785317772258233e-05,-2.0295893831289665e-05
5,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,34.794700073861016,-1.488307145271187e-05,-1.0638281386231148e-05,0.00039505909109977205,-0.0005412840800249347,0.0011125278286920465,-0.0014683266674951495,0.001901711204298031,-0.0026068939852438747,0.0025756936254383313,-0.0037085099945408937,0.003006334966752137,-0.004522783294920291,0.0031484878357457753,-0.004847124112831343,0.003043065329243687,-0.004566144603261277,0.0027983633211028304,-0.0036744674377882066,0.002552421034714985,-0.0022807345433159924,0.0024249249379881196,-0.0005907416697953765,0.0024733900630122645,0.001130338856618891,0.0026702987319367293,0.0026112440518503014,0.002911570738269392,0.0036311886003884924,0.0030542105925022503,0.004064718301071534,0.0029695329837922642,0.003903621859136524,0.0025933914778493512,0.0032524115462697245,0.0019565808409618807,0.0023012232391409287,0.0011855493839562734,0.001284748625351654,0.00047257866401689293,0.00043678606881693125,1.2483612997404787e-05,-2.2192380760534735e-05
6,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,36.13224555375042,-1.566145617366939e-05,-1.0797805704149547e-05,0.0005483786760128379,-0.0007248005332711514,0.0015197702018414016,-0.0019855142139078926,0.0025873424258828904,-0.0035359385791277707,0.003500266125481638,-0.005037439678312018,0.004086356552685105,-0.006148687133914328,0.004283457151562717,-0.0065941665288380535,0.00414392288909973,-0.006217382360848179,0.0038112442524047144,-0.005011008139110377,0.003471232501057902,-0.0031218787356045254,0.0032878368883195266,-0.0008285032800262943,0.0033428884603109313,0.0015093719553556078,0.0036029101314329383,0.0035227031755133502,0.003928445739120927,0.004910504025726034,0.004124350144381305,0.005501832580073473,0.004013049231868195,0.0052861392343039335,0.003504808961362677,0.004406540312779248,0.002640729728270278,0.0031216596046229413,0.001593856829155124,0.001748914153666778,0.00062719890513927,0.0006034654924762827,1.2726165898531447e-05,-2.3347538661836786e-05
7,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,36.95007803291491,-1.6226237822486036e-05,-1.0782644405177974e-05,0.0007023298570041926,-0.000909431271918271,0.0019269969232886355,-0.002507970929134575,0.0032721108388369634,-0.0044767297054105065,0.004424150177391909,-0.0063858590517014285,0.005167639868148443,-0.0078020424503152585,0.005422842427538526,-0.008376296828700294,0.005251761376670541,-0.00791083211201994,0.004831093907457423,-0.006396062022145717,0.004393500914624901,-0.004016286851138017,0.004148016661634876,-0.0011217943831096598,0.0042030156649111765,0.001833680730347543,0.004521528178347353,0.0043831423958797305,0.004930141126652899,0.006144600790392765,0.005181305433318034,0.0069007468476930045,0.005047012689153681,0.006638192213380377,0.004410172653546879,0.00553844752416175,0.003321205643249827,0.003928177289514813,0.001999843777172593,0.0022064804689710853,0.0007804573468962664,0.0007686003263788122,1.2772966491270032e-05,-2.4177062960615704e-05
8,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,37.49480699979668,-1.6678190169242887e-05,-1.0673849687663697e-05,0.0008565191412880583,-0.0010953451106165903,0.002333612492062904,-0.0030357960039310897,0.003955181253303373,-0.005429338964150711,0.00534629024080716,-0.007753903112733043,0.006248996280070692,-0.009483156271673156,0.006565451646632508,-0.010194089741699736,0.0063655066374908725,-0.009647410398299833,0.005857017056756782,-0.007830942083002505,0.0053184837790920874,-0.0049656902318441585,0.005004774974245059,-0.00147271823443642,0.0050530162076804835,0.002100932756424251,0.005425260691377769,0.0051902209904397655,0.005915653289910761,0.007331360254606932,0.006224081282216293,0.00825972585427652,0.0060706022239808855,0.007958481550872433,0.005308973318491186,0.006647227695186673,0.003997855477262422,0.004720169791178807,0.002403640275809909,0.002657033087674549,0.0009326157396897302,0.0009318717783240942,1.2718212324969116e-05,-2.4831346273815374e-05
9,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,37.87722997228623,-1.7062481780100183e-05,-1.05079376345353e-05,0.0010107263805301367,-0.001282577190662833,0.0027392107695610258,-0.0035689172512499753,0.004635902495821109,-0.006393595411273688,0.006265787706070684,-0.009141358928005407,0.007329350854690402,-0.01119185075611419,0.007710158160905074,-0.012047472800837488,0.0074841101939666895,-0.011427209364258926,0.006888124996007396,-0.00931596266376304,0.006245451387967417,-0.005970675428033248,0.005857461616584251,-0.001882143367686338,0.0058922049564924805,0.002310041892718496,0.006313302614915093,0.005942770023831528,0.006884052475523323,0.008469685358917763,0.007251708368000257,0.009577855835179325,0.007082948994697223,0.00924631424595553,0.006200575544436308,0.0077323866796111486,0.004670341424772085,0.0054972958892484875,0.0028051717873724584,0.003100339331223819,0.0010837529579522402,0.0010931167036547645,1.260436087839698e-05,-2.5377956017578847e-05
10,8.221967633243311,330428435.4466933,-105806.0423593726,4951.182911318327,2.546331819083172,0.5908125395658904,0.19150063838798229,0.013570318777771071,2.8750607869736857,742.7304906529323,7.517836071923391,8.747521159801334,549.5228249325814,8.110941401399156,4.723355980552199,508.78384999616253,38.15450305673983,-1.7402320026382172e-05,-1.0303835496827628e-05,0.0011648015413940698,-0.001471110137277151,0.003143465080754293,-0.004107193510222343,0.0053137034438634784,-0.007369226858507235,0.007181813779344699,-0.010547864998113651,0.008407678903625006,-0.012927739778721945,0.008855862149933095,-0.013936096336988956,0.00860653084040908,-0.013249969815526154,0.007923527444262167,-0.010851014225714628,0.0071736769527942544,-0.007031345029630126,0.0067054439578311765,-0.0023504193699939533,0.006719930907579465,0.0024604412055452846,0.007184891471880067,0.006640103078984373,0.007834444661404634,0.009558894209403207,0.00826322977079429,0.010854552424476837,0.008083162179780952,0.010501236949905535,0.007084286828742046,0.008793590036917138,0.005338244249445959,0.0062593148871709255,0.003204276416839677,0.003536234210142021,0.0012338727585078412,0.001252231179901462,1.2453432534359518e-05,-2.5851744543470714e-05
