时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,3.8468312436179986,-2.5482154710223243e-06,-6.802627986810856e-07,2.9066406115720046e-06,-1.5902303587596405e-05,1.4729381642705466e-05,-4.419686181906825e-05,2.7853520680235566e-05,-7.941661607042768e-05,3.8974015866593206e-05,-0.00011377831557971546,4.598774619206262e-05,-0.0001396661936407812,4.8297071117776736e-05,-0.00015105342325621453,4.6716462414961416e-05,-0.0001446205230140815,4.303485709977937e-05,-0.00012034411621943563,3.936258700255803e-05,-8.14683049568671e-05,3.743395403800959e-05,-3.386953098853138e-05,3.8050877701794744e-05,1.5065221289065301e-05,4.0825536451425656e-05,5.784083846453903e-05,4.430744605974733e-05,8.82732002629595e-05,4.6472972807809945e-05,0.00010265013988830488,4.544128713398305e-05,0.00010040353517672174,4.0199106176898985e-05,8.415955845464058e-05,3.1097929057609576e-05,5.915645594448834e-05,1.99511068305452e-05,3.215762064660559e-05,9.67197130437496e-06,1.0067143642970193e-05,2.5347296838338995e-06,-7.030835510495065e-07
3,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,8.71364015327798,-5.7790127041499185e-06,-1.5332564769788542e-06,1.0905806775138044e-05,-4.5020382818764616e-05,4.537776892041962e-05,-0.00012690278126572475,8.367429327449532e-05,-0.0002290678731540811,0.00011615072447336776,-0.00032872471639656866,0.00013663254307862276,-0.0004034214245130929,0.00014334060570432374,-0.0004353252735786941,0.0001386428685776144,-0.00041459148306784935,0.0001277901651810744,-0.0003411540737663186,0.000117005405641987,-0.000224669821225203,0.00011142189072211697,-8.264748858883132e-05,0.00011341743476335391,6.288564127631045e-05,0.00012182337948501564,0.0001895688017389755,0.00013228137311197032,0.0002789560069400437,0.00013869934031760132,0.00032000019358023905,0.00013540651161066328,0.0003110756158312655,0.00011934886775537264,0.0002601353869853263,9.16035122493286e-05,0.00018297739819991122,5.768201406862484e-05,0.00010000236310547453,2.64503300798985e-05,3.210200822287859e-05,5.7389846981282075e-06,-1.6013451533815411e-06
4,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,14.142711707700336,-9.401688832415343e-06,-2.4593728251979276e-06,3.372434644005939e-05,-0.00010650273815627737,0.00011803463671192632,-0.00030530170124388095,0.00021167474626937374,-0.0005538882580419993,0.0002911286782622428,-0.0007962573059780406,0.0003412693859800907,-0.0009768715743576882,0.0003576555131582322,-0.001051464988971949,0.0003459817028184671,-0.000995547457574851,0.00031907524395171895,-0.0008089696295279226,0.00029228260288910733,-0.0005158607019518427,0.00027839632985360443,-0.0001600194010353513,0.0002834457938388242,0.0002033868673607958,0.00030458668467213087,0.0005183091933854717,0.00033086714161160616,0.0007385190962599773,0.00034684161381999534,0.0008364208818805578,0.0003380599837559516,0.0008081783315171532,0.00029672815084653097,0.0006741118444501247,0.00022563445903393513,0.000474316586069052,0.00013893168185949336,0.0002604906668120696,5.9348737788832234e-05,8.564593971062699e-05,9.302027780292698e-06,-2.62989511397697e-06
5,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,17.64533351288165,-1.1769207990821477e-05,-3.011256651415437e-06,7.288153955396326e-05,-0.00019741548654511092,0.000232358326752767,-0.0005726345191541177,0.0004093167359495348,-0.0010426210800339047,0.0005595847610274561,-0.0015010142019011785,0.0006547022006472693,-0.0018419144290474255,0.0006861090655724278,-0.0019807292283061783,0.0006641626787434213,-0.0018705494264317488,0.0006127440082020294,-0.001510967982542744,0.0005608509137591375,-0.0009480499279383353,0.0005331090912504313,-0.0002656243704263654,0.0005415873134297362,0.00043052113964043415,0.0005813663671017409,0.001032738553100353,0.0006316153911880883,0.0014521617533916967,0.0006623889540480648,0.0016357937910762832,0.0006453727568641838,0.0015764698148542369,0.0005651613753161415,0.0013136025484172193,0.0004271283032539758,0.0009246516748128813,0.0002589522510325176,0.0005093168076651117,0.00010498805362047349,0.00016981333437478377,1.1578865348966672e-05,-3.3382290173733452e-06
6,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,19.33610724608237,-1.2939820165973284e-05,-3.2357602696830975e-06,0.00011397466564839182,-0.0002881672946686222,0.00034866909845180706,-0.0008412021505967392,0.0006089148484193877,-0.001534990362708493,0.0008301784514685715,-0.0022125328659639404,0.0009708682395053087,-0.0027171174375567684,0.0010181561513887515,-0.0029233571972130464,0.0009865649064520342,-0.002761503093216673,0.0009104737028361343,-0.0022305320358788974,0.0008323001209286514,-0.0013981766262253655,0.000788801425146325,-0.0003881916979634715,0.0007987889246473447,0.0006428743402531568,0.0008559852261143461,0.0015353776184220721,0.000930002091006006,0.0021572709757786816,0.0009761601359181619,0.0024296532105737585,0.0009516800608063826,0.002341719121897605,0.0008329808805624408,0.0019518745164801951,0.0006278342544297941,0.0013749656794637736,0.00037768761249147483,0.0007587427635342937,0.00014894634675959414,0.00025471255118416833,1.2658603350180127e-05,-3.7198707789845795e-06
7,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,20.32251077297096,-1.3646016567458113e-05,-3.332814303255252e-06,0.00015575983403490117,-0.0003790323140642859,0.0004654948101087005,-0.0011111137486858487,0.0008087946711763658,-0.0020310234496535274,0.0011011119389241555,-0.0029310121584400313,0.0012879591601096551,-0.0036032526181560987,0.0013520911339978895,-0.0038811807419632523,0.0013116586386906406,-0.0036717802513146795,0.0012109113201070104,-0.002972940748642704,0.0011053754655054072,-0.0018735786987670413,0.0010441868216811933,-0.0005369784282888006,0.0010536083730962797,0.0008297249407015606,0.0011267931508841718,0.0020147619983753385,0.001224233850683254,0.0028425124585711482,0.0012864004849161158,0.003207663420302409,0.0012555172371948586,0.003095296256358397,0.001099251459737815,0.002582426056776272,0.000827488779218666,0.0018209559609549564,0.0004955329524066077,0.001006386654234665,0.0001920995690542796,0.000339326415235378,1.327413832582069e-05,-3.9739432484722365e-06
8,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,20.963457610316283,-1.4125325261949439e-05,-3.3672510237278934e-06,0.00019783025512735858,-0.0004700938098533547,0.0005823500131914193,-0.001382404002597446,0.001008397370091729,-0.002530758724845268,0.0013717747082474807,-0.0036566035783300024,0.001605350915723495,-0.00450073027435037,0.001687323847428319,-0.004855020886119101,0.001638928096871555,-0.004602740352003473,0.0015136298530334972,-0.0037401683986329017,0.0013797158805242838,-0.002376846910060524,0.001298916699302953,-0.0007151016435825065,0.0013056507530619969,0.0009876130473012682,0.001393317918070778,0.002467342265973382,0.0015137812652842968,0.003504523078472875,0.001592594066068624,0.003966890273870246,0.0015564771218255086,0.0038348604008403685,0.001363755591946707,0.0032035723403021636,0.0010260965326109816,0.0022615537303780717,0.0006126864264141764,0.0012516719100794309,0.0002347631344888017,0.0004233970289971922,1.3663112220543067e-05,-4.165068070987455e-06
9,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,21.408318592231744,-1.4476620067700424e-05,-3.366085615707401e-06,0.00024000358728869275,-0.000561361528762568,0.0006989933413850517,-0.001655018461673293,0.0012074143009775055,-0.0030340973935520203,0.0016417962298112285,-0.004389222765104054,0.0019226352239897736,-0.00540956320560383,0.0020234483370999462,-0.005845074364619762,0.0019680118922676616,-0.005554837558468599,0.0018183373547221485,-0.004532974048254546,0.0016550920928557116,-0.0029090556448833696,0.0015527871649208365,-0.0009239137894304798,0.0015546886176610855,0.001114996937152038,0.0016552758605832957,0.002891516050218556,0.0017983091696200605,0.004141780533659161,0.0018943979098187845,0.00470601167146961,0.0018542724360898482,0.004559365833805873,0.0016263157221109432,0.0038145684653521205,0.0012236103089254462,0.0026962918995837954,0.0007292117147311687,0.001494350181627247,0.0002770649423236988,0.0005068154777781566,1.3924474414241416e-05,-4.320141937382089e-06
10,6.773091861263833,227864339.7043941,0.0,1431.7166293468135,2.9248342611317053,0.37483836974984397,0.16082173064930652,0.00836756867527573,3.0483078048066288,1216.0976956565519,3.127073685731116,5.856817715864632,698.8439724487789,3.127073685731116,5.856817715864632,698.8439724487789,21.730894749937622,-1.4748741292425245e-05,-3.3426928264331843e-06,0.00028217871781057076,-0.0006528165955927805,0.0008152719707228487,-0.001928858964513978,0.001405626541382967,-0.003540859938540019,0.0019108882124356885,-0.005128639872900771,0.0022394702447270953,-0.006329525355333037,0.002360105048197928,-0.006851181372095299,0.0022985775025025235,-0.006528036965669915,0.0021247624173293305,-0.00535149474565285,0.0019312996296981966,-0.0034705417750282453,0.0018056340173705793,-0.001163950115518111,0.0018005528366882308,0.0012111814678388696,0.0019124549447399782,0.0032865000172622233,0.0020775546806249294,0.00475350020933605,0.0021915265085007047,0.005424320226067794,0.0021486455867070283,0.005268235645030846,0.0018867497520920235,0.004414991072970268,0.001419945736176045,0.003124896891660005,0.0008451113111741049,0.0017342727902873436,0.00031906024570566363,0.0005895183549368934,1.4107131232372292e-05,-4.452445520445061e-06
