时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,5.107401790102828,-1.0798267592644208e-06,-3.897908099141076e-07,3.60377060592508e-06,-1.3040527926526258e-05,1.4348423705899678e-05,-3.883778719212521e-05,2.6642670433161597e-05,-7.186439571391432e-05,3.723502493548643e-05,-0.00010456122764825919,4.4001110561672205e-05,-0.00012941094783439755,4.6279522967383735e-05,-0.0001403856230566007,4.4803313554381574e-05,-0.00013409688843592726,4.1281442885569595e-05,-0.00011041840921556216,3.775780964902939e-05,-7.248480685039225e-05,3.5919257894449915e-05,-2.6072998577225002e-05,3.6539818023705906e-05,2.151541499634297e-05,3.922188111623427e-05,6.286221703080311e-05,4.252231066624376e-05,9.186190791870454e-05,4.4442399928380064e-05,0.00010489082211493556,4.314415094978729e-05,0.00010147958732025888,3.767196540522155e-05,8.4353247967057e-05,2.844057221010336e-05,5.8830103041938816e-05,1.731629568833972e-05,3.171189075348318e-05,7.23635375503087e-06,9.874964441010754e-06,7.800841440342948e-07,-6.550775960518576e-07
3,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,11.351410835645146,-2.4026482644293714e-06,-8.623747896613359e-07,1.140928341171703e-05,-3.611352549181231e-05,4.1825513954361715e-05,-0.00010861227646437366,7.663525373106437e-05,-0.00020160442979896335,0.00010665713127811082,-0.0002936894619425303,0.00012586274799462546,-0.00036345933679969095,0.00013235337967444275,-0.00039369088936268336,0.00012818591754702185,-0.0003746771861919651,0.00011820387815841165,-0.00030604428548002195,0.00010822709691975281,-0.00019677201076064924,0.0001030792882466013,-6.343600311724167e-05,0.00010498513761500947,7.299282705591233e-05,0.00011280531508427363,0.0001911956161192297,0.00012237819405561178,0.00027362537382681266,0.0001279229218873084,0.0003098839315822,0.00012411348488245485,0.00029866810302865736,0.00010818024849787522,0.0002478895025825345,8.133665225252762e-05,0.00017294709228314137,4.9021185849009654e-05,9.353648192734588e-05,1.979739450300192e-05,2.961588582038687e-05,1.732103279814823e-06,-1.4609792824222998e-06
4,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,18.90635849901033,-4.011649525837962e-06,-1.4200920243773674e-06,3.2781349248238216e-05,-8.910418094171431e-05,0.00010980938609387545,-0.00027129324021088225,0.00019790083273361304,-0.0005054544852763003,0.00027395803329275883,-0.0007373952310829197,0.00032274906245565826,-0.0009125479647780917,0.0003393898497834114,-0.0009868479300741135,0.0003289557506494711,-0.000935377182236856,0.0003036224704250039,-0.0007571189753377583,0.0002781694088411009,-0.00047508620079431374,0.0002649888689514843,-0.00013186958600231176,0.00026992201775748794,0.00021855452256314763,0.00029015977243290443,0.0005212482958207131,0.0003149934004077517,0.0007309790769362088,0.00032939036301796605,0.0008209976523763948,0.0003194197508681314,0.0007881079349786244,0.0002778158701827738,0.0006529755475908501,0.00020777399790909855,0.0004556404248251114,0.00012358585349551746,0.00024725213864988183,4.7715301960760303e-05,7.969719566640691e-05,2.8776182514341425e-06,-2.4530492019896595e-06
5,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,23.70587776295685,-5.047997940249822e-06,-1.7495626678999447e-06,6.715935606482202e-05,-0.00016668793532786388,0.00021342066687104265,-0.0005117832098868234,0.0003805050034077674,-0.0009560744892622932,0.0005249361028553671,-0.0013965912111006831,0.0006180026434980902,-0.001729209011171197,0.0006502942308340798,-0.001869626534205725,0.0006310075847531813,-0.0017700051768293416,0.0005828051288574308,-0.0014281514872313487,0.0005336180062498556,-0.0008878567569450463,0.0005073167242605535,-0.00023050042085818838,0.0005156264938063846,0.00044053012961962695,0.00055373218666519,0.0010197948260723387,0.0006013300553024851,0.001420355332685452,0.0006293432915189115,0.0015907836800098957,0.0006105237504772374,0.0015250122543701446,0.0005305134133908383,0.0012629159766145942,0.0003954348529046135,0.0008815963541776758,0.0002331227689797077,0.0004794239692380583,8.7240831067955e-05,0.00015618481856713331,3.5940199457296995e-06,-3.1119633347500432e-06
6,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,26.04445098446645,-5.566013653042397e-06,-1.8874909694750577e-06,0.00010269436448739917,-0.00024440346395153195,0.00031836499635753566,-0.0007538821358072518,0.0005645602006999961,-0.0014108518886045576,0.0007776710747273783,-0.0020632949453293892,0.0009156875645078076,-0.002557064058687705,0.0009645367025550747,-0.0027671157527079833,0.0009370722990876897,-0.002622222681099545,0.0008659176572928864,-0.002118612281229414,0.0007919331507132937,-0.0013205537351084515,0.0007507519645564121,-0.00034809404579422704,0.0007606596155641551,0.0006458266234059811,0.0008155269004218044,0.0015048505784406587,0.000885765806526349,0.00209975734467612,0.0009280285798727866,0.002353897681504554,0.0009011709042895513,0.0022579843514868225,0.0007832032785521354,0.0018709764455198453,0.0005830017240019966,0.00130704795779342,0.0003421777742576444,0.0007118456991560549,0.00012599214703047822,0.00023316671472619585,3.933134793148247e-06,-3.458385321233446e-06
7,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,27.41625206287451,-5.880815177756178e-06,-1.950115928675099e-06,0.0001386293782857487,-0.0003222855988916378,0.00042359951389340475,-0.0009972921713988826,0.0007487412805758521,-0.001869159034095895,0.0010306230831451718,-0.002736733866362585,0.0012141631951790093,-0.003395555186593013,0.0012805017170148762,-0.0036794517406112046,0.0012456536923581246,-0.0034933700652792572,0.001151608848041548,-0.0028314778193257602,0.001051852891611677,-0.0017780338477986276,0.000994007086417015,-0.000491357303055654,0.00100358822670399,0.0008262270528251822,0.0010739045751193578,0.0019673025635754383,0.0011665005900480655,0.002759958640234221,0.0012236412800305033,0.003101802389186786,0.001189774765325689,0.0029798465844917492,0.0010347334537740894,0.0024717549231759862,0.0007698856851321156,0.0017284602893018395,0.00045071145503538433,0.0009426130923567422,0.00016431405465806216,0.00030986837508004784,4.124417850891963e-06,-3.6816821230782636e-06
8,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,28.31084550852481,-6.0956976022261005e-06,-1.97552924121882e-06,0.00017471856107272515,-0.0004003520129507257,0.0005287899349594351,-0.0012419488273917715,0.0009326243026058578,-0.002330878116746847,0.0012832949853233914,-0.0034168206976820537,0.0015128944542063623,-0.004244750380480865,0.0015976636516228907,-0.004606998220888493,0.0015562789508750505,-0.004384235362651013,0.0014394783017700832,-0.003568050988644642,0.0013130328775059366,-0.0022621429980873853,0.001236746326172422,-0.0006626247091114121,0.0012440300386575894,0.0009790514897353665,0.0013284054064513324,0.0024043390437091736,0.0014430127791521306,0.0033982571245559623,0.001515659917096381,0.0038321228162152983,0.0014758982130365897,0.0036887021573212,0.001284821980091679,0.00306389497749427,0.0009559871666993863,0.002144987861637979,0.0005587793756698658,0.001171285536419442,0.00020234845437695675,0.00038610100999428326,4.243068950806012e-06,-3.8439518744646404e-06
9,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,28.93415428462568,-6.254114246280045e-06,-1.9797663925442387e-06,0.00021084988105475393,-0.0004785928846251227,0.0006337680994335829,-0.0014877746895229401,0.0011159750111986678,-0.0027958731039576,0.0015353882288276872,-0.004103404618866989,0.0018115379290548758,-0.005104551988649812,0.0019156700848310328,-0.005549786073856775,0.0018686269917647274,-0.0052950456809727235,0.001729262763374867,-0.004328804080868458,0.0015752656273305434,-0.002773618650074176,0.001478786516395804,-0.000862878487096415,0.001481781673051028,0.0011031401151085731,0.001578774232671655,0.002814728167299516,0.0017149972602889553,0.004013468368862089,0.001803766783554628,0.004543825461679701,0.0017592664188671341,0.004383734864137168,0.0015332839418400316,0.0036468200296479246,0.001141228358993984,0.002556275596186248,0.0006663925310986778,0.00139768012166457,0.00024015346526899505,0.000461786677608354,4.320729492235316e-06,-3.971318064743186e-06
10,4.785444821432737,111424060.60193585,-18026.59411198232,365.5322433586481,2.2438327461746574,0.28707596524966333,0.0959030258903674,0.006511656122778909,2.3382477330668037,1290.9730219606708,6.604244748855114,9.226468454887396,918.4084934642954,9.041577201760923,5.634160166578977,344.8137759759178,29.387700816905316,-6.377484996805763e-06,-1.970744542353328e-06,0.00024695984267057236,-0.0005569863221600782,0.0007384242641332721,-0.0017346791868818687,0.0012986229170864603,-0.0032639812358946294,0.0017866669997025507,-0.004796275999328525,0.0021098057906169727,-0.0059747497444000135,0.0022342134482963524,-0.006507658614056573,0.002182411375875738,-0.006225749256096351,0.0020207280596970913,-0.005113832388497295,0.0018383742468691827,-0.0033127296966944915,0.0017199831077918696,-0.0010925622993635169,0.0017166893399527658,0.0011979070314163248,0.001824814071802138,0.003197805236188814,0.0019822083914274634,0.004604926336624071,0.0020876950058451777,0.005236312273888248,0.0020396374647669957,0.005064460675534165,0.0017799439318178835,0.004220179234761167,0.0013255179826016823,0.0029621014200523956,0.0007735319653657462,0.0016216803546527576,0.00027775126831855777,0.0005368779902825754,4.373006114561624e-06,-4.076654902214442e-06
