时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,8.578000516118667,-1.2149857682442256e-05,-9.931818622985209e-06,4.200175495049397e-06,-3.68378669994108e-05,3.863224650690376e-05,-8.74997179542312e-05,7.81903012963653e-05,-0.00015214516332041385,0.00011278154445074106,-0.00021655646960149985,0.00013542921656903566,-0.00026625498490919283,0.00014364811814947774,-0.00028935030378746823,0.00013952812533172488,-0.0002789038898218097,0.00012855096215019703,-0.00023429049175790554,0.00011749842321798708,-0.00016137637234091938,0.00011204078370015283,-7.14251893306913e-05,0.00011474978689396649,2.1113674687827955e-05,0.0001242069301388611,0.00010152303433497518,0.0001355391535785821,0.00015780575660052088,0.00014221251201854563,0.00018305855743777231,0.00013847289147625363,0.00017671178965592753,0.00012162102436142699,0.0001444245936077531,9.336732880750943e-05,9.670862230525896e-05,5.9838985200269725e-05,4.6655984938852e-05,3.0126713391316865e-05,7.14600409781095e-06,1.2024978815723813e-05,-1.0051739522811197e-05
3,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,19.90887747851,-2.8337875141336267e-05,-2.29516856566546e-05,4.005657671764518e-05,-0.00012469407993372672,0.00017736594421827542,-0.00032418509611612184,0.00033550006262660293,-0.0005803277408511179,0.000473905465413982,-0.0008355646845843044,0.0005642587657732522,-0.0010305868019810037,0.0005962915534624849,-0.0011164509812823238,0.0005783290834868051,-0.0010645489040187468,0.0005326697758866031,-0.0008724506299679486,0.0004871184650465776,-0.000564776003122379,0.00046502554399253693,-0.0001887273783148683,0.0004769183118828879,0.00019514321456703086,0.0005166266424055933,0.0005252427759879455,0.0005634367157589132,0.0007516135995574516,0.000589655673191874,0.0008459945798521091,0.0005710101482960509,0.000806984439932589,0.0004963561005178681,0.0006593972158311001,0.00037342464585152127,0.00044825728146707635,0.0002287090579536638,0.0002290695056226732,0.00010116270745812483,5.622489121940349e-05,2.782530050092312e-05,-2.346625017145611e-05
4,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,26.327020702829795,-3.7772182282539184e-05,-3.0073941913094886e-05,0.0001274645727418504,-0.0002616225774579847,0.00044933078544950146,-0.0007275489268834389,0.0008201162039922394,-0.001328136184909545,0.001144912123837763,-0.001926896666596336,0.0013571416007836384,-0.0023823724766789014,0.0014321502723850807,-0.00257768553048227,0.0013887174043302252,-0.0024445314859037077,0.0012788235837633466,-0.0019772349774044838,0.0011682505467386914,-0.0012349239010799424,0.001113101127243549,-0.0003310487112974194,0.0011393995711783949,0.0005885937895919938,0.0012330032862211064,0.0013755384349426717,0.0013440988681149976,0.0019095682457083733,0.001405308904971332,0.002123395178437238,0.001357286544192042,0.0020151808949260986,0.0011728966399632043,0.0016464990070912727,0.0008715019142598327,0.0011271335620792321,0.0005183543517418,0.0005910772022935475,0.0002085633895961815,0.00016885664618946134,3.6554289703296796e-05,-3.132735066769315e-05
5,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,28.77425811516029,-4.160473518987296e-05,-3.255199973080535e-05,0.00022155168444330851,-0.00039341278168992974,0.0007277260028860533,-0.0011278966786324063,0.0013107166677241988,-0.0020769588350885776,0.0018220225844077398,-0.003024342705960202,0.002157341055657774,-0.003745415734559835,0.0022772506011472047,-0.004054644303840356,0.0022097125654497634,-0.0038436211147238257,0.0020349954457614893,-0.0031030982801097846,0.0018563140269311203,-0.0019263403421579026,0.0017633189518752252,-0.0004928208043971712,0.0017992962547111148,0.0009661620221073105,0.0019438424768695231,0.0022144305247197276,0.0021186941651762424,0.003060432708764011,0.0022160636544310036,0.003397133452571167,0.002140019283877748,0.0032222387855119113,0.0018461963775688948,0.0026345414572685427,0.0013653940944069608,0.0018089283443393186,0.0008024114996942774,0.0009576862862795518,0.0003095039908012463,0.0002869683460206313,3.9681224015288004e-05,-3.455054092650199e-05
6,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,30.051894080809266,-4.379064954963906e-05,-3.365936121168424e-05,0.0003175472181179231,-0.000524229882612497,0.0010075621227662729,-0.0015297797190236947,0.0018021167085006612,-0.002831863517779422,0.0024999889100065045,-0.004133815579852689,0.002959781477900977,-0.0051270273205951565,0.003126948217930982,-0.005556752171443651,0.003037266980323261,-0.005274112483128695,0.0027977032575543562,-0.004265812759284098,0.002548138611425489,-0.00265851010799313,0.002412432876047906,-0.0006969008769949381,0.002452951696931218,0.0013026156054833401,0.0026450005426347655,0.0030158515711968814,0.0028828881722197195,0.004179086643001552,0.0030180175300357774,0.004644679370856775,0.002916491687847483,0.004409390205850728,0.002515342843498685,0.0036090249686164463,0.0018562414444440152,0.0024832166245214223,0.0010838487259735637,0.0013217827120320313,0.0004081582701667456,0.00040566680097626416,4.116318617927208e-05,-3.6403142392749945e-05
7,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,30.829048937141838,-4.5275531682861755e-05,-3.417865461642811e-05,0.00041429549020724027,-0.000655055993269647,0.0012875984584622465,-0.001934268053418431,0.002292976640768542,-0.0035940756627158604,0.003177394364471335,-0.005256820444235483,0.003763039993167413,-0.00652915298264457,0.003979915455104436,-0.00708655741310729,0.003870237498450793,-0.006739292717955064,0.0035660182280817768,-0.00546949307459254,0.003242953576325335,-0.003436380670232253,0.0030597045600049963,-0.0009489399858056772,0.0030995294706724786,0.001591892943720297,0.003335490855510039,0.003773749438988985,0.00363562070645683,0.00525993026668421,0.0038102250746030937,0.005861232173181151,0.003686096543452476,0.005572809631663943,0.003180230115876429,0.004567096187726824,0.002344469997206735,0.003147971075374306,0.001363509519147929,0.0016819365046963164,0.0005055865302661228,0.00052387716143671,4.1946117602893184e-05,-3.7666463190697354e-05
8,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,31.34458188885418,-4.6396963613457204e-05,-3.438952121451523e-05,0.0005113504682218754,-0.0007862039107357536,0.0015672820674597374,-0.002341632675557568,0.002782595201627297,-0.00436384049991876,0.0038533852426229516,-0.006393640305072596,0.004566161155368347,-0.007952204174014054,0.004835189090084121,-0.008644688760936858,0.004707753737157164,-0.008240082012213237,0.0043392244080221265,-0.006715411492419997,0.003940186851231403,-0.0042616130315247785,0.0037046239576686854,-0.0012509657970588273,0.0037384722971986997,0.0018317131300730476,0.004014639792368001,0.004485784297888232,0.004376121718529033,0.006300778951039465,0.004591926705493545,0.0070449240736587225,0.004448229395920959,0.0067110185334223,0.0038405250761478593,0.005507657699829965,0.0028300541292751043,0.0038024154352695604,0.00164161873645336,0.0020376074714789204,0.0006021496608949438,0.0006412052610088966,4.236793684550507e-05,-3.861945549424225e-05
9,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,31.705318483677218,-4.730583454575031e-05,-3.441719496451357e-05,0.0006084847034415099,-0.0009177793750060862,0.0018462727603525675,-0.002751888982190852,0.0032704677777946473,-0.005141073797335514,0.004527276101771585,-0.007544128591979356,0.005368318317902178,-0.009396037824103457,0.005691890725725972,-0.01023107406230052,0.0055489922423908695,-0.009776538565231349,0.005116631959804357,-0.008003816204474544,0.004639294759861198,-0.005134703159747874,0.004346731296002991,-0.001603748022978519,0.004369301029534666,0.002021075254707996,0.004681867187003601,0.005150837722209186,0.005103702476907816,0.007300537510185145,0.005362399968681901,0.008194793254130372,0.005202254089709285,0.007823239743176414,0.004495786071925542,0.006430119808517795,0.003312794364376244,0.004446125840889576,0.0019181880929030279,0.0023885059064300005,0.0006979850081063981,0.0007574565413495893,4.257989833415513e-05,-3.938682722117742e-05
10,4.966996135032636,179140951.13105232,29633.47099219203,1661.2713412659732,2.8944064812901735,0.5944109132412528,0.1368593673990689,0.01055099055095522,3.1930265180792423,1048.5271412019754,1.3789909012822044,1.3628161596338781,725.4902096264311,1.3789909012822044,1.3628161596338781,725.4902096264311,31.96597292282614,-4.8079336554923977e-05,-3.4325949458682046e-05,0.0007055577066250929,-0.0010498076360546597,0.002124315849267446,-0.0031649554569646433,0.003756169322653482,-0.005925568955229026,0.005198449790498847,-0.008707981297446031,0.006168737390406932,-0.010860309510056078,0.0065491772168323826,-0.011845388456679191,0.006393149813978068,-0.011348411259974328,0.0058975621179097725,-0.009334588656599455,0.005339743311071068,-0.006055730402304774,0.004985581746544714,-0.002007608124989111,0.004991558573675857,0.002159431047375236,0.005336617203407927,0.005768218062685048,0.005817690983051422,0.008258485661806907,0.006120920404692769,0.009310184346172446,0.005947505632251132,0.00890892920192848,0.005145513950844896,0.007334059372978731,0.00379241097933093,0.005078794633301235,0.002193137811464129,0.0027344286540193236,0.0007931388604245361,0.0008725111964888523,4.2659578145301164e-05,-4.003238244109592e-05
