lambda,q_cr,P_cr_N
200.0,95.32030487060547,9623685.864959989
216.16161616161617,90.31839752197266,7222482.361530706
232.32323232323233,86.29094696044922,5558189.038249694
248.4848484848485,88.0462875366211,4635080.848639209
264.64646464646466,80.78461456298828,3520273.2030374417
280.80808080808083,73.34455108642578,2675377.3961861623
296.969696969697,69.39244079589844,2140039.3487349516
313.13131313131316,64.07959747314453,1685723.262277172
329.29292929292933,60.31515121459961,1364348.1527508611
345.4545454545455,59.044673919677734,1156788.591305872
361.61616161616166,58.62568283081055,1001360.4182699977
377.7777777777778,58.806026458740234,880964.9193305346
393.93939393939394,59.12651824951172,781160.1336773044
410.1010101010101,59.76862335205078,699917.3167466767
426.26262626262627,60.93021011352539,635399.5593778802
442.42424242424244,61.90770721435547,577396.2712237586
458.5858585858586,61.980857849121094,519088.74283574155
474.74747474747477,61.828208923339844,466707.3907724971
490.90909090909093,61.56295394897461,420302.7474151941
507.0707070707071,61.315948486328125,379851.53495266393
523.2323232323233,61.13051986694336,344683.4223208245
539.3939393939395,61.06320571899414,314273.24923173775
555.5555555555557,61.10419845581055,287829.0137091798
571.7171717171718,61.08694839477539,264028.44828104635
587.8787878787879,62.171234130859375,247156.5480379867
604.040404040404,63.73870086669922,233588.38382989954
620.2020202020202,63.33891296386719,214445.56981504662
636.3636363636364,63.38334655761719,198657.5630911042
652.5252525252525,63.587039947509766,184851.35610742334
668.6868686868687,63.8458366394043,172468.66451738618
684.8484848484849,64.08806610107422,161153.47379199215
701.010101010101,64.30337524414062,150767.2260804644
717.1717171717172,64.50472259521484,141243.36385099206
733.3333333333334,64.71009063720703,132529.85794914013
749.4949494949495,64.94925689697266,124598.8566546796
765.6565656565657,65.20865631103516,117340.84754907325
781.8181818181819,65.40196990966797,110540.01874420163
797.979797979798,65.4720458984375,104070.16059328362
814.1414141414142,65.47843170166016,98004.20948612438
830.3030303030304,65.47003173828125,92380.15472268518
846.4646464646465,65.48160552978516,87204.4906561486
862.6262626262627,65.48375701904297,82397.03093066506
878.7878787878789,65.43206024169922,77872.55490717296
894.949494949495,65.2585678100586,73533.96078427191
911.1111111111112,65.0562515258789,69473.79293177088
927.2727272727274,64.98523712158203,65832.18212577156
943.4343434343435,64.95472717285156,62477.22343572144
959.5959595959597,64.91813659667969,59339.900801938544
975.7575757575758,64.86293029785156,56391.90578902966
991.9191919191919,64.79589080810547,53624.664489372735
1008.0808080808081,64.69395446777344,51006.2812319243
1024.2424242424242,64.5670394897461,48534.280432044274
1040.4040404040404,64.42794036865234,46207.67961921954
1056.5656565656566,64.31473541259766,44041.998741496456
1072.7272727272727,64.23713684082031,42030.466631758405
1088.888888888889,64.18608856201172,40154.68421807251
1105.050505050505,64.15292358398438,38398.66038023902
1121.2121212121212,64.13056182861328,36749.18353844998
1137.3737373737374,64.11661529541016,35197.10979044021
1153.5353535353536,64.10633087158203,33732.94012488146
1169.6969696969697,64.09711456298828,32349.26277587052
1185.858585858586,64.08831024169922,31040.31478082897
1202.020202020202,64.0790786743164,29800.73400921157
1218.1818181818182,64.07281494140625,28627.502911857646
1234.3434343434344,64.06524658203125,27514.42686780864
1250.5050505050506,64.05581665039062,26457.464666164327
1266.6666666666667,64.04437255859375,25453.057124797528
1282.828282828283,64.03121185302734,24498.08543817984
1298.989898989899,64.0193862915039,23590.66520668961
1315.1515151515152,64.0085678100586,22727.765706564292
1331.3131313131314,63.99781036376953,21906.37263322396
1347.4747474747476,63.98659896850586,21123.852424808814
1363.6363636363637,63.9743766784668,20377.755358182327
1379.79797979798,63.96074676513672,19665.86321245437
1395.959595959596,63.947479248046875,18986.761146007615
1412.1212121212122,63.93302536010742,18338.141871613032
1428.2828282828284,63.91621017456055,17717.98681775901
1444.4444444444446,63.89678192138672,17124.679813935498
1460.6060606060607,63.874759674072266,16556.78414093147
1476.767676767677,63.85032272338867,16012.99489804578
1492.929292929293,63.82366943359375,15492.091518030611
1509.0909090909092,63.796817779541016,14993.354532318079
1525.2525252525254,63.766937255859375,14514.975354766968
1541.4141414141416,63.73383712768555,14055.880356037776
1557.5757575757577,63.697818756103516,13615.168675103529
1573.737373737374,63.659645080566406,13192.084954717588
1589.89898989899,63.62023162841797,12785.93959448035
1606.0606060606062,63.58040237426758,12396.054744762663
1622.2222222222224,63.54202651977539,12021.98066375503
1638.3838383838386,63.50269317626953,11662.487227419824
1654.5454545454547,63.462100982666016,11316.81822069339
1670.707070707071,63.42028045654297,10984.321329370987
1686.868686868687,63.37742614746094,10664.408463194612
1703.0303030303032,63.33404541015625,10356.573810415142
1719.1919191919194,63.29059600830078,10060.327172245898
1735.3535353535356,63.24727249145508,9775.160783457453
1751.5151515151515,63.20564270019531,9500.799625485111
1767.6767676767677,63.16424560546875,9236.528060494575
1783.8383838383838,63.12307357788086,8981.887808206553
1800.0,63.0821647644043,8736.451610142585
