lambda,q_cr,P_cr_N
200.0,84.50556182861328,9329519.904952772
216.16161616161617,86.97830963134766,7605700.43787696
232.32323232323233,78.56902313232422,5533977.873568261
248.4848484848485,79.01396942138672,4548499.293657996
264.64646464646466,80.62739562988281,3841920.1184120285
280.80808080808083,89.02958679199219,3551154.298393191
296.969696969697,95.70269775390625,3227392.325409053
313.13131313131316,96.20508575439453,2767467.455880579
329.29292929292933,95.90262603759766,2372177.990156666
345.4545454545455,92.59706115722656,1983756.9351455471
361.61616161616166,90.1203384399414,1683229.3957666005
377.7777777777778,92.21064758300781,1510552.5499789922
393.93939393939394,95.10403442382812,1373961.9081313098
410.1010101010101,101.0499496459961,1293980.0291922484
426.26262626262627,110.5767822265625,1260945.0697331405
442.42424242424244,104.5436782836914,1066215.5638413094
458.5858585858586,104.92536163330078,960909.5045100964
474.74747474747477,107.24520874023438,885225.4636618082
490.90909090909093,99.11480712890625,739944.7707717811
507.0707070707071,95.0503158569336,643890.4530844969
523.2323232323233,88.80304718017578,547530.3054273007
539.3939393939395,83.94780731201172,472449.2445115674
555.5555555555557,78.03500366210938,401949.00649516797
571.7171717171718,74.5665512084961,352423.07505501667
587.8787878787879,73.46903228759766,319377.9570034305
604.040404040404,72.1073226928711,288965.0987082191
620.2020202020202,70.90730285644531,262515.78690486297
636.3636363636364,70.82177734375,242725.1321410166
652.5252525252525,70.73709106445312,224863.62894763972
668.6868686868687,70.63837432861328,208658.6054310477
684.8484848484849,70.71741485595703,194449.51648397223
701.010101010101,70.91685485839844,181819.5707388648
717.1717171717172,71.18599700927734,170446.89681248122
733.3333333333334,71.3818588256836,159862.8546667251
749.4949494949495,71.52969360351562,150052.84078380684
765.6565656565657,71.47296905517578,140638.35550569315
781.8181818181819,70.91978454589844,131073.2591782864
797.979797979798,70.41117095947266,122385.47165554555
814.1414141414142,70.21968078613281,114927.32500467755
830.3030303030304,70.2409896850586,108378.90090066263
846.4646464646465,70.10855102539062,102095.94855252784
862.6262626262627,69.78797912597656,96023.29032160468
878.7878787878789,69.50369262695312,90452.31650025722
894.949494949495,69.30562591552734,85395.87588999297
911.1111111111112,69.22240447998047,80834.47853168978
927.2727272727274,69.21624755859375,76674.25773793187
943.4343434343435,69.25879669189453,72845.69414795878
959.5959595959597,69.28562927246094,69253.53120633635
975.7575757575758,69.28778839111328,65871.09651409482
991.9191919191919,69.28345489501953,62699.58202438246
1008.0808080808081,69.23641967773438,59691.508015209605
1024.2424242424242,69.17021942138672,56855.811332114994
1040.4040404040404,69.09039306640625,54184.56139841101
1056.5656565656566,69.00923156738281,51675.145819390695
1072.7272727272727,68.93830871582031,49323.81353050453
1088.888888888889,68.93268585205078,47156.16632128854
1105.050505050505,69.01436614990234,45170.730142758766
1121.2121212121212,69.0817642211914,43287.65470685529
1137.3737373737374,69.09895324707031,41478.770038132
1153.5353535353536,69.07770538330078,39747.44014231146
1169.6969696969697,69.03655242919922,38099.82580587871
1185.858585858586,68.96990203857422,36527.91565536302
1202.020202020202,68.90035247802734,35038.873279844
1218.1818181818182,68.83475494384766,33630.66230423332
1234.3434343434344,68.76671600341797,32294.922007531353
1250.5050505050506,68.70050048828125,31028.98288275115
1266.6666666666667,68.64250183105469,29831.15491503602
1282.828282828283,68.58526611328125,28693.877383738316
1298.989898989899,68.52642822265625,27612.43859003978
1315.1515151515152,68.47452545166016,26586.774460032433
1331.3131313131314,68.43163299560547,25614.167542773313
1347.4747474747476,68.39140319824219,24689.005618521405
1363.6363636363637,68.35335540771484,23808.284635514465
1379.79797979798,68.32283782958984,22971.1835288957
1395.959595959596,68.30039978027344,22175.258417731282
1412.1212121212122,68.2777328491211,21415.447342777286
1428.2828282828284,68.25393676757812,20689.454984271244
1444.4444444444446,68.23148345947266,19996.1448542166
1460.6060606060607,68.20999908447266,19333.600386982944
1476.767676767677,68.18323516845703,18698.42638662757
1492.929292929293,68.1453628540039,18087.66805050856
1509.0909090909092,68.09805297851562,17500.58134092272
1525.2525252525254,68.04728698730469,16937.50926683804
1541.4141414141416,67.99508666992188,16397.721413771873
1557.5757575757577,67.94202423095703,15880.16218812217
1573.737373737374,67.8895492553711,15384.030709414106
1589.89898989899,67.84213256835938,14909.21851819853
1606.0606060606062,67.8016586303711,14455.014049185313
1622.2222222222224,67.7704086303711,14020.808395227052
1638.3838383838386,67.7488784790039,13605.644951610899
1654.5454545454547,67.73400115966797,13207.925528036687
1670.707070707071,67.73040008544922,12827.638082404712
1686.868686868687,67.73580932617188,12463.45596866943
1703.0303030303032,67.7447280883789,12113.57593394154
1719.1919191919194,67.75940704345703,11777.700399323394
1735.3535353535356,67.78022003173828,11455.210358269096
1751.5151515151515,67.80626678466797,11145.309356976313
1767.6767676767677,67.83670806884766,10847.26353520314
1783.8383838383838,67.87052154541016,10560.35849915183
1800.0,67.90673828125,10283.935512008382
